prob,state,trumpv,density,trumpvote,demv,demvote,stdev
0.0001,Texas,28.82639284,6.08997E-05,53,24.82639284,49,6.5
0.001,Texas,32.91349001,0.000518014,53,28.91349001,49,6.5
0.005,Texas,36.25710953,0.002224576,53,32.25710953,49,6.5
0.01,Texas,37.87873882,0.00410033,53,33.87873882,49,6.5
0.02,Texas,39.65063208,0.007448944,53,35.65063208,49,6.5
0.03,Texas,40.77484155,0.010467993,53,36.77484155,49,6.5
0.04,Texas,41.62054054,0.013257504,53,37.62054054,49,6.5
0.05,Texas,42.30845142,0.015867022,53,38.30845142,49,6.5
0.06,Texas,42.89397164,0.01832661,53,38.89397164,49,6.5
0.07,Texas,43.40735832,0.020656602,53,39.40735832,49,6.5
0.08,Texas,43.86703486,0.022871727,53,39.86703486,49,6.5
0.09,Texas,44.28509228,0.024983174,53,40.28509228,49,6.5
0.1,Texas,44.66991482,0.026999743,53,40.66991482,49,6.5
0.11,Texas,45.02756722,0.028928549,53,41.02756722,49,6.5
0.12,Texas,45.36258585,0.030775459,53,41.36258585,49,6.5
0.13,Texas,45.67845766,0.032545401,53,41.67845766,49,6.5
0.14,Texas,45.97792428,0.034242571,53,41.97792428,49,6.5
0.15,Texas,46.26318297,0.035870581,53,42.26318297,49,6.5
0.16,Texas,46.53602376,0.037432576,53,42.53602376,49,6.5
0.17,Texas,46.79792585,0.038931314,53,42.79792585,49,6.5
0.18,Texas,47.05012693,0.040369233,53,43.05012693,49,6.5
0.19,Texas,47.29367408,0.041748504,53,43.29367408,49,6.5
0.2,Texas,47.52946198,0.043071065,53,43.52946198,49,6.5
0.21,Texas,47.75826189,0.044338659,53,43.75826189,49,6.5
0.22,Texas,47.98074411,0.045552859,53,43.98074411,49,6.5
0.23,Texas,48.19749548,0.04671509,53,44.19749548,49,6.5
0.24,Texas,48.40903334,0.047826645,53,44.40903334,49,6.5
0.25,Texas,48.61581662,0.048888703,53,44.61581662,49,6.5
0.26,Texas,48.81825486,0.049902341,53,44.81825486,49,6.5
0.27,Texas,49.01671556,0.050868542,53,45.01671556,49,6.5
0.28,Texas,49.2115302,0.051788207,53,45.2115302,49,6.5
0.29,Texas,49.40299932,0.052662164,53,45.40299932,49,6.5
0.3,Texas,49.59139667,0.053491171,53,45.59139667,49,6.5
0.31,Texas,49.77697274,0.054275926,53,45.77697274,49,6.5
0.32,Texas,49.95995781,0.055017069,53,45.95995781,49,6.5
0.33,Texas,50.14056442,0.055715187,53,46.14056442,49,6.5
0.34,Texas,50.31898966,0.05637082,53,46.31898966,49,6.5
0.35,Texas,50.49541697,0.056984462,53,46.49541697,49,6.5
0.36,Texas,50.67001784,0.057556566,53,46.67001784,49,6.5
0.37,Texas,50.84295325,0.058087544,53,46.84295325,49,6.5
0.38,Texas,51.01437488,0.058577772,53,47.01437488,49,6.5
0.39,Texas,51.18442628,0.059027593,53,47.18442628,49,6.5
0.4,Texas,51.35324383,0.059437313,53,47.35324383,49,6.5
0.41,Texas,51.52095765,0.059807209,53,47.52095765,49,6.5
0.42,Texas,51.68769239,0.060137528,53,47.68769239,49,6.5
0.43,Texas,51.85356793,0.060428488,53,47.85356793,49,6.5
0.44,Texas,52.0187001,0.060680277,53,48.0187001,49,6.5
0.45,Texas,52.18320125,0.060893058,53,48.18320125,49,6.5
0.46,Texas,52.34718082,0.061066968,53,48.34718082,49,6.5
0.47,Texas,52.5107459,0.061202118,53,48.5107459,49,6.5
0.48,Texas,52.67400171,0.061298592,53,48.67400171,49,6.5
0.49,Texas,52.8370521,0.061356453,53,48.8370521,49,6.5
0.5,Texas,53,0.061375735,53,49,49,6.5
0.51,Texas,53.1629479,0.061356453,53,49.1629479,49,6.5
0.52,Texas,53.32599829,0.061298592,53,49.32599829,49,6.5
0.53,Texas,53.4892541,0.061202118,53,49.4892541,49,6.5
0.54,Texas,53.65281918,0.061066968,53,49.65281918,49,6.5
0.55,Texas,53.81679875,0.060893058,53,49.81679875,49,6.5
0.56,Texas,53.9812999,0.060680277,53,49.9812999,49,6.5
0.57,Texas,54.14643207,0.060428488,53,50.14643207,49,6.5
0.58,Texas,54.31230761,0.060137528,53,50.31230761,49,6.5
0.59,Texas,54.47904235,0.059807209,53,50.47904235,49,6.5
0.6,Texas,54.64675617,0.059437313,53,50.64675617,49,6.5
0.61,Texas,54.81557372,0.059027593,53,50.81557372,49,6.5
0.62,Texas,54.98562512,0.058577772,53,50.98562512,49,6.5
0.63,Texas,55.15704675,0.058087544,53,51.15704675,49,6.5
0.64,Texas,55.32998216,0.057556566,53,51.32998216,49,6.5
0.65,Texas,55.50458303,0.056984462,53,51.50458303,49,6.5
0.66,Texas,55.68101034,0.05637082,53,51.68101034,49,6.5
