date,dataPoint,candidate,percantage
6/1/19,4,Biden,20
6/4/19,4,Biden,20
6/7/19,4,Biden,20
6/10/19,4,Biden,20
6/13/19,4,Biden,20
6/1/19,3,Biden,20
6/4/19,3,Biden,20
6/7/19,3,Biden,20
6/10/19,3,Biden,20
6/13/19,3,Biden,20
6/1/19,4,Bloomberg,20
6/4/19,4,Bloomberg,20
6/7/19,4,Bloomberg,20
6/10/19,4,Bloomberg,20
6/13/19,4,Bloomberg,20
6/1/19,3,Bloomberg,20
6/4/19,3,Bloomberg,20
6/7/19,3,Bloomberg,20
6/10/19,3,Bloomberg,20
6/13/19,3,Bloomberg,20
6/1/19,4,Booker,20
6/4/19,4,Booker,20
6/7/19,4,Booker,20
6/10/19,4,Booker,20
6/13/19,4,Booker,20
6/1/19,3,Booker,20
6/4/19,3,Booker,20
6/7/19,3,Booker,20
6/10/19,3,Booker,20
6/13/19,3,Booker,20
6/1/19,4,Buttigieg,20
6/4/19,4,Buttigieg,20
6/7/19,4,Buttigieg,20
6/10/19,4,Buttigieg,20
6/13/19,4,Buttigieg,20
6/1/19,3,Buttigieg,20
6/4/19,3,Buttigieg,20
6/7/19,3,Buttigieg,20
6/10/19,3,Buttigieg,20
6/13/19,3,Buttigieg,20
6/1/19,4,Klobuchar,20
6/4/19,4,Klobuchar,20
6/7/19,4,Klobuchar,20
6/10/19,4,Klobuchar,20
6/13/19,4,Klobuchar,20
6/1/19,3,Klobuchar,20
6/4/19,3,Klobuchar,20
6/7/19,3,Klobuchar,20
6/10/19,3,Klobuchar,20
6/13/19,3,Klobuchar,20
6/1/19,4,Sanders,20
6/4/19,4,Sanders,20
6/7/19,4,Sanders,20
6/10/19,4,Sanders,20
6/13/19,4,Sanders,20
6/1/19,3,Sanders,20
6/4/19,3,Sanders,20
6/7/19,3,Sanders,20
6/10/19,3,Sanders,20
6/13/19,3,Sanders,20
6/1/19,4,Steyer,20
6/4/19,4,Steyer,20
6/7/19,4,Steyer,20
6/10/19,4,Steyer,20
6/13/19,4,Steyer,20
6/1/19,3,Steyer,20
6/4/19,3,Steyer,20
6/7/19,3,Steyer,20
6/10/19,3,Steyer,20
6/13/19,3,Steyer,20
6/1/19,4,Warren,20
6/4/19,4,Warren,20
6/7/19,4,Warren,20
6/10/19,4,Warren,20
6/13/19,4,Warren,20
6/1/19,3,Warren,20
6/4/19,3,Warren,20
6/7/19,3,Warren,20
6/10/19,3,Warren,20
6/13/19,3,Warren,20
6/1/19,4,Yang,20
6/4/19,4,Yang,20
6/7/19,4,Yang,20
6/10/19,4,Yang,20
6/13/19,4,Yang,20
6/1/19,3,Yang,20
6/4/19,3,Yang,20
6/7/19,3,Yang,20
6/10/19,3,Yang,20
6/13/19,3,Yang,20
