DATE,RPI
11/1/19,17133.896
10/1/19,17068.518
9/1/19,17088.646
8/1/19,17038.444
7/1/19,16956.947
6/1/19,16976.631
5/1/19,16935.76
4/1/19,16915.148
3/1/19,16912.552
2/1/19,16872.768
1/1/19,16790.073
12/1/18,16728.36
11/1/18,16580.853
10/1/18,16564.283
9/1/18,16548.593
8/1/18,16562.045
7/1/18,16501.04
6/1/18,16450.592
5/1/18,16406.018
4/1/18,16384.746
3/1/18,16375.125
2/1/18,16325.587
1/1/18,16294.367
12/1/17,16212.512
11/1/17,16139.777
10/1/17,16080.016
9/1/17,16012.947
8/1/17,15961.424
7/1/17,15926.788
6/1/17,15878.935
5/1/17,15885.031
4/1/17,15822.075
3/1/17,15829.723
2/1/17,15755.058
1/1/17,15695.627
12/1/16,15619.931
11/1/16,15594.511
10/1/16,15562.413
9/1/16,15537.413
8/1/16,15491.877
7/1/16,15476.982
6/1/16,15430.431
5/1/16,15419.398
4/1/16,15427.722
3/1/16,15441.368
2/1/16,15426.24
1/1/16,15419.226
12/1/15,15400.998
11/1/15,15353.804
10/1/15,15373.738
9/1/15,15354.332
8/1/15,15316.446
7/1/15,15288.126
6/1/15,15259.92
5/1/15,15229.439
4/1/15,15173.676
3/1/15,15087.795
2/1/15,15120.548
1/1/15,15076.076
12/1/14,14958.757
11/1/14,14866.655
10/1/14,14790.364
9/1/14,14722.813
8/1/14,14670.54
7/1/14,14592.781
6/1/14,14539.284
5/1/14,14472.043
4/1/14,14424.352
3/1/14,14381.676
2/1/14,14307.777
1/1/14,14216.885
12/1/13,14142.583
11/1/13,14091.431
10/1/13,14039.392
9/1/13,14069.86
8/1/13,14017.134
7/1/13,13991.979
6/1/13,14021.223
5/1/13,14009.753
4/1/13,13930.178
3/1/13,13865.456
2/1/13,13835.102
1/1/13,13894.743
12/1/12,14614.152
11/1/12,14249.192
10/1/12,14046.984
9/1/12,13943.929
8/1/12,13867.317
7/1/12,13909.126
6/1/12,13995.038
5/1/12,13975.696
4/1/12,13963.525
3/1/12,13911.509
2/1/12,13861.174
1/1/12,13776.131
12/1/11,13714.357
11/1/11,13591.318
10/1/11,13599.436
9/1/11,13582.785
8/1/11,13605.561
7/1/11,13620.414
6/1/11,13572.943
5/1/11,13505.003
4/1/11,13516.405
3/1/11,13540.028
2/1/11,13576.031
1/1/11,13541.211
12/1/10,13374.156
11/1/10,13279.581
10/1/10,13247.875
9/1/10,13222.624
8/1/10,13224.463
7/1/10,13176.118
6/1/10,13137.355
5/1/10,13107.196
4/1/10,12998.264
3/1/10,12892.933
2/1/10,12852.303
1/1/10,12860.097
12/1/09,12808.646
11/1/09,12743.645
10/1/09,12709.966
9/1/09,12763.787
8/1/09,12743.854
7/1/09,12774.081
6/1/09,12825.058
5/1/09,13027.964
4/1/09,12837.219
3/1/09,12778.19
2/1/09,12813.805
1/1/09,12971.02
12/1/08,13121.721
11/1/08,13211.827
10/1/08,13131.123
9/1/08,13067.915
8/1/08,13054.138
7/1/08,13138.288
6/1/08,13359.533
5/1/08,13704.098
4/1/08,13160.788
3/1/08,13202.006
2/1/08,13195.34
1/1/08,13188.347
12/1/07,13177.454
11/1/07,13127.498
10/1/07,13139.629
9/1/07,13165.169
8/1/07,13137.613
7/1/07,13134.159
6/1/07,13127.988
5/1/07,13144.673
4/1/07,13151.498
3/1/07,13147.949
2/1/07,13096.338
1/1/07,13033.906
12/1/06,12998.472
11/1/06,12933.502
10/1/06,12870.822
9/1/06,12795.596
8/1/06,12709.549
7/1/06,12715.713
6/1/06,12730.66
5/1/06,12701.954
4/1/06,12708.846
3/1/06,12704.101
2/1/06,12671.717
1/1/06,12615.534
12/1/05,12463.963
11/1/05,12396.53
10/1/05,12293.246
9/1/05,12202.979
8/1/05,12241.01
7/1/05,12222.897
6/1/05,12212.817
5/1/05,12179.018
4/1/05,12122.341
3/1/05,12080.643
2/1/05,12040.24
1/1/05,12029.712
12/1/04,12354.11
11/1/04,11945.706
10/1/04,11970.427
9/1/04,11959.694
8/1/04,11944.486
7/1/04,11898.458
6/1/04,11858.492
5/1/04,11844.274
4/1/04,11777.237
3/1/04,11730.978
2/1/04,11688.277
1/1/04,11673.666
12/1/03,11701.031
11/1/03,11690.647
10/1/03,11620.297
9/1/03,11574.945
8/1/03,11565.037
7/1/03,11549.941
6/1/03,11539.2
5/1/03,11498.265
4/1/03,11411.466
3/1/03,11364.418
2/1/03,11342.881
1/1/03,11374.851
12/1/02,11396.951
11/1/02,11365.197
10/1/02,11338.134
9/1/02,11317.786
8/1/02,11317.208
7/1/02,11325.366
6/1/02,11365.35
5/1/02,11345.334
4/1/02,11320.618
3/1/02,11304.44
2/1/02,11319.255
1/1/02,11325.709
12/1/01,11314.301
11/1/01,11293.592
10/1/01,11278.262
9/1/01,11282.01
8/1/01,11263.875
7/1/01,11273.766
6/1/01,11274.818
5/1/01,11290.341
4/1/01,11322.69
3/1/01,11349.539
2/1/01,11308.803
1/1/01,11276.396
12/1/00,11195.938
11/1/00,11172.874
10/1/00,11173.664
9/1/00,11159.329
8/1/00,11159.103
7/1/00,11105.581
6/1/00,11050.319
5/1/00,11021.996
4/1/00,10984.37
3/1/00,10929.236
2/1/00,10899.897
1/1/00,10855.813
12/1/99,10747.926
11/1/99,10657.501
10/1/99,10578.269
9/1/99,10508.036
8/1/99,10507.628
7/1/99,10457.086
6/1/99,10438.054
5/1/99,10400.076
4/1/99,10374.573
3/1/99,10392.244
2/1/99,10378.712
1/1/99,10336.984
12/1/98,10313.403
11/1/98,10288.061
10/1/98,10238.215
9/1/98,10218.25
8/1/98,10182.172
7/1/98,10143.124
6/1/98,10124.417
5/1/98,10065.956
4/1/98,10019.79
3/1/98,9982.682
2/1/98,9921.725
1/1/98,9854.038
12/1/97,9766.745
11/1/97,9707.944
10/1/97,9639.34
9/1/97,9588.741
8/1/97,9559.803
7/1/97,9503.694
6/1/97,9461.469
5/1/97,9427.274
4/1/97,9384.101
3/1/97,9376.25
2/1/97,9331.37
1/1/97,9301.336
12/1/96,9247.15
11/1/96,9210.611
10/1/96,9180.669
9/1/96,9178.729
8/1/96,9152.051
7/1/96,9122.011
6/1/96,9139.896
5/1/96,9078.928
4/1/96,9039.466
3/1/96,9015.588
2/1/96,8983.863
1/1/96,8909.327
12/1/95,8878.83
11/1/95,8862.356
10/1/95,8833.266
9/1/95,8820.029
8/1/95,8785.756
7/1/95,8772.742
6/1/95,8743.084
5/1/95,8710.753
4/1/95,8703.876
3/1/95,8693.677
2/1/95,8671.612
1/1/95,8651.996
12/1/94,8611.909
11/1/94,8571.113
10/1/94,8572.993
9/1/94,8497.133
8/1/94,8460.183
7/1/94,8447.963
6/1/94,8433.621
5/1/94,8445.254
4/1/94,8427.917
3/1/94,8350.104
2/1/94,8327.607
1/1/94,8319.25
12/1/93,8486.846
11/1/93,8201.697
10/1/93,8180.638
9/1/93,8215.244
8/1/93,8233.74
7/1/93,8215.953
6/1/93,8189.231
5/1/93,8199.31
4/1/93,8201.128
3/1/93,8139.883
2/1/93,8161.16
1/1/93,8123.84
12/1/92,8353.812
11/1/92,8060.003
10/1/92,8042.434
9/1/92,8082.188
8/1/92,8113.146
7/1/92,8081.832
6/1/92,8088.22
5/1/92,8054.634
4/1/92,8011.806
3/1/92,7982.053
2/1/92,7968.831
1/1/92,7929.293
12/1/91,7889.813
11/1/91,7823.205
10/1/91,7809.593
9/1/91,7798.972
8/1/91,7774.596
7/1/91,7759.145
6/1/91,7776.67
5/1/91,7735.915
4/1/91,7734.962
3/1/91,7705.536
2/1/91,7694.577
1/1/91,7689.389
12/1/90,7741.156
11/1/90,7702.451
10/1/90,7702.65
9/1/90,7766.891
8/1/90,7770.679
7/1/90,7820.767
6/1/90,7795.41
5/1/90,7783.59
4/1/90,7792.984
3/1/90,7744.508
2/1/90,7737.874
1/1/90,7714.708
12/1/89,7695.823
11/1/89,7690.03
10/1/89,7682.729
9/1/89,7646.235
8/1/89,7625.311
7/1/89,7608.65
6/1/89,7583.45
5/1/89,7562.039
4/1/89,7594.273
3/1/89,7623.713
2/1/89,7583.21
1/1/89,7559.707
12/1/88,7490.593
11/1/88,7452.039
10/1/88,7449.552
9/1/88,7408.742
8/1/88,7394.88
7/1/88,7376.198
6/1/88,7344.271
5/1/88,7319.677
4/1/88,7314.261
3/1/88,7297.694
2/1/88,7281.472
1/1/88,7252.378
12/1/87,7262.656
11/1/87,7185.025
10/1/87,7152.872
9/1/87,7107.727
8/1/87,7102.523
7/1/87,7065.999
6/1/87,7042.092
5/1/87,7048.201
4/1/87,7005.053
3/1/87,7008.271
2/1/87,6989.925
1/1/87,6965.987
12/1/86,6973.004
11/1/86,6944.51
10/1/86,6930.322
9/1/86,6925.916
8/1/86,6917.138
7/1/86,6900.787
6/1/86,6866.522
5/1/86,6863.293
4/1/86,6855.019
3/1/86,6831.861
2/1/86,6767.923
