field,state,date,Biden,Bloomberg,Booker,Buttigieg,Klobuchar,Sanders,Steyer,Warren,Yang
Proj_Delegates,Iowa,6/1/19,27,0,0,0,0,14,0,0,0
Proj_Delegates,Iowa,6/4/19,25,0,0,2,0,14,0,0,0
Proj_Delegates,Iowa,6/7/19,16,0,0,8,0,10,0,7,0
Proj_Delegates,Iowa,6/10/19,16,0,0,8,0,10,0,7,0
Proj_Delegates,Iowa,6/13/19,16,0,0,8,0,10,0,7,0
Proj_Vote_Share,Iowa,6/1/19,0.40936784,0,0.02033636,0.11420916,0.03831644,0.21872745,0,0.11919775,0.0073445
Proj_Vote_Share,Iowa,6/4/19,0.39500368,0,0.02579025,0.1330678,0.03833217,0.22060909,0,0.10594271,0.01120373
Proj_Vote_Share,Iowa,6/7/19,0.34472246,0,0.01936087,0.16769005,0.03235615,0.20082948,0,0.15161558,0.01287428
Proj_Vote_Share,Iowa,6/10/19,0.3366396,0,0.01845751,0.16970957,0.03224256,0.20462269,0,0.15497037,0.01291517
Proj_Vote_Share,Iowa,6/13/19,0.33565845,0,0.02047746,0.16605525,0.03386755,0.20711288,0,0.15474614,0.01175564
Avg_Delegates,Iowa,6/1/19,15.8759,0,2.0478,3.9889,2.2726,7.3532,1.7534,4.0886,1.8115
Avg_Delegates,Iowa,6/4/19,15.3391,0,2.1435,4.602,2.3357,7.3648,1.718,3.8604,1.9547
Avg_Delegates,Iowa,6/7/19,13.1493,0,2.0387,5.7374,2.2466,7.0425,1.79,5.2013,1.9789
Avg_Delegates,Iowa,6/10/19,12.9386,0,1.9846,5.9484,2.252,7.1606,1.6657,5.2874,1.9514
Avg_Delegates,Iowa,6/13/19,12.9352,0,2.0664,5.6349,2.2893,7.1331,1.721,5.5161,1.9638
Win_%,Iowa,6/1/19,0.5223,0,0.0328,0.0741,0.0393,0.1718,0.0274,0.0787,0.0276
Win_%,Iowa,6/4/19,0.5059,0,0.0345,0.0907,0.0386,0.1731,0.0273,0.074,0.0298
Win_%,Iowa,6/7/19,0.4177,0,0.0351,0.133,0.0353,0.1684,0.0305,0.1163,0.0319
Win_%,Iowa,6/10/19,0.4064,0,0.0322,0.1345,0.0399,0.1783,0.0276,0.1168,0.0332
Win_%,Iowa,6/13/19,0.4097,0,0.0364,0.1267,0.0419,0.1744,0.0309,0.1213,0.0317
