date,bidenavg,bloombergavg,bookeravg,buttigiegavg,klobucharavg,sandersavg,steyeravg,warrenavg,yangavg
2020-01-24,28.95,7.07,1.02,7.63,3.01,21.25,2.01,14.78,3.83
2020-01-23,28.95,7.07,1.02,7.63,3.01,21.25,2.01,14.78,3.83
2020-01-22,28.71,6.76,1.31,8.08,3.0,20.79,2.03,15.1,3.68
2020-01-21,28.71,6.76,1.31,8.08,3.0,20.79,2.03,15.1,3.68
2020-01-20,28.76,6.74,1.36,8.05,3.02,20.85,2.01,14.87,3.69
2020-01-19,28.61,6.51,1.5,8.27,2.83,20.61,2.09,15.02,3.74
2020-01-18,28.87,6.39,1.67,8.12,2.74,19.99,2.04,15.07,3.71
2020-01-17,28.87,6.39,1.67,8.12,2.74,19.99,2.04,15.07,3.71
2020-01-16,28.87,6.39,1.67,8.12,2.74,19.99,2.04,15.07,3.71
2020-01-15,28.79,5.59,2.09,8.1,2.97,19.68,1.94,15.51,3.63
2020-01-14,28.79,5.59,2.09,8.1,2.97,19.68,1.94,15.51,3.63
2020-01-13,28.77,5.54,2.14,8.28,2.95,19.58,1.91,15.48,3.66
2020-01-12,28.77,5.54,2.14,8.28,2.95,19.58,1.91,15.48,3.66
2020-01-11,29.48,5.26,2.16,8.41,2.95,19.13,1.74,15.53,3.45
2020-01-10,29.0,5.39,2.2,8.34,2.86,19.31,1.84,15.48,3.47
2020-01-09,29.0,5.39,2.2,8.34,2.86,19.31,1.84,15.48,3.47
2020-01-08,29.63,5.17,2.26,8.4,2.92,19.35,1.74,15.31,3.49
2020-01-07,29.63,5.17,2.26,8.4,2.92,19.35,1.74,15.31,3.49
2020-01-06,29.62,5.21,2.3,8.51,2.92,19.26,1.72,15.12,3.5
2020-01-05,29.62,5.21,2.3,8.51,2.92,19.26,1.72,15.12,3.5
2020-01-04,29.43,5.06,2.31,8.74,2.92,18.9,1.54,15.17,3.43
2020-01-03,29.43,5.06,2.31,8.74,2.92,18.9,1.54,15.17,3.43
2020-01-02,29.43,5.06,2.31,8.74,2.92,18.9,1.54,15.17,3.43
2020-01-01,29.43,5.06,2.31,8.74,2.92,18.9,1.54,15.17,3.43
2019-12-31,29.43,5.06,2.31,8.74,2.92,18.9,1.54,15.17,3.43
2019-12-30,29.57,4.99,2.26,8.96,2.82,19.0,1.49,15.21,3.36
2019-12-29,29.57,4.99,2.26,8.96,2.82,19.0,1.49,15.21,3.36
2019-12-28,29.52,4.9,2.26,9.05,2.82,18.99,1.52,15.25,3.36
2019-12-27,29.38,4.58,2.2,9.14,2.79,19.03,1.46,15.35,3.41
2019-12-26,29.38,4.58,2.2,9.14,2.79,19.03,1.46,15.35,3.41
2019-12-25,29.38,4.58,2.2,9.14,2.79,19.03,1.46,15.35,3.41
2019-12-24,29.38,4.58,2.2,9.14,2.79,19.03,1.46,15.35,3.41
2019-12-23,29.4,4.49,2.19,9.32,2.69,18.94,1.51,15.23,3.46
2019-12-22,29.48,4.21,2.17,9.53,2.66,18.82,1.57,15.19,3.49
2019-12-21,29.35,4.04,2.09,9.49,2.61,18.95,1.51,15.32,3.43
2019-12-20,29.35,4.04,2.09,9.49,2.61,18.95,1.51,15.32,3.43
2019-12-19,29.35,4.04,2.09,9.49,2.61,18.95,1.51,15.32,3.43
2019-12-18,29.46,3.95,2.1,9.52,2.61,18.97,1.49,15.31,3.46
2019-12-17,29.46,3.85,2.05,9.63,2.6,18.94,1.44,15.48,3.43
2019-12-16,29.39,3.78,2.05,9.7,2.48,18.58,1.45,15.52,3.32
2019-12-15,29.39,3.78,2.05,9.7,2.48,18.58,1.45,15.52,3.32
2019-12-14,29.57,3.72,2.01,9.71,2.45,18.57,1.45,15.54,3.32
2019-12-13,28.27,3.12,2.02,9.89,2.39,19.13,1.42,16.24,3.4
2019-12-12,28.27,3.12,2.02,9.89,2.39,19.13,1.42,16.24,3.4
2019-12-11,28.27,3.12,2.02,9.89,2.39,19.13,1.42,16.24,3.4
2019-12-10,28.56,2.73,1.85,9.56,2.09,18.87,1.53,16.76,3.28
2019-12-09,28.68,2.41,1.89,9.37,2.17,18.9,1.45,16.99,3.25
2019-12-08,28.66,2.68,1.84,9.47,2.1,18.92,1.54,16.66,3.27
2019-12-07,28.67,1.74,1.89,9.34,1.95,18.54,1.38,17.68,3.08
2019-12-06,28.67,1.74,1.89,9.34,1.95,18.54,1.38,17.68,3.08
2019-12-05,28.67,1.74,1.89,9.34,1.95,18.54,1.38,17.68,3.08
2019-12-04,28.7,1.63,1.89,9.35,1.97,18.46,1.38,17.88,3.05
2019-12-03,28.7,1.63,1.89,9.35,1.97,18.46,1.38,17.88,3.05
2019-12-02,28.82,1.57,1.85,9.24,1.95,18.5,1.4,17.89,3.06
2019-12-01,28.82,1.57,1.85,9.24,1.95,18.5,1.4,17.89,3.06
2019-11-30,28.79,1.36,1.85,9.14,1.97,18.45,1.37,18.17,3.08
2019-11-29,28.79,1.36,1.85,9.14,1.97,18.45,1.37,18.17,3.08
2019-11-28,28.87,0.98,1.9,9.13,1.96,18.39,1.31,18.48,3.05
2019-11-27,28.87,0.98,1.9,9.13,1.96,18.39,1.31,18.48,3.05
2019-11-26,28.87,0.98,1.9,9.13,1.96,18.39,1.31,18.48,3.05
2019-11-25,29.34,0.93,1.89,9.01,1.93,18.32,1.31,18.37,3.03
2019-11-24,29.71,0.86,1.87,8.7,1.87,18.54,1.34,18.35,3.03
2019-11-23,29.76,0.75,1.9,8.23,1.91,18.14,1.28,18.79,3.05
2019-11-22,29.76,0.75,1.9,8.23,1.91,18.14,1.28,18.79,3.05
2019-11-21,29.78,0.75,1.92,8.23,1.88,18.05,1.26,18.96,2.99
2019-11-20,29.31,0.58,1.92,7.44,1.86,18.37,1.09,19.77,2.81
2019-11-19,29.31,0.47,1.97,7.37,1.94,17.8,1.03,20.23,2.67
2019-11-18,29.31,0.46,2.02,7.28,1.94,17.94,1.03,20.21,2.7
2019-11-17,29.3,0.47,2.0,7.27,1.92,17.96,0.95,20.38,2.63
2019-11-16,29.42,0.28,2.0,7.02,1.94,17.78,0.96,20.69,2.57
2019-11-15,29.42,0.28,2.0,7.02,1.94,17.78,0.96,20.69,2.57
2019-11-14,29.42,0.28,2.0,7.02,1.94,17.78,0.96,20.69,2.57
2019-11-13,29.76,0.2,2.01,6.89,1.98,17.5,0.97,20.84,2.56
2019-11-12,29.76,0.2,2.01,6.89,1.98,17.5,0.97,20.84,2.56
2019-11-11,30.0,0.2,2.03,6.79,1.96,17.48,0.97,20.7,2.52
2019-11-10,30.0,0.2,2.03,6.79,1.96,17.48,0.97,20.7,2.52
2019-11-09,29.83,0.12,1.99,6.73,1.96,17.3,0.97,20.9,2.49
2019-11-08,29.83,0.12,1.99,6.73,1.96,17.3,0.97,20.9,2.49
2019-11-07,29.83,0.12,1.99,6.73,1.96,17.3,0.97,20.9,2.49
2019-11-06,29.83,0.12,1.99,6.73,1.96,17.3,0.97,20.9,2.49
2019-11-05,29.83,0.12,1.99,6.73,1.96,17.3,0.97,20.9,2.49
2019-11-04,30.01,0.12,2.0,6.66,1.95,17.33,0.97,20.77,2.51
2019-11-03,30.07,0.13,2.01,6.59,1.97,17.23,0.94,20.87,2.52
2019-11-02,30.18,0.12,2.06,6.45,1.95,17.29,0.92,20.8,2.52
2019-11-01,30.43,0.13,2.04,6.22,1.87,16.99,0.91,20.95,2.53
2019-10-31,30.43,0.13,2.04,6.22,1.87,16.99,0.91,20.95,2.53
2019-10-30,30.63,0.01,2.0,6.3,1.82,16.91,0.91,20.97,2.52
2019-10-29,31.52,0.01,2.01,5.79,1.72,16.64,0.95,20.46,2.56
2019-10-28,31.65,0.01,2.07,5.6,1.63,16.81,0.97,20.45,2.54
2019-10-27,31.65,0.01,2.07,5.6,1.63,16.81,0.97,20.45,2.54
2019-10-26,31.62,0.01,2.05,5.52,1.61,16.72,0.91,20.84,2.52
2019-10-25,30.74,0.01,1.96,5.04,1.53,16.18,0.87,22.85,2.4
2019-10-24,27.62,0.01,1.91,4.9,1.48,19.24,0.84,23.07,2.36
2019-10-23,27.62,0.01,1.91,4.9,1.48,19.24,0.84,23.07,2.36
