state,election_date,biden,bloomberg,buttigeig,klobuchar,sanders,steyer,warren,bidencalc,bloombergcalc,buttigeigcalc,klobucharcalc,sanderscalc,steyercalc,warrencalc,num_cands,pct_reporting
Iowa,2/3/20,14.9,0,21.3,12.7,24.7,1.7,18.5,1,,1,1,1,,1,5,1
New Hampshire,2/11/20,8.4,0,24.2,19.8,25.7,3.6,9.2,1,,1,1,1,,1,5,1
Nevada,2/22/20,17.6,0,15.4,9.6,34,9,12.9,1,,1,1,1,1,1,6,1
South Carolina,2/29/20,48.4,0,8.3,3.2,19.9,11.3,7.1,1,,1,,1,1,1,5,1
Alabama,3/3/20,63.2,11.7,0,0,16.6,0,5.7,1,1,,,1,,1,4,0.99
Arkansas,3/3/20,40.4,16.7,0,0,22.4,0,10,1,1,,,1,,1,4,0.94
California,3/3/20,25.1,14.1,0,0,33.8,0,12.2,1,1,,,1,,1,4,0.87
Colorado,3/3/20,24.5,19.1,0,0,36.5,0,17.6,1,1,,,1,,1,4,0.82
Maine,3/3/20,34,12,0,0,32.9,0,15.8,1,1,,,1,,1,4,0.85
Massachusetts,3/3/20,33.4,11.7,0,0,26.7,0,21.6,1,1,,,1,,1,4,0.94
Minnesota,3/3/20,38.6,8.3,0,0,29.9,0,15.4,1,1,,,1,,1,4,1
North Carolina,3/3/20,43,13,0,0,24.1,0,10.5,1,1,,,1,,1,4,1
Oklahoma,3/3/20,38.7,13.9,0,0,25.4,0,13.4,1,1,,,1,,1,4,1
Tennessee,3/3/20,41.7,15.4,0,0,25,0,10.4,1,1,,,1,,1,4,1
Texas,3/3/20,34.5,14.4,0,0,30,0,11.4,1,1,,,1,,1,4,0.96
Utah,3/3/20,17.4,16.7,0,0,34.6,0,15.5,1,1,,,1,,1,4,0.32
Vermont,3/3/20,22,9.4,0,0,50.7,0,12.6,1,1,,,1,,1,4,1
Virginia,3/3/20,53.3,9.7,0,0,23.1,0,10.8,1,1,,,1,,1,4,1
