state,cand,vote,delegates,radius,xValue,yValue,abbrev
Alabama,Biden,32.9,22,10.02798380748509,413,332,AL
Alaska,Biden,23.1,6,5.236943745506094,41,19,AK
Arizona,Biden,23.7,21,9.797424624746235,172,282,AZ
Arkansas,Biden,22.2,9,6.413919994074849,325,290,AR
California,Biden,13.4,28,11.313091488924615,103,237,CA
Colorado,Biden,12.1,3,3.7030784351398367,224,249,CO
Connecticut,Biden,16.6,13,7.708572471786852,586,128,CT
Delaware,Biden,30.3,9,6.413919994074849,557,183,DE
Florida,Biden,24.0,71,18.014883501081698,483,380,FL
Georgia,Biden,30.4,41,13.689708857005273,443,298,GA
Hawaii,Biden,16.2,5,4.780653702998803,88,372,HI
Idaho,Biden,18.3,5,4.780653702998803,188,173,ID
Illinois,Biden,18.9,40,13.521730607580132,359,207,IL
Indiana,Biden,16.6,16,8.55189332543313,413,207,IN
Iowa,Biden,15.8,6,5.236943745506094,306,195,IA
Kansas,Biden,14.9,4,4.275946662716565,266,248,KS
Kentucky,Biden,21.6,16,8.55189332543313,411,251,KY
Louisiana,Biden,34.2,24,10.473887491012189,326,335,LA
Maine,Biden,11.7,1,2.1379733313582827,628,26,ME
Maryland,Biden,23.3,30,11.710162209293987,505,185,MD
Massachusetts,Biden,12.3,5,4.780653702998803,607,89,MA
Michigan,Biden,17.8,30,11.710162209293987,418,149,MI
Minnesota,Biden,9.7,0,0.0,304,142,MN
Mississippi,Biden,36.0,16,8.55189332543313,373,324,MS
Missouri,Biden,26.4,25,10.689866656791414,329,251,MO
Montana,Biden,18.1,5,4.780653702998803,206,131,MT
Nebraska,Biden,15.7,6,5.236943745506094,258,209,NE
Nevada,Biden,17.6,9,6.413919994074849,167,220,NV
New Hampshire,Biden,8.7,0,0.0,612,54,NH
New Jersey,Biden,16.5,27,11.10923530541951,551,147,NJ
New Mexico,Biden,16.5,7,5.656545744462307,215,303,NM
New York,Biden,18.2,67,17.5000659340229,548,81,NY
North Carolina,Biden,20.9,31,11.903731723017628,499,278,NC
North Dakota,Biden,15.2,3,3.7030784351398367,257,136,ND
Ohio,Biden,18.8,34,12.466419647612298,459,191,OH
Oklahoma,Biden,18.5,9,6.413919994074849,270,294,OK
Oregon,Biden,19.3,16,8.55189332543313,124,176,OR
Pennsylvania,Biden,20.1,50,15.117754405994354,498,132,PA
Rhode Island,Biden,15.2,5,4.780653702998803,619,126,RI
South Carolina,Biden,34.9,24,10.473887491012189,487,322,SC
South Dakota,Biden,15.4,3,3.7030784351398367,257,167,SD
Tennessee,Biden,29.6,25,10.689866656791414,379,284,TN
Texas,Biden,21.0,64,17.10378665086626,271,355,TX
Utah,Biden,11.7,1,2.1379733313582827,204,218,UT
Vermont,Biden,7.1,0,0.0,585,47,VT
Virginia,Biden,18.1,24,10.473887491012189,508,229,VA
Washington,Biden,11.8,4,4.275946662716565,154,131,WA
West Virginia,Biden,24.7,9,6.413919994074849,451,242,WV
Wisconsin,Biden,13.0,5,4.780653702998803,359,146,WI
Wyoming,Biden,23.3,6,5.236943745506094,214,177,WY
District of Columbia,Biden,35.0,9,6.413919994074849,536,193,DC
Alabama,Bloomberg,21.6,15,8.280335106986222,413,332,AL
Alaska,Bloomberg,14.7,0,0.0,41,19,AK
Arizona,Bloomberg,15.3,14,7.999563708002411,172,282,AZ
Arkansas,Bloomberg,25.5,11,7.090855351901601,325,290,AR
California,Bloomberg,17.1,111,22.524946752023965,103,237,CA
Colorado,Bloomberg,15.6,14,7.999563708002411,224,249,CO
Connecticut,Bloomberg,17.8,14,7.999563708002411,586,128,CT
Delaware,Bloomberg,16.1,5,4.780653702998803,557,183,DE
Florida,Bloomberg,28.8,85,19.711140176964268,483,380,FL
Georgia,Bloomberg,22.8,30,11.710162209293987,443,298,GA
Hawaii,Bloomberg,16.6,5,4.780653702998803,88,372,HI
Idaho,Bloomberg,15.5,4,4.275946662716565,188,173,ID
Illinois,Bloomberg,18.2,38,13.17935274179923,359,207,IL
Indiana,Bloomberg,15.4,15,8.280335106986222,413,207,IN
Iowa,Bloomberg,0.1,0,0.0,306,195,IA
Kansas,Bloomberg,15.0,9,6.413919994074849,266,248,KS
Kentucky,Bloomberg,19.9,14,7.999563708002411,411,251,KY
Louisiana,Bloomberg,21.8,15,8.280335106986222,326,335,LA
Maine,Bloomberg,19.4,6,5.236943745506094,628,26,ME
Maryland,Bloomberg,19.2,25,10.689866656791414,505,185,MD
Massachusetts,Bloomberg,15.8,20,9.561307405997606,607,89,MA
Michigan,Bloomberg,16.9,28,11.313091488924615,418,149,MI
Minnesota,Bloomberg,10.4,1,2.1379733313582827,304,142,MN
Mississippi,Bloomberg,22.1,10,6.760865303790066,373,324,MS
Missouri,Bloomberg,24.1,23,10.253359898529963,329,251,MO
Montana,Bloomberg,17.1,5,4.780653702998803,206,131,MT
Nebraska,Bloomberg,15.5,6,5.236943745506094,258,209,NE
Nevada,Bloomberg,0.0,0,0.0,167,220,NV
New Hampshire,Bloomberg,0.0,0,0.0,612,54,NH
New Jersey,Bloomberg,23.0,38,13.17935274179923,551,147,NJ
New Mexico,Bloomberg,16.5,7,5.656545744462307,215,303,NM
New York,Bloomberg,24.7,91,20.394965723666473,548,81,NY
North Carolina,Bloomberg,23.6,36,12.827839988149698,499,278,NC
