date,state,delegates,biden,bloomberg,booker,buttigieg,klobuchar,sanders,steyer,warren,yang,bidenper,bloombergper,bookerper,buttigiegper,klobucharper,sandersper,steyerper,warrenper,yangper,thru
Feb. 3rd,Iowa,41,6,0,0,14,1,12,0,8,0,0.14634146341463414,0.0,0,0.34146341463414637,0.024390243902439025,0.2926829268292683,0,0.1951219512195122,0,
Feb 11th,New Hampshire,24,0,0,0,9,6,9,0,0,0,0.0,0.0,0,0.375,0.25,0.375,0,0.0,0,
,-->,65,6,0,0,23,7,21,0,8,0,0.09230769230769231,0.0,0,0.35384615384615387,0.1076923076923077,0.3230769230769231,0,0.12307692307692308,0,Thru. Feb 11th
Feb. 22nd,Nevada,36,9,0,0,3,0,24,0,0,0,0.25,0.0,0,0.08333333333333333,0.0,0.6666666666666666,0,0.0,0,
,-->,101,15,0,0,26,7,45,0,8,0,0.1485148514851485,0.0,0,0.25742574257425743,0.06930693069306931,0.44554455445544555,0,0.07920792079207921,0,Thru. Feb 22nd
Feb. 29th,South Carolina,54,39,0,0,0,0,15,0,0,0,0.7222222222222222,0.0,0,0.0,0.0,0.2777777777777778,0,0.0,0,
,-->,155,54,0,0,26,7,60,0,8,0,0.34838709677419355,0.0,0,0.16774193548387098,0.04516129032258064,0.3870967741935484,0,0.05161290322580645,0,Thru. Feb 29th
Mar. 3rd,,1358,394,274,0,22,24,491,0,151,0,0.29013254786450665,0.20176730486008837,0,0.016200294550810016,0.017673048600883652,0.36156111929307805,0,0.11119293078055964,0,
,Alabama,52,24,13,0,0,0,14,0,1,0,0.46153846153846156,0.25,0,0.0,0.0,0.2692307692307692,0,0.019230769230769232,0,
,American Samoa,6,2,1,0,0,0,2,0,0,0,0.3333333333333333,0.16666666666666666,0,0.0,0.0,0.3333333333333333,0,0.0,0,
,Arkansas,31,11,9,0,1,0,9,0,1,0,0.3548387096774194,0.2903225806451613,0,0.03225806451612903,0.0,0.2903225806451613,0,0.03225806451612903,0,
,California,416,107,75,0,4,0,162,0,68,0,0.25721153846153844,0.18028846153846154,0,0.009615384615384616,0.0,0.3894230769230769,0,0.16346153846153846,0,
,Colorado,67,14,11,0,3,0,26,0,13,0,0.208955223880597,0.16417910447761194,0,0.04477611940298507,0.0,0.3880597014925373,0,0.19402985074626866,0,
,Democrats Abroad,13,4,2,0,0,0,6,0,1,0,0.3076923076923077,0.15384615384615385,0,0.0,0.0,0.46153846153846156,0,0.07692307692307693,0,
,Maine,24,5,5,0,2,0,8,0,4,0,0.20833333333333334,0.20833333333333334,0,0.08333333333333333,0.0,0.3333333333333333,0,0.16666666666666666,0,
,Massachusetts,91,19,16,0,7,0,28,0,21,0,0.2087912087912088,0.17582417582417584,0,0.07692307692307693,0.0,0.3076923076923077,0,0.23076923076923078,0,
,Minnesota,75,15,2,0,0,24,26,0,7,0,0.2,0.02666666666666667,0,0.0,0.32,0.3466666666666667,0,0.09333333333333334,0,
,North Carolina,110,41,28,0,0,0,37,0,4,0,0.37272727272727274,0.2545454545454545,0,0.0,0.0,0.33636363636363636,0,0.03636363636363636,0,
,Oklahoma,37,13,11,0,1,0,11,0,1,0,0.35135135135135137,0.2972972972972973,0,0.02702702702702703,0.0,0.2972972972972973,0,0.02702702702702703,0,
,Tennessee,64,27,16,0,0,0,18,0,3,0,0.421875,0.25,0,0.0,0.0,0.28125,0,0.046875,0,
,Texas,228,75,51,0,0,0,84,0,18,0,0.32894736842105265,0.2236842105263158,0,0.0,0.0,0.3684210526315789,0,0.07894736842105263,0,
,Utah,29,5,6,0,2,0,11,0,5,0,0.1724137931034483,0.20689655172413793,0,0.06896551724137931,0.0,0.3793103448275862,0,0.1724137931034483,0,
,Vermont,16,0,0,0,0,0,16,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0,
,Virginia,99,32,28,0,2,0,33,0,4,0,0.32323232323232326,0.2828282828282828,0,0.020202020202020204,0.0,0.3333333333333333,0,0.04040404040404041,0,
,-->,1513,448,274,0,48,31,551,0,159,0,0.29610046265697293,0.1810971579643093,0,0.031725049570389956,0.020489094514210177,0.364177131526768,0,0.10508922670191673,0,Thru Mar. 3rd
Mar. 10th,,352,110,81,0,10,0,119,0,29,0,0.3125,0.23011363636363635,0,0.028409090909090908,0.0,0.3380681818181818,0,0.08238636363636363,0,
,Idaho,20,6,4,0,1,0,8,0,1,0,0.3,0.2,0,0.05,0.0,0.4,0,0.05,0,
,Michigan,125,36,25,0,6,0,46,0,11,0,0.288,0.2,0,0.048,0.0,0.368,0,0.088,0,
,Mississippi,36,18,9,0,0,0,9,0,0,0,0.5,0.25,0,0.0,0.0,0.25,0,0.0,0,
,Missouri,68,27,20,0,0,0,17,0,3,0,0.39705882352941174,0.29411764705882354,0,0.0,0.0,0.25,0,0.04411764705882353,0,
,North Dakota,14,4,3,0,0,0,6,0,0,0,0.2857142857142857,0.21428571428571427,0,0.0,0.0,0.42857142857142855,0,0.0,0,
,Washington,89,19,20,0,3,0,33,0,14,0,0.21348314606741572,0.2247191011235955,0,0.033707865168539325,0.0,0.3707865168539326,0,0.15730337078651685,0,
,-->,1865,558,355,0,58,31,670,0,188,0,0.2991957104557641,0.1903485254691689,0,0.031099195710455763,0.016621983914209115,0.35924932975871315,0,0.10080428954423593,0,Thru Mar. 10th
Mar. 14th,Northern Marianas,6,2,1,0,0,0,2,0,0,0,0.3333333333333333,0.16666666666666666,0,0.0,0.0,0.3333333333333333,0,0.0,0,
,-->,1871,560,356,0,58,31,672,0,188,0,0.2993051843933725,0.1902725815072154,0,0.03099946552645644,0.016568679850347406,0.35916622127204706,0,0.10048102618920364,0,Thru Mar. 14th
Mar. 17th,,577,201,146,0,20,0,186,0,23,0,0.3483535528596187,0.2530329289428076,0,0.03466204506065858,0.0,0.3223570190641248,0,0.03986135181975736,0,
,Ohio,136,41,30,0,7,0,49,0,9,0,0.3014705882352941,0.22058823529411764,0,0.051470588235294115,0.0,0.3602941176470588,0,0.0661764705882353,0,
,Arizona,67,22,13,0,2,0,25,0,5,0,0.3283582089552239,0.19402985074626866,0,0.029850746268656716,0.0,0.373134328358209,0,0.07462686567164178,0,
,Florida,219,90,69,0,0,0,56,0,4,0,0.410958904109589,0.3150684931506849,0,0.0,0.0,0.2557077625570776,0,0.0182648401826484,0,
,Illinois,155,48,34,0,11,0,56,0,5,0,0.3096774193548387,0.21935483870967742,0,0.07096774193548387,0.0,0.36129032258064514,0,0.03225806451612903,0,
,-->,2448,761,502,0,78,31,858,0,211,0,0.31086601307189543,0.20506535947712418,0,0.031862745098039214,0.012663398692810458,0.35049019607843135,0,0.08619281045751634,0,Thru Mar. 17th
Mar. 24th,Georgia,105,46,28,0,0,0,32,0,0,0,0.4380952380952381,0.26666666666666666,0,0.0,0.0,0.3047619047619048,0,0.0,0,
,-->,2553,807,530,0,78,31,890,0,211,0,0.31609870740305523,0.20759890325107716,0,0.03055229142185664,0.012142577359968664,0.34860947904426165,0,0.08264786525656091,0,Thru Mar. 24th
Mar. 29th,Puerto Rico,51,20,10,0,0,0,18,0,4,0,0.39215686274509803,0.19607843137254902,0,0.0,0.0,0.35294117647058826,0,0.0784313725490196,0,
,-->,2604,827,540,0,78,31,908,0,215,0,0.3175883256528418,0.2073732718894009,0,0.029953917050691243,0.011904761904761904,0.3486943164362519,0,0.0825652841781874,0,Thru Mar. 29th
Apr. 4th,,107,42,23,0,0,0,34,0,7,0,0.3925233644859813,0.21495327102803738,0,0.0,0.0,0.3177570093457944,0,0.06542056074766354,0,
,Alaska,15,5,3,0,0,0,5,0,2,0,0.3333333333333333,0.2,0,0.0,0.0,0.3333333333333333,0,0.13333333333333333,0,
,Hawaii,24,6,4,0,0,0,9,0,4,0,0.25,0.16666666666666666,0,0.0,0.0,0.375,0,0.16666666666666666,0,
,Louisiana,54,26,13,0,0,0,14,0,1,0,0.48148148148148145,0.24074074074074073,0,0.0,0.0,0.25925925925925924,0,0.018518518518518517,0,
,Wyoming,14,5,3,0,0,0,6,0,0,0,0.35714285714285715,0.21428571428571427,0,0.0,0.0,0.42857142857142855,0,0.0,0,
,-->,2711,869,563,0,78,31,942,0,222,0,0.32054592401327925,0.20767244559203246,0,0.028771670970121725,0.011434894872740686,0.34747325710070087,0,0.08188860199188491,0,Thru Apr. 4th
Apr. 7th,Wisconsin,84,21,19,0,5,0,33,0,6,0,0.25,0.2261904761904762,0,0.05952380952380952,0.0,0.39285714285714285,0,0.07142857142857142,0,
,-->,2795,890,582,0,83,31,975,0,228,0,0.3184257602862254,0.20822898032200357,0,0.029695885509839,0.0110912343470483,0.3488372093023256,0,0.0815742397137746,0,Thru Apr. 7th
Apr. 28th,,663,205,167,0,16,0,227,0,50,0,0.3092006033182504,0.25188536953242835,0,0.024132730015082957,0.0,0.34238310708898945,0,0.07541478129713423,0,
,Connecticut,60,15,12,0,3,0,20,0,11,0,0.25,0.2,0,0.05,0.0,0.3333333333333333,0,0.18333333333333332,0,
,Delaware,21,10,4,0,0,0,7,0,0,0,0.47619047619047616,0.19047619047619047,0,0.0,0.0,0.3333333333333333,0,0.0,0,
,Maryland,96,34,21,0,1,0,33,0,7,0,0.3541666666666667,0.21875,0,0.010416666666666666,0.0,0.34375,0,0.07291666666666667,0,
,New York,274,80,82,0,1,0,93,0,18,0,0.291970802919708,0.29927007299270075,0,0.0036496350364963502,0.0,0.33941605839416056,0,0.06569343065693431,0,
,Pennsylvania,186,60,43,0,10,0,65,0,9,0,0.3225806451612903,0.23118279569892472,0,0.053763440860215055,0.0,0.34946236559139787,0,0.04838709677419355,0,
,Rhode Island,26,6,5,0,1,0,9,0,5,0,0.23076923076923078,0.19230769230769232,0,0.038461538461538464,0.0,0.34615384615384615,0,0.19230769230769232,0,
,-->,3458,1095,749,0,99,31,1202,0,278,0,0.316657027183343,0.2165991902834008,0,0.028629265471370735,0.008964719491035281,0.3475997686524002,0,0.0803932909196067,0,Thru Apr. 28th
May 5th,,128,31,23,0,17,0,41,0,18,0,0.2421875,0.1796875,0,0.1328125,0.0,0.3203125,0,0.140625,0,
,Guam,7,3,2,0,0,0,3,0,0,0,0.42857142857142855,0.2857142857142857,0,0.0,0.0,0.42857142857142855,0,0.0,0,
,Kansas,39,9,7,0,3,0,14,0,6,0,0.23076923076923078,0.1794871794871795,0,0.07692307692307693,0.0,0.358974358974359,0,0.15384615384615385,0,
,Indiana,82,19,14,0,14,0,24,0,12,0,0.23170731707317074,0.17073170731707318,0,0.17073170731707318,0.0,0.2926829268292683,0,0.14634146341463414,0,
,-->,3586,1126,772,0,116,31,1243,0,296,0,0.3139988845510318,0.21528165086447296,0,0.03234802007808143,0.00864472950362521,0.34662576687116564,0,0.08254322364751812,0,Thru May 5th
May 12th,,57,18,12,0,2,0,20,0,4,0,0.3157894736842105,0.21052631578947367,0,0.03508771929824561,0.0,0.3508771929824561,0,0.07017543859649122,0,
,Nebraska,29,7,5,0,2,0,10,0,4,0,0.2413793103448276,0.1724137931034483,0,0.06896551724137931,0.0,0.3448275862068966,0,0.13793103448275862,0,
,West Virginia,28,11,7,0,0,0,10,0,0,0,0.39285714285714285,0.25,0,0.0,0.0,0.35714285714285715,0,0.0,0,
,-->,3643,1144,784,0,118,31,1263,0,300,0,0.31402690090584684,0.2152072467746363,0,0.032390886631896786,0.008509470216854241,0.34669228657699697,0,0.08234971177600878,0,Thru May 12th
May 19th,,115,35,24,0,1,0,42,0,13,0,0.30434782608695654,0.20869565217391303,0,0.008695652173913044,0.0,0.3652173913043478,0,0.11304347826086956,0,
,Kentucky,54,18,13,0,0,0,20,0,3,0,0.3333333333333333,0.24074074074074073,0,0.0,0.0,0.37037037037037035,0,0.05555555555555555,0,
,Oregon,61,17,11,0,1,0,22,0,10,0,0.2786885245901639,0.18032786885245902,0,0.01639344262295082,0.0,0.36065573770491804,0,0.16393442622950818,0,
,-->,3758,1179,808,0,119,31,1305,0,313,0,0.31373070782331025,0.21500798296966472,0,0.03166577967003725,0.008249068653539117,0.34725918041511444,0,0.08328898350186269,0,Thru May 19th
Jun. 2nd,,215,63,53,0,5,0,79,0,16,0,0.2930232558139535,0.24651162790697675,0,0.023255813953488372,0.0,0.3674418604651163,0,0.07441860465116279,0,
,District of Columbia,20,10,5,0,0,0,5,0,0,0,0.5,0.25,0,0.0,0.0,0.25,0,0.0,0,
,Montana,19,5,4,0,0,0,7,0,3,0,0.2631578947368421,0.21052631578947367,0,0.0,0.0,0.3684210526315789,0,0.15789473684210525,0,
,New Jersey,126,35,34,0,4,0,46,0,8,0,0.2777777777777778,0.2698412698412698,0,0.031746031746031744,0.0,0.36507936507936506,0,0.06349206349206349,0,
,New Mexico,34,9,7,0,0,0,15,0,3,0,0.2647058823529412,0.20588235294117646,0,0.0,0.0,0.4411764705882353,0,0.08823529411764706,0,
,South Dakota,16,4,3,0,1,0,6,0,2,0,0.25,0.1875,0,0.0625,0.0,0.375,0,0.125,0,
,,3973,1242,861,0,124,31,1384,0,329,0,0.312610118298515,0.21671281147747296,0,0.03121067203624465,0.007802668009061163,0.3483513717593758,0,0.08280896048326201,0,Thru Jun. 2nd
Jun. 6th,Virgin Islands,7,3,2,0,0,0,3,0,0,0,0.42857142857142855,0.2857142857142857,0,0.0,0.0,0.42857142857142855,0,0.0,0,
,-->,3980,1245,863,0,124,31,1387,0,329,0,0.3128140703517588,0.21683417085427137,0,0.031155778894472363,0.007788944723618091,0.3484924623115578,0,0.08266331658291458,0,Total
