state,creator,RMSE
Iowa,Change Research,2.705180215808181
Iowa,Data for Progress,2.8138940989312307
Iowa,Siena College/New York Times Upshot,3.0129719547317397
Iowa,Selzer & Co.,3.382011235936392
Iowa,Civiqs,3.877886022048611
Iowa,David Binder Research,3.9847208183259215
Iowa,Park Street Strategies,4.307899720281334
Iowa,Emerson College,4.651666368087892
Iowa,Monmouth University,4.999799995999839
Iowa,Morningside College,5.2036525633443285
Iowa,YouGov,5.358917801198298
Iowa,American Research Group,6.0694316043596706
Iowa,Suffolk University,6.563383273891599
Iowa,Neighborhood Research and Media,7.954747010433456
Iowa,RealClearPolitics,3.5
Iowa,Lean Tossup,3.7
Iowa,#10at10,3.8
Iowa,JHK Forecast,3.9
Iowa,FiveThirtyEight Polling Avg,4.3
Iowa,FiveThirtyEight Forecast,5.6
New Hampshire,AtlasIntel,3.3
New Hampshire,Emerson College,3.5
New Hampshire,Data for Progress,3.9
New Hampshire,Elucd,4.0
New Hampshire,Suffolk University,4.1
New Hampshire,American Research Group,4.4
New Hampshire,Change Research,5.8
New Hampshire,YouGov,6.0
New Hampshire,University of New Hampshire,6.1
New Hampshire,Marist College,6.3
New Hampshire,Monmouth University,6.7
New Hampshire,University of Massachusetts Lowell,7.2
New Hampshire,RKM Research and Communications Inc.,7.7
New Hampshire,MassINC Polling Group,7.8
New Hampshire,St. Anselm,8.3
New Hampshire,Lean Tossup,3.8
New Hampshire,RealClearPolitics,4.3
New Hampshire,#10at10,4.7
New Hampshire,JHK Forecast,4.7
New Hampshire,FiveThirtyEight Forecast,4.7
New Hampshire,FiveThirtyEight Polling Avg,4.9
