state,candidate,vote,delegates,proj_votes,proj_delegates,vote_error,delegates_diff
Iowa,Biden,15.0,6,19.9,11,-4.899999999999999,-5
Iowa,Bloomberg,0.1,0,3.1,0,-3.0,0
Iowa,Buttigieg,21.3,14,15.8,9,5.5,5
Iowa,Klobuchar,12.7,1,9.0,1,3.6999999999999993,0
Iowa,Sanders,24.8,12,23.2,12,1.6000000000000014,0
Iowa,Steyer,1.7,0,3.5,0,-1.8,0
Iowa,Warren,18.4,8,15.5,8,2.8999999999999986,0
Iowa,Yang,5.0,0,4.0,0,1.0,0
New Hampshire,Biden,8.7,0,10.4,0,-1.700000000000001,0
New Hampshire,Buttigieg,24.2,9,22.0,10,2.1999999999999993,-1
New Hampshire,Klobuchar,19.8,6,10.7,0,9.100000000000001,6
New Hampshire,Sanders,25.9,9,28.5,13,-2.6000000000000014,-4
New Hampshire,Steyer,3.6,0,3.0,0,0.6000000000000001,0
New Hampshire,Warren,9.3,0,12.6,1,-3.299999999999999,-1
New Hampshire,Yang,2.8,0,3.6,0,-0.8000000000000003,0
