delegates,Biden,Bloomberg,Booker,Buttigieg,Klobuchar,Sanders,Steyer,Warren
0,1.2,25.7,100,100,78.0,0.2,100,52.1
200,6.8,10.3,0,0,7.4,2.0,0,9.4
400,7.7,8.1,0,0,5.4,4.2,0,7.6
600,8.2,8.6,0,0,4.0,6.0,0,7.1
800,9.3,10.7,0,0,2.7,8.0,0,8.9
1000,11.7,13.8,0,0,1.7,11.0,0,8.3
1200,15.8,11.4,0,0,0.7,13.9,0,4.2
1400,15.2,6.6,0,0,0.2,16.0,0,1.7
1600,11.1,3.1,0,0,0.0,14.3,0,0.5
1800,6.9,1.2,0,0,0.0,10.3,0,0.1
2000,3.5,0.4,0,0,0.0,7.0,0,0.1
2200,1.6,0.2,0,0,0.0,3.5,0,0.0
2400,0.7,0.0,0,0,0.0,1.8,0,0.0
2600,0.4,0.0,0,0,0.0,0.8,0,0.0
2800,0.2,0.0,0,0,0.0,0.4,0,0.0
3000,0.0,0.0,0,0,0.0,0.3,0,0.0
3200,0.0,0.0,0,0,0.0,0.1,0,0.0
3400,0.0,0.0,0,0,0.0,0.0,0,0.0
3600,0.0,0.0,0,0,0.0,0.0,0,0.0
3800,0.0,0.0,0,0,0.0,0.0,0,0.0
4000,0.0,0.0,0,0,0.0,0.0,0,0.0
