State,Delegates,Date,Biden,Bloomberg,Booker,Buttigieg,Klobuchar,Sanders,Steyer,Warren,Yang,Bidendel,Bloombergdel,Bookerdel,Buttigiegdel,Klobuchardel,Sandersdel,Steyerdel,Warrendel,Yangdel,Bidenwin,Bloombergwin,Bookerwin,Buttigiegwin,Klobucharwin,Sanderswin,Steyerwin,Warrenwin,Yangwin,Bidenres,Bloombergres,Bookerres,Buttigiegres,Klobucharres,Sandersres,Steyerres,Warrenres,Yangres,Bidenresdel,Bloombergresdel,Bookerresdel,Buttigiegresdel,Klobucharresdel,Sandersresdel,Steyerresdel,Warrenresdel,Yangresdel,radius,xValue,yValue,abbrev
Iowa,41,2020-02-03,19.910969343989386,3.086189660295686,0,15.826454107857849,9.014738139025468,23.21834868484939,3.4554251297401253,15.501501161114156,3.9768029664397604,11,0,0,9,1,12,0,8,0,25.779999999999998,0.0,0,14.430000000000001,4.64,38.45,1.73,13.209999999999999,1.76,15.8,0.1,0.0,26.200000000000003,12.3,26.1,0.0,18.0,5.0,6.0,0.0,0.0,14.0,1.0,12.0,0.0,9.0,0.0,13.416407864998739,306,195,IA
New Hampshire,24,2020-02-11,10.419694926861748,0.0,0,21.964256650819614,10.702501709992324,28.54949125777454,2.991354200712141,12.602629576547253,3.6429149238489917,0,0,0,10,0,13,0,1,0,4.72,0.0,0,26.740000000000002,4.84,54.22,1.04,7.1499999999999995,1.29,8.68,0.0,0.0,24.2,19.8,25.900000000000002,3.5999999999999996,9.3,3.0,0.0,0.0,0.0,8.0,6.0,9.0,0.0,0.0,0.0,10.954451150103322,612,54,NH
Nevada,36,2020-02-22,14.826368172978416,0.0,0,16.075973558095345,7.652927001349127,34.64206931894524,11.707646776560217,15.09501517207167,0.0,4,0,0,8,0,17,1,6,0,5.07,0.0,0,6.4,1.1400000000000001,80.36999999999999,2.41,4.42,0.0,,,,,,,,,,,,,,,,,,,13.416407864998739,167,220,NV
South Carolina,54,2020-02-29,38.976121138938105,0.0,0,8.050529054424022,5.2894907302173255,24.662733109601877,15.54326757457848,7.477858392240178,0.0,27,0,0,0,0,17,11,0,0,82.13000000000001,0.0,0,0.45999999999999996,0.24,14.02,2.74,0.33,0.0,,,,,,,,,,,,,,,,,,,16.431676725154983,487,322,SC
Alabama,52,2020-03-03,42.04208773280826,21.566107689796347,0,0.0,0.0,23.560112964568514,0.0,12.831691612826868,0.0,24,12,0,0,0,13,0,3,0,86.37,5.46,0,0.0,0.0,7.3999999999999995,0.0,0.77,0.0,,,,,,,,,,,,,,,,,,,16.431676725154983,413,332,AL
American Samoa,6,2020-03-03,32.15571200101097,17.557032160926365,0,0.0,0.0,32.71307532193657,0.0,17.574180516126084,0.0,2,1,0,0,0,2,0,1,0,44.14,4.47,0,0.0,0.0,47.03,0.0,4.36,0.0,,,,,,,,,,,,,,,,,,,0.0,-100,-100,
Arkansas,31,2020-03-03,33.053906689335264,26.824841535781136,0,0.0,0.0,26.644931189335647,0.0,13.476320585547953,0.0,11,9,0,0,0,9,0,2,0,51.980000000000004,23.3,0,0.0,0.0,22.720000000000002,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,13.416407864998739,325,290,AR
California,416,2020-03-03,24.574473550997673,17.23802221189794,0,0.0,0.0,39.6376969378539,0.0,18.549807299250475,0.0,102,72,0,0,0,165,0,77,0,12.139999999999999,3.2,0,0.0,0.0,80.73,0.0,3.93,0.0,,,,,,,,,,,,,,,,,,,40.620192023179804,103,237,CA
Colorado,67,2020-03-03,22.474159837096845,16.75937075245198,0,0.0,0.0,39.22024321657657,0.0,21.546226193874585,0.0,15,11,0,0,0,26,0,14,0,9.08,3.17,0,0.0,0.0,80.53,0.0,7.22,0.0,,,,,,,,,,,,,,,,,,,16.431676725154983,224,249,CO
Democrats Abroad,13,2020-03-03,27.782174837480117,15.169079045949353,0,0.0,0.0,41.86485108389016,0.0,15.18389503268038,0.0,4,2,0,0,0,5,0,2,0,14.760000000000002,1.2,0,0.0,0.0,82.78999999999999,0.0,1.25,0.0,,,,,,,,,,,,,,,,,,,0.0,-100,-100,
