state,cand,vote,delegates,label,xValue,yValue
Alabama,Biden,33.5,23,AL,637.0,338.6934
Alaska,Biden,23.6,7,AK,245.0,400.0
Arizona,Biden,21.7,22,AZ,315.0,306.5801
Arkansas,Biden,22.7,9,AR,560.0,315.6387
California,Biden,15.8,89,CA,223.0,253.9219
Colorado,Biden,12.6,4,CO,400.0,245.5645
Connecticut,Biden,16.8,12,CT,-1000.0,-1000.0
Delaware,Biden,30.9,9,DE,-1000.0,-1000.0
Florida,Biden,28.8,85,FL,714.0,397.8154
Georgia,Biden,31.1,42,GA,680.0117,335.2354
Hawaii,Biden,16.4,5,HI,380.0,465.0
Idaho,Biden,19.6,5,ID,310.1851,155.0
Illinois,Biden,19.2,41,IL,596.6602,231.2954
Indiana,Biden,16.8,18,IN,633.4111,228.4214
Iowa,Biden,15.8,6,IA,545.8457,202.6782
Kansas,Biden,15.1,8,KS,487.0,259.1592
Kentucky,Biden,22.4,16,KY,655.1484,264.9658
Louisiana,Biden,34.9,24,LA,561.4404,369.8135
Maine,Biden,11.8,1,ME,807.3105,109.855
Maryland,Biden,23.8,30,MD,-1000.0,-1000.0
Massachusetts,Biden,12.4,5,MA,-1000.0,-1000.0
Michigan,Biden,18.1,31,MI,645.6465,181.3647
Minnesota,Biden,9.8,1,MN,530.8594,141.5874
Mississippi,Biden,36.7,17,MS,598.6016,342.1514
Missouri,Biden,26.9,25,MO,557.0,261.123
Montana,Biden,18.4,5,MT,370.0981,112.7705
Nebraska,Biden,15.9,6,NE,473.8364,210.0527
Nevada,Biden,17.6,9,NV,267.8765,219.0957
New Hampshire,Biden,8.7,0,NH,-1000.0,-1000.0
New Jersey,Biden,16.8,28,NJ,785.0,210.0
New Mexico,Biden,16.8,8,NM,385.3774,314.1035
New York,Biden,17.9,66,NY,753.5781,163.2588
North Carolina,Biden,21.3,32,NC,728.6084,284.5029
North Dakota,Biden,15.8,3,ND,467.0742,117.3823
Ohio,Biden,19.1,35,OH,670.7197,219.4883
Oklahoma,Biden,23.4,12,OK,500.1963,306.418
Oregon,Biden,19.6,19,OR,240.2783,139.5654
Pennsylvania,Biden,20.5,51,PA,730.3535,200.856
Rhode Island,Biden,15.4,5,RI,-1000.0,-1000.0
South Carolina,Biden,37.8,27,SC,712.4395,315.6387
South Dakota,Biden,15.6,3,SD,468.0742,163.5166
Tennessee,Biden,30.1,25,TN,640.8594,294.8193
Texas,Biden,21.7,66,TX,480.9902,374.2861
Utah,Biden,11.8,1,UT,330.1084,234.978
Vermont,Biden,7.2,0,VT,-1000.0,-1000.0
Virginia,Biden,18.7,25,VA,731.0264,252.7842
Washington,Biden,12.0,4,WA,256.9365,88.0762
West Virginia,Biden,27.1,10,WV,701.0,243.0
Wisconsin,Biden,13.9,6,WI,585.2529,163.2588
Wyoming,Biden,23.9,6,WY,385.9287,179.6255
District of Columbia,Biden,35.8,9,DC,-1000.0,-1000.0
Alabama,Bloomberg,20.7,14,AL,637.0,338.6934
Alaska,Bloomberg,13.8,0,AK,245.0,400.0
Arizona,Bloomberg,14.8,6,AZ,315.0,306.5801
Arkansas,Bloomberg,24.7,10,AR,560.0,315.6387
California,Bloomberg,15.6,87,CA,223.0,253.9219
Colorado,Bloomberg,14.3,6,CO,400.0,245.5645
Connecticut,Bloomberg,16.9,12,CT,-1000.0,-1000.0
Delaware,Bloomberg,15.1,4,DE,-1000.0,-1000.0
Florida,Bloomberg,26.0,76,FL,714.0,397.8154
Georgia,Bloomberg,21.9,30,GA,680.0117,335.2354
Hawaii,Bloomberg,15.6,5,HI,380.0,465.0
Idaho,Bloomberg,15.3,4,ID,310.1851,155.0
Illinois,Bloomberg,17.1,37,IL,596.6602,231.2954
Indiana,Bloomberg,14.4,7,IN,633.4111,228.4214
Iowa,Bloomberg,0.1,0,IA,545.8457,202.6782
Kansas,Bloomberg,14.1,3,KS,487.0,259.1592
Kentucky,Bloomberg,19.4,14,KY,655.1484,264.9658
Louisiana,Bloomberg,20.9,15,LA,561.4404,369.8135
Maine,Bloomberg,18.5,6,ME,807.3105,109.855
Maryland,Bloomberg,18.2,23,MD,-1000.0,-1000.0
Massachusetts,Bloomberg,14.7,8,MA,-1000.0,-1000.0
Michigan,Bloomberg,15.9,27,MI,645.6465,181.3647
Minnesota,Bloomberg,9.1,0,MN,530.8594,141.5874
Mississippi,Bloomberg,21.1,10,MS,598.6016,342.1514
Missouri,Bloomberg,23.3,22,MO,557.0,261.123
Montana,Bloomberg,16.1,5,MT,370.0981,112.7705
Nebraska,Bloomberg,14.5,3,NE,473.8364,210.0527
Nevada,Bloomberg,0.0,0,NV,267.8765,219.0957
New Hampshire,Bloomberg,0.0,0,NH,-1000.0,-1000.0
New Jersey,Bloomberg,22.1,37,NJ,785.0,210.0
New Mexico,Bloomberg,15.5,7,NM,385.3774,314.1035
New York,Bloomberg,24.2,89,NY,753.5781,163.2588
North Carolina,Bloomberg,22.8,35,NC,728.6084,284.5029
North Dakota,Bloomberg,14.8,0,ND,467.0742,117.3823
Ohio,Bloomberg,17.5,32,OH,670.7197,219.4883
Oklahoma,Bloomberg,23.5,12,OK,500.1963,306.418
Oregon,Bloomberg,14.7,5,OR,240.2783,139.5654
Pennsylvania,Bloomberg,18.3,45,PA,730.3535,200.856
Rhode Island,Bloomberg,17.3,5,RI,-1000.0,-1000.0
South Carolina,Bloomberg,0.0,0,SC,712.4395,315.6387
South Dakota,Bloomberg,14.6,1,SD,468.0742,163.5166
Tennessee,Bloomberg,19.9,17,TN,640.8594,294.8193
Texas,Bloomberg,18.3,56,TX,480.9902,374.2861
Utah,Bloomberg,17.8,8,UT,330.1084,234.978
Vermont,Bloomberg,11.9,0,VT,-1000.0,-1000.0
Virginia,Bloomberg,23.5,31,VA,731.0264,252.7842
Washington,Bloomberg,19.0,27,WA,256.9365,88.0762
West Virginia,Bloomberg,19.9,7,WV,701.0,243.0
Wisconsin,Bloomberg,17.4,24,WI,585.2529,163.2588
Wyoming,Bloomberg,14.0,0,WY,385.9287,179.6255
District of Columbia,Bloomberg,20.1,5,DC,-1000.0,-1000.0
Alabama,Booker,0.0,0,AL,637.0,338.6934
Alaska,Booker,0.0,0,AK,245.0,400.0
Arizona,Booker,0.0,0,AZ,315.0,306.5801
Arkansas,Booker,0.0,0,AR,560.0,315.6387
California,Booker,0.0,0,CA,223.0,253.9219
Colorado,Booker,0.0,0,CO,400.0,245.5645
Connecticut,Booker,0.0,0,CT,-1000.0,-1000.0
Delaware,Booker,0.0,0,DE,-1000.0,-1000.0
Florida,Booker,0.0,0,FL,714.0,397.8154
Georgia,Booker,0.0,0,GA,680.0117,335.2354
Hawaii,Booker,0.0,0,HI,380.0,465.0
Idaho,Booker,0.0,0,ID,310.1851,155.0
Illinois,Booker,0.0,0,IL,596.6602,231.2954
Indiana,Booker,0.0,0,IN,633.4111,228.4214
Iowa,Booker,0.0,0,IA,545.8457,202.6782
Kansas,Booker,0.0,0,KS,487.0,259.1592
Kentucky,Booker,0.0,0,KY,655.1484,264.9658
Louisiana,Booker,0.0,0,LA,561.4404,369.8135
Maine,Booker,0.0,0,ME,807.3105,109.855
Maryland,Booker,0.0,0,MD,-1000.0,-1000.0
Massachusetts,Booker,0.0,0,MA,-1000.0,-1000.0
Michigan,Booker,0.0,0,MI,645.6465,181.3647
Minnesota,Booker,0.0,0,MN,530.8594,141.5874
Mississippi,Booker,0.0,0,MS,598.6016,342.1514
Missouri,Booker,0.0,0,MO,557.0,261.123
Montana,Booker,0.0,0,MT,370.0981,112.7705
Nebraska,Booker,0.0,0,NE,473.8364,210.0527
Nevada,Booker,0.0,0,NV,267.8765,219.0957
New Hampshire,Booker,0.0,0,NH,-1000.0,-1000.0
New Jersey,Booker,0.0,0,NJ,785.0,210.0
New Mexico,Booker,0.0,0,NM,385.3774,314.1035
New York,Booker,0.0,0,NY,753.5781,163.2588
North Carolina,Booker,0.0,0,NC,728.6084,284.5029
North Dakota,Booker,0.0,0,ND,467.0742,117.3823
Ohio,Booker,0.0,0,OH,670.7197,219.4883
Oklahoma,Booker,0.0,0,OK,500.1963,306.418
Oregon,Booker,0.0,0,OR,240.2783,139.5654
Pennsylvania,Booker,0.0,0,PA,730.3535,200.856
Rhode Island,Booker,0.0,0,RI,-1000.0,-1000.0
South Carolina,Booker,0.0,0,SC,712.4395,315.6387
South Dakota,Booker,0.0,0,SD,468.0742,163.5166
Tennessee,Booker,0.0,0,TN,640.8594,294.8193
Texas,Booker,0.0,0,TX,480.9902,374.2861
Utah,Booker,0.0,0,UT,330.1084,234.978
Vermont,Booker,0.0,0,VT,-1000.0,-1000.0
Virginia,Booker,0.0,0,VA,731.0264,252.7842
Washington,Booker,0.0,0,WA,256.9365,88.0762
West Virginia,Booker,0.0,0,WV,701.0,243.0
Wisconsin,Booker,0.0,0,WI,585.2529,163.2588
Wyoming,Booker,0.0,0,WY,385.9287,179.6255
District of Columbia,Booker,0.0,0,DC,-1000.0,-1000.0
Alabama,Buttigieg,7.5,0,AL,637.0,338.6934
Alaska,Buttigieg,11.2,0,AK,245.0,400.0
Arizona,Buttigieg,12.3,3,AZ,315.0,306.5801
Arkansas,Buttigieg,12.6,2,AR,560.0,315.6387
California,Buttigieg,12.3,21,CA,223.0,253.9219
Colorado,Buttigieg,13.3,4,CO,400.0,245.5645
Connecticut,Buttigieg,13.2,4,CT,-1000.0,-1000.0
Delaware,Buttigieg,11.1,0,DE,-1000.0,-1000.0
Florida,Buttigieg,9.2,0,FL,714.0,397.8154
Georgia,Buttigieg,8.7,0,GA,680.0117,335.2354
Hawaii,Buttigieg,10.0,0,HI,380.0,465.0
Idaho,Buttigieg,11.9,1,ID,310.1851,155.0
Illinois,Buttigieg,14.8,14,IL,596.6602,231.2954
Indiana,Buttigieg,19.7,22,IN,633.4111,228.4214
Iowa,Buttigieg,26.2,14,IA,545.8457,202.6782
Kansas,Buttigieg,15.3,8,KS,487.0,259.1592
Kentucky,Buttigieg,9.2,0,KY,655.1484,264.9658
Louisiana,Buttigieg,6.6,0,LA,561.4404,369.8135
Maine,Buttigieg,16.2,5,ME,807.3105,109.855
Maryland,Buttigieg,10.7,2,MD,-1000.0,-1000.0
Massachusetts,Buttigieg,15.5,20,MA,-1000.0,-1000.0
Michigan,Buttigieg,13.3,8,MI,645.6465,181.3647
Minnesota,Buttigieg,10.4,1,MN,530.8594,141.5874
Mississippi,Buttigieg,6.1,0,MS,598.6016,342.1514
Missouri,Buttigieg,10.8,2,MO,557.0,261.123
Montana,Buttigieg,12.4,0,MT,370.0981,112.7705
Nebraska,Buttigieg,15.3,6,NE,473.8364,210.0527
Nevada,Buttigieg,15.3,3,NV,267.8765,219.0957
New Hampshire,Buttigieg,24.2,9,NH,-1000.0,-1000.0
New Jersey,Buttigieg,12.5,7,NJ,785.0,210.0
New Mexico,Buttigieg,11.1,1,NM,385.3774,314.1035
New York,Buttigieg,10.6,6,NY,753.5781,163.2588
North Carolina,Buttigieg,11.2,3,NC,728.6084,284.5029
North Dakota,Buttigieg,15.5,3,ND,467.0742,117.3823
Ohio,Buttigieg,13.8,10,OH,670.7197,219.4883
Oklahoma,Buttigieg,11.9,2,OK,500.1963,306.418
Oregon,Buttigieg,11.6,2,OR,240.2783,139.5654
Pennsylvania,Buttigieg,13.8,14,PA,730.3535,200.856
Rhode Island,Buttigieg,13.5,2,RI,-1000.0,-1000.0
South Carolina,Buttigieg,9.7,0,SC,712.4395,315.6387
South Dakota,Buttigieg,15.5,3,SD,468.0742,163.5166
Tennessee,Buttigieg,8.4,0,TN,640.8594,294.8193
Texas,Buttigieg,10.5,4,TX,480.9902,374.2861
Utah,Buttigieg,11.5,1,UT,330.1084,234.978
Vermont,Buttigieg,11.7,0,VT,-1000.0,-1000.0
Virginia,Buttigieg,12.2,5,VA,731.0264,252.7842
Washington,Buttigieg,12.4,5,WA,256.9365,88.0762
West Virginia,Buttigieg,10.0,0,WV,701.0,243.0
Wisconsin,Buttigieg,14.1,7,WI,585.2529,163.2588
Wyoming,Buttigieg,10.8,0,WY,385.9287,179.6255
District of Columbia,Buttigieg,5.3,0,DC,-1000.0,-1000.0
Alabama,Klobuchar,4.6,0,AL,637.0,338.6934
Alaska,Klobuchar,4.5,0,AK,245.0,400.0
Arizona,Klobuchar,4.9,0,AZ,315.0,306.5801
Arkansas,Klobuchar,5.7,0,AR,560.0,315.6387
California,Klobuchar,5.6,0,CA,223.0,253.9219
Colorado,Klobuchar,5.9,0,CO,400.0,245.5645
Connecticut,Klobuchar,4.3,0,CT,-1000.0,-1000.0
Delaware,Klobuchar,3.9,0,DE,-1000.0,-1000.0
Florida,Klobuchar,5.5,0,FL,714.0,397.8154
Georgia,Klobuchar,5.0,0,GA,680.0117,335.2354
Hawaii,Klobuchar,4.3,0,HI,380.0,465.0
Idaho,Klobuchar,4.8,0,ID,310.1851,155.0
Illinois,Klobuchar,7.7,0,IL,596.6602,231.2954
Indiana,Klobuchar,7.0,0,IN,633.4111,228.4214
Iowa,Klobuchar,12.3,1,IA,545.8457,202.6782
Kansas,Klobuchar,7.5,0,KS,487.0,259.1592
Kentucky,Klobuchar,5.5,0,KY,655.1484,264.9658
Louisiana,Klobuchar,4.5,0,LA,561.4404,369.8135
Maine,Klobuchar,5.1,0,ME,807.3105,109.855
Maryland,Klobuchar,4.6,0,MD,-1000.0,-1000.0
Massachusetts,Klobuchar,8.3,0,MA,-1000.0,-1000.0
Michigan,Klobuchar,7.2,0,MI,645.6465,181.3647
Minnesota,Klobuchar,28.7,34,MN,530.8594,141.5874
Mississippi,Klobuchar,4.3,0,MS,598.6016,342.1514
Missouri,Klobuchar,7.8,0,MO,557.0,261.123
Montana,Klobuchar,5.0,0,MT,370.0981,112.7705
Nebraska,Klobuchar,7.4,0,NE,473.8364,210.0527
Nevada,Klobuchar,9.6,0,NV,267.8765,219.0957
New Hampshire,Klobuchar,19.8,6,NH,-1000.0,-1000.0
New Jersey,Klobuchar,4.4,0,NJ,785.0,210.0
New Mexico,Klobuchar,4.7,0,NM,385.3774,314.1035
New York,Klobuchar,6.3,0,NY,753.5781,163.2588
North Carolina,Klobuchar,5.7,0,NC,728.6084,284.5029
North Dakota,Klobuchar,7.7,0,ND,467.0742,117.3823
Ohio,Klobuchar,6.5,0,OH,670.7197,219.4883
Oklahoma,Klobuchar,7.0,0,OK,500.1963,306.418
Oregon,Klobuchar,4.5,0,OR,240.2783,139.5654
Pennsylvania,Klobuchar,6.6,0,PA,730.3535,200.856
Rhode Island,Klobuchar,4.4,0,RI,-1000.0,-1000.0
South Carolina,Klobuchar,5.2,0,SC,712.4395,315.6387
South Dakota,Klobuchar,7.6,0,SD,468.0742,163.5166
Tennessee,Klobuchar,5.1,0,TN,640.8594,294.8193
Texas,Klobuchar,6.3,0,TX,480.9902,374.2861
Utah,Klobuchar,5.2,0,UT,330.1084,234.978
Vermont,Klobuchar,3.9,0,VT,-1000.0,-1000.0
Virginia,Klobuchar,7.8,0,VA,731.0264,252.7842
Washington,Klobuchar,8.2,0,WA,256.9365,88.0762
West Virginia,Klobuchar,5.9,0,WV,701.0,243.0
Wisconsin,Klobuchar,8.8,0,WI,585.2529,163.2588
Wyoming,Klobuchar,4.3,0,WY,385.9287,179.6255
District of Columbia,Klobuchar,4.0,0,DC,-1000.0,-1000.0
Alabama,Sanders,21.7,15,AL,637.0,338.6934
Alaska,Sanders,30.2,8,AK,245.0,400.0
Arizona,Sanders,31.5,33,AZ,315.0,306.5801
Arkansas,Sanders,23.1,10,AR,560.0,315.6387
