State,Forecaster/Aggregate,Grade,Sample,Date,Biden,Buttigieg,Klobuchar,Sanders,Warren,RMSE,Biden.1,Buttigieg.1,Klobuchar.1,Sanders.1,Warren.1,Unnamed: 16,Unnamed: 17,State.1,Pollster,Grade.1,Sample.1,Date.1,Biden.2,Buttigieg.2,Klobuchar.2,Sanders.2,Warren.2
Iowa,Results,-,-,2/3,8.4,24.4,19.8,25.7,9.2,0.0,,,,,,,,New Hampshire,AtlasIntel,-,431  lv,2/10,12.0,24.0,14.0,24.0,11.0
New Hampshire,Lean Tossup,,,,11.72,23.7,12.8,27.9,12.1,3.8,3.3200000000000003,0.6999999999999993,7.0,2.1999999999999993,2.9000000000000004,,,New Hampshire,Data for Progress,B/C,1295  lv,2/10,9.0,26.0,13.0,28.0,14.0
New Hampshire,RealClearPolitics,,,,11.0,21.3,11.7,28.7,11.0,4.3,2.5999999999999996,3.099999999999998,8.100000000000001,3.0,1.8000000000000007,,,New Hampshire,Change Research,C,662  lv,2/9,9.0,21.0,8.0,30.0,8.0
New Hampshire,#10at10,,,,13.3,22.4,11.7,27.4,12.8,4.7,4.9,2.0,8.100000000000001,1.6999999999999993,3.6000000000000014,,,New Hampshire,Elucd,-,492  lv,2/9,8.0,20.0,12.0,26.0,10.0
New Hampshire,JHK Forecast,,,,10.4,22.0,10.7,28.5,12.6,4.7,2.0,2.3999999999999986,9.100000000000001,2.8000000000000007,3.4000000000000004,,,New Hampshire,University of New Hampshire,B,365  lv,2/9,11.0,22.0,7.0,29.0,10.0
New Hampshire,FiveThirtyEight Forecast,,,,12.0,23.0,11.0,28.0,13.0,4.7,3.5999999999999996,1.3999999999999986,8.8,2.3000000000000007,3.8000000000000007,,,New Hampshire,American Research Group,B,400  lv,2/9,13.0,20.0,13.0,28.0,11.0
New Hampshire,FiveThirtyEight Polling Avg,,,,11.7,21.6,10.3,26.0,12.5,4.9,3.299999999999999,2.799999999999997,9.5,0.3000000000000007,3.3000000000000007,,,New Hampshire,Suffolk University,A-,500  lv,2/9,12.0,19.0,14.0,27.0,12.0
New Hampshire,,,,,,,,,,,8.4,24.4,19.8,25.7,9.2,,,New Hampshire,Emerson College,B-,500  lv,2/9,10.0,23.0,14.0,30.0,11.0
New Hampshire,,,,,,,,,,,8.4,24.4,19.8,25.7,9.2,,,New Hampshire,RKM Research and Communications Inc.,A/B,512  lv,2/8,14.0,20.0,6.0,23.0,16.0
New Hampshire,,,,,,,,,,,8.4,24.4,19.8,25.7,9.2,,,New Hampshire,YouGov,B-,848  lv,2/8,12.0,25.0,10.0,29.0,17.0
New Hampshire,,,,,,,,,,,8.4,24.4,19.8,25.7,9.2,,,New Hampshire,University of Massachusetts Lowell,A/B,440  lv,2/7,14.0,17.0,8.0,25.0,15.0
New Hampshire,,,,,,,,,,,8.4,24.4,19.8,25.7,9.2,,,New Hampshire,Marist College,A+,1058  rv,2/6,13.0,21.0,8.0,25.0,14.0
New Hampshire,,,,,,,,,,,8.4,24.4,19.8,25.7,9.2,,,New Hampshire,Monmouth University,A+,503  lv,2/5,17.0,20.0,9.0,24.0,13.0
New Hampshire,,,,,,,,,,,8.4,24.4,19.8,25.7,9.2,,,New Hampshire,St. Anselm,-,491  lv,2/2,19.0,14.0,11.0,19.0,11.0
New Hampshire,,,,,,,,,,,8.4,24.4,19.8,25.7,9.2,,,New Hampshire,MassINC Polling Group,A/B,426  lv,1/21,14.0,17.0,6.0,29.0,13.0
New Hampshire,,,,,,,,,,,8.4,24.4,19.8,25.7,9.2,,,,,,,,,,,,
