State,Pollster,Grade,Sample,Date,weight,Biden,Bloomberg,Booker,Buttigieg,Klobuchar,Sanders,Steyer,Warren,Yang,link
Florida,Point Blank Political,-,3376  lv,2020-03-08 00:00:00,0.0,61,0,0,0,0,32,0,0,0,https://www.pointblankpolitical.com/2020-fl-dem-primary-poll/
Florida,Point Blank Political,-,3376  lv,2020-03-08 00:00:00,40.9,55,2,0,2,1,29,1,4,0,https://www.pointblankpolitical.com/2020-fl-dem-primary-poll/
Illinois,Ogden & Fry,B/C,457  lv,2020-03-08 00:00:00,30.0,55,0,0,0,0,26,0,0,0,https://drive.google.com/file/d/1rcSCjbOdGq1UzO-HuMBGOltviJrL-OKI/view
Michigan,Mitchell Research & Communications,D,602  lv,2020-03-08 00:00:00,12.9,54,1,0,1,1,33,1,3,0,https://www.realclearpolitics.com/docs/2020/Mitchell_Poll_of_MI_Dem_Pres_Primary_Press_Release_3-8-20.pdf
US,SSRS,A/B,540  rv,2020-03-07 00:00:00,42.9,52,0,0,0,0,36,0,7,0,https://cdn.cnn.com/cnn/2020/images/03/09/rel2a.-.2020.pdf
Mississippi,Data for Progress,A-,340  lv,2020-03-07 00:00:00,41.2,77,0,0,0,0,22,0,0,0,https://www.dataforprogress.org/blog/2020/3/8/ahead-in-ms-mo
Missouri,Data for Progress,A-,348  lv,2020-03-07 00:00:00,41.7,62,0,0,0,0,32,0,4,0,https://www.dataforprogress.org/blog/2020/3/8/ahead-in-ms-mo
Michigan,EPIC-MRA,B+,400  lv,2020-03-06 00:00:00,35.1,51,0,0,0,0,27,0,0,0,https://www.freep.com/story/news/politics/elections/2020/03/09/polls-joe-biden-holds-lead-over-bernie-sanders-michigan-primaries/4994142002/
Washington,SurveyUSA,A,550  lv,2020-03-06 00:00:00,62.6,36,0,0,0,0,35,0,10,0,https://www.king5.com/article/news/politics/elections/king-5-news-poll-washington-voters-split-between-biden-sanders/281-4806e740-809e-4c9b-9d21-2e4bfb4076b1
Washington,Data for Progress,A-,737  lv,2020-03-05 00:00:00,57.0,47,0,0,0,0,44,0,5,0,https://www.dataforprogress.org/blog/2020/3/7/narrow-lead-for-biden-in-washington
Missouri,Remington Research Group,C-,1040  lv,2020-03-05 00:00:00,17.0,53,0,0,0,0,31,0,0,0,https://moscout.com/s/MOSCOUT-030620.pptx
US,Morning Consult,B+,1390  lv,2020-03-05 00:00:00,64.8,54,0,0,0,0,38,0,0,0,https://morningconsult.com/2020/03/06/democratic-primary-polling-joe-biden-bernie-sanders/
Missouri,Emerson College,B-,425  lv,2020-03-05 00:00:00,23.3,48,0,0,0,0,44,0,0,0,https://emersonpolling.reportablenews.com/pr/missouri-2020-biden-with-slim-lead-on-sanders
US,Ipsos,B+,590  rv,2020-03-05 00:00:00,0.0,40,0,0,0,0,30,0,10,0,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_05_2020.pdf
US,Ipsos,B+,716  a,2020-03-05 00:00:00,0.0,34,0,0,0,0,30,0,9,0,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_2020_election_tracker_03_05_2020.pdf
