today,state,primary_date,total_delegates,Bidenproj,Bloombergproj,Buttigiegproj,Klobucharproj,Sandersproj,Steyerproj,Warrenproj,Yangproj,voteperc,dateindex,bi,bl,bu,kl,sa,st,wa,ya,abbrev,radius,xValue,yValue
2020-01-31,Iowa,2020-02-03,41,19.910969343989386,3.086189660295686,15.826454107857849,9.014738139025468,23.21834868484939,3.4554251297401253,15.501501161114156,3.9768029664397604,0.00977762133639483,43861Iowa,6,0,14,1,12,0,8,0,IA,13.416407864998739,306.0,195.0
2020-01-31,New Hampshire,2020-02-11,24,10.419694926861748,0.0,21.964256650819614,10.702501709992324,28.54949125777454,2.991354200712141,12.602629576547253,3.6429149238489917,0.005213273466981522,43861New Hampshire,0,0,9,6,9,0,0,0,NH,10.954451150103322,612.0,54.0
2020-01-31,Nevada,2020-02-22,36,14.826368172978416,0.0,16.075973558095345,7.652927001349127,34.64206931894524,11.707646776560217,15.09501517207167,0.0,0.008066284437328795,43861Nevada,9,0,3,0,24,0,0,0,NV,13.416407864998739,167.0,220.0
2020-01-31,South Carolina,2020-02-29,54,38.976121138938105,0.0,8.050529054424022,5.2894907302173255,24.662733109601877,15.54326757457848,7.477858392240178,0.0,0.012794722245319962,43861South Carolina,27,0,0,0,17,11,0,0,SC,16.431676725154983,487.0,322.0
2020-01-31,Alabama,2020-03-03,52,33.748631972488916,21.262623596825726,7.216659603934404,4.558350634703138,21.626715528299595,2.3251136840331426,9.26190497971507,0.0,0.010912609154025721,43861Alabama,23,14,0,0,15,0,0,0,AL,16.431676725154983,413.0,332.0
2020-01-31,American Samoa,2020-03-03,6,22.89657469702131,16.220571920621467,10.774570819225564,5.077546023733231,29.813553235600743,2.267497907849223,12.949685395948462,0.0,0.0,43861American Samoa,2,1,0,0,3,0,0,0,,,,
2020-01-31,Arkansas,2020-03-03,31,23.075776547914366,25.209652793613298,12.257385317418988,5.641919974684018,23.121671267010655,2.2258898230161357,8.46770427634254,0.0,0.0056914527884452445,43861Arkansas,9,10,2,0,9,0,0,0,AR,13.416407864998739,325.0,290.0
2020-01-31,California,2020-03-03,416,15.950329470189525,15.7323771993645,12.020168968126402,5.556855945851529,34.33597563667822,3.239073628205062,13.165219151584772,0.0,0.13093970239230715,43861California,89,88,19,0,192,0,27,0,CA,40.620192023179804,103.0,237.0
2020-01-31,Colorado,2020-03-03,67,12.578175752538176,14.903299000035386,13.160370974655006,5.885466844622327,35.54926950588197,1.230064968186438,16.693352954080705,0.0,0.020026900279283468,43861Colorado,4,6,4,0,36,0,17,0,CO,16.431676725154983,224.0,249.0
2020-01-31,Democrats Abroad,2020-03-03,13,19.85787661386918,14.067873473144257,9.34463345399045,4.4036841219596825,39.12828367316199,1.9665689856279756,11.231079678246463,0.0,0.0,43861Democrats Abroad,4,1,0,0,8,0,0,0,,,,
