state,statecat,value,label,xValue,yValue,rank
Alabama,Alabama,99.8,AL,637.0,338.6934,0.0
Alaska,Alabama,37.6,AK,245.0,400.0,44.0
Arizona,Alabama,42.9,AZ,315.0,306.5801,34.0
Arkansas,Alabama,62.2,AR,560.0,315.6387,11.0
California,Alabama,50.5,CA,223.0,253.9219,23.0
Colorado,Alabama,49.2,CO,400.0,245.5645,25.0
Connecticut,Alabama,42.1,CT,-1000.0,-1000.0,36.0
Delaware,Alabama,54.3,DE,-1000.0,-1000.0,20.0
Florida,Alabama,71.2,FL,714.0,397.8154,6.0
Georgia,Alabama,82.9,GA,680.0117,335.2354,1.0
Hawaii,Alabama,44.2,HI,380.0,465.0,33.0
Idaho,Alabama,35.4,ID,310.1851,155.0,48.0
Illinois,Alabama,68.0,IL,596.6602,231.2954,8.0
Indiana,Alabama,56.3,IN,633.4111,228.4214,19.0
Iowa,Alabama,41.7,IA,545.8457,202.6782,37.0
Kansas,Alabama,46.2,KS,487.0,259.1592,27.0
Kentucky,Alabama,54.2,KY,655.1484,264.9658,21.0
Louisiana,Alabama,80.7,LA,561.4404,369.8135,2.0
Maine,Alabama,37.7,ME,807.3105,109.855,43.0
Maryland,Alabama,79.2,MD,-1000.0,-1000.0,3.0
Massachusetts,Alabama,42.6,MA,-1000.0,-1000.0,35.0
Michigan,Alabama,58.9,MI,645.6465,181.3647,17.0
Minnesota,Alabama,46.0,MN,530.8594,141.5874,28.0
Mississippi,Alabama,75.5,MS,598.6016,342.1514,5.0
Missouri,Alabama,60.0,MO,557.0,261.123,12.0
Montana,Alabama,35.1,MT,370.0981,112.7705,49.0
Nebraska,Alabama,44.6,NE,473.8364,210.0527,32.0
Nevada,Alabama,41.5,NV,267.8765,219.0957,38.0
New Hampshire,Alabama,38.6,NH,-1000.0,-1000.0,40.0
New Jersey,Alabama,59.2,NJ,785.0,210.0,15.0
New Mexico,Alabama,45.0,NM,385.3774,314.1035,31.0
New York,Alabama,59.1,NY,753.5781,163.2588,16.0
North Carolina,Alabama,67.0,NC,728.6084,284.5029,9.0
North Dakota,Alabama,36.9,ND,467.0742,117.3823,46.0
Ohio,Alabama,60.0,OH,670.7197,219.4883,13.0
Oklahoma,Alabama,45.9,OK,500.1963,306.418,29.0
Oregon,Alabama,37.3,OR,240.2783,139.5654,45.0
Pennsylvania,Alabama,57.0,PA,730.3535,200.856,18.0
Rhode Island,Alabama,49.7,RI,-1000.0,-1000.0,24.0
South Carolina,Alabama,78.1,SC,712.4395,315.6387,4.0
South Dakota,Alabama,41.3,SD,468.0742,163.5166,39.0
Tennessee,Alabama,69.0,TN,640.8594,294.8193,7.0
Texas,Alabama,64.6,TX,480.9902,374.2861,10.0
Utah,Alabama,38.2,UT,330.1084,234.978,42.0
Vermont,Alabama,38.2,VT,-1000.0,-1000.0,41.0
Virginia,Alabama,59.7,VA,731.0264,252.7842,14.0
Washington,Alabama,31.0,WA,256.9365,88.0762,50.0
West Virginia,Alabama,45.2,WV,701.0,243.0,30.0
Wisconsin,Alabama,49.2,WI,585.2529,163.2588,26.0
Wyoming,Alabama,35.5,WY,385.9287,179.6255,47.0
District of Columbia,Alabama,52.4,DC,-1000.0,-1000.0,20.0
Alabama,Alaska,45.6,AL,637.0,338.6934,42.0
Alaska,Alaska,99.8,AK,245.0,400.0,0.0
Arizona,Alaska,64.4,AZ,315.0,306.5801,2.0
Arkansas,Alaska,61.3,AR,560.0,315.6387,12.0
California,Alaska,46.9,CA,223.0,253.9219,41.0
Colorado,Alaska,62.1,CO,400.0,245.5645,8.0
Connecticut,Alaska,51.2,CT,-1000.0,-1000.0,36.0
Delaware,Alaska,62.0,DE,-1000.0,-1000.0,9.0
Florida,Alaska,51.6,FL,714.0,397.8154,35.0
Georgia,Alaska,39.4,GA,680.0117,335.2354,47.0
Hawaii,Alaska,42.0,HI,380.0,465.0,45.0
Idaho,Alaska,59.5,ID,310.1851,155.0,17.0
Illinois,Alaska,58.5,IL,596.6602,231.2954,20.0
Indiana,Alaska,59.4,IN,633.4111,228.4214,18.0
Iowa,Alaska,57.4,IA,545.8457,202.6782,23.0
Kansas,Alaska,63.1,KS,487.0,259.1592,7.0
Kentucky,Alaska,54.1,KY,655.1484,264.9658,30.0
Louisiana,Alaska,41.5,LA,561.4404,369.8135,46.0
Maine,Alaska,56.9,ME,807.3105,109.855,24.0
Maryland,Alaska,45.0,MD,-1000.0,-1000.0,43.0
Massachusetts,Alaska,52.9,MA,-1000.0,-1000.0,32.0
Michigan,Alaska,66.6,MI,645.6465,181.3647,1.0
Minnesota,Alaska,52.9,MN,530.8594,141.5874,31.0
Mississippi,Alaska,34.3,MS,598.6016,342.1514,49.0
Missouri,Alaska,63.6,MO,557.0,261.123,5.0
Montana,Alaska,57.9,MT,370.0981,112.7705,21.0
Nebraska,Alaska,63.1,NE,473.8364,210.0527,6.0
Nevada,Alaska,64.0,NV,267.8765,219.0957,3.0
New Hampshire,Alaska,47.3,NH,-1000.0,-1000.0,39.0
New Jersey,Alaska,64.0,NJ,785.0,210.0,4.0
New Mexico,Alaska,49.7,NM,385.3774,314.1035,37.0
New York,Alaska,56.7,NY,753.5781,163.2588,26.0
North Carolina,Alaska,57.7,NC,728.6084,284.5029,22.0
North Dakota,Alaska,55.2,ND,467.0742,117.3823,28.0
Ohio,Alaska,61.6,OH,670.7197,219.4883,11.0
Oklahoma,Alaska,59.7,OK,500.1963,306.418,16.0
Oregon,Alaska,59.9,OR,240.2783,139.5654,15.0
Pennsylvania,Alaska,61.9,PA,730.3535,200.856,10.0
Rhode Island,Alaska,60.6,RI,-1000.0,-1000.0,13.0
South Carolina,Alaska,38.5,SC,712.4395,315.6387,48.0
South Dakota,Alaska,60.4,SD,468.0742,163.5166,14.0
