rank,state,state2,value
1,Alabama,Georgia,82.9
2,Alabama,Louisiana,80.7
3,Alabama,Maryland,79.2
4,Alabama,South Carolina,78.1
5,Alabama,Mississippi,75.5
6,Alabama,Florida,71.2
7,Alabama,Tennessee,69.0
8,Alabama,Illinois,68.0
9,Alabama,North Carolina,67.0
10,Alabama,Texas,64.6
1,Alaska,Michigan,66.6
2,Alaska,Arizona,64.4
3,Alaska,Nevada,64.0
4,Alaska,New Jersey,64.0
5,Alaska,Missouri,63.6
6,Alaska,Nebraska,63.1
7,Alaska,Kansas,63.1
8,Alaska,Colorado,62.1
9,Alaska,Delaware,62.0
10,Alaska,Pennsylvania,61.9
1,Arizona,Colorado,78.0
2,Arizona,Arkansas,75.3
3,Arizona,New Mexico,69.9
4,Arizona,Nevada,69.6
5,Arizona,Oklahoma,66.4
6,Arizona,Montana,66.0
7,Arizona,Missouri,65.9
8,Arizona,Idaho,65.4
9,Arizona,Wyoming,64.4
10,Arizona,Michigan,64.0
1,Arkansas,North Carolina,79.4
2,Arkansas,Tennessee,79.0
3,Arkansas,Ohio,78.3
4,Arkansas,Illinois,78.3
5,Arkansas,Missouri,77.6
6,Arkansas,Michigan,75.5
7,Arkansas,Pennsylvania,74.7
8,Arkansas,New Jersey,74.6
9,Arkansas,Arizona,74.4
10,Arkansas,Oklahoma,72.7
1,California,Texas,75.6
2,California,Nevada,70.8
3,California,New Mexico,69.4
4,California,Colorado,67.8
5,California,Arizona,63.6
6,California,Oregon,63.0
7,California,New York,59.6
8,California,Illinois,58.4
9,California,Hawaii,58.1
10,California,Maryland,55.9
1,Colorado,Arizona,77.9
2,Colorado,Illinois,77.8
3,Colorado,Nevada,76.9
4,Colorado,Missouri,76.6
5,Colorado,New Mexico,74.8
6,Colorado,Arkansas,73.2
7,Colorado,New York,72.7
8,Colorado,Indiana,72.6
9,Colorado,Pennsylvania,72.4
10,Colorado,Minnesota,71.4
1,Connecticut,Massachusetts,95.3
2,Connecticut,New Hampshire,88.3
3,Connecticut,Rhode island,82.3
4,Connecticut,Vermont,81.0
5,Connecticut,Wisconsin,80.6
6,Connecticut,Minnesota,79.7
7,Connecticut,Delaware,77.8
8,Connecticut,Kentucky,77.1
9,Connecticut,Ohio,72.7
10,Connecticut,Maine,72.5
1,Delaware,Ohio,92.4
2,Delaware,Rhode island,87.4
3,Delaware,New Jersey,87.0
4,Delaware,Pennsylvania,84.5
5,Delaware,North Carolina,80.3
6,Delaware,Kentucky,80.2
7,Delaware,Connecticut,78.6
8,Delaware,Indiana,78.1
9,Delaware,Michigan,77.4
10,Delaware,Missouri,75.8
1,Florida,North Carolina,75.6
2,Florida,Illinois,75.0
3,Florida,Alabama,74.2
4,Florida,Arkansas,73.4
5,Florida,Texas,72.2
6,Florida,Georgia,70.4
7,Florida,Tennessee,69.8
8,Florida,Maryland,69.6
9,Florida,New York,69.5
10,Florida,New Jersey,68.3
1,Georgia,South Carolina,86.2
2,Georgia,Alabama,82.1
3,Georgia,Maryland,76.8
4,Georgia,Louisiana,70.9
5,Georgia,North Carolina,69.0
6,Georgia,Florida,67.6
7,Georgia,Mississippi,67.1
8,Georgia,Tennessee,65.5
9,Georgia,Illinois,60.1
10,Georgia,Texas,59.4
1,Hawaii,California,60.5
2,Hawaii,New Mexico,60.1
3,Hawaii,New York,50.9
4,Hawaii,Texas,50.2
5,Hawaii,Colorado,49.6
6,Hawaii,Nevada,49.3
7,Hawaii,Illinois,48.5
8,Hawaii,Alabama,48.3
9,Hawaii,Maryland,48.1
10,Hawaii,Minnesota,46.5
1,Idaho,Wyoming,87.6
2,Idaho,Montana,85.6
3,Idaho,North Dakota,82.8
4,Idaho,South Dakota,80.8
5,Idaho,Oregon,79.9
6,Idaho,Nebraska,78.9
7,Idaho,Kansas,77.5
8,Idaho,Washington,74.0
9,Idaho,Maine,72.5
10,Idaho,Utah,72.5
1,Illinois,New York,84.2
2,Illinois,Tennessee,82.4
3,Illinois,Missouri,81.5
4,Illinois,Virginia,80.1
5,Illinois,North Carolina,79.9
6,Illinois,Indiana,78.4
7,Illinois,Arkansas,78.3
8,Illinois,Pennsylvania,77.8
9,Illinois,Ohio,77.0
10,Illinois,New Jersey,76.7
1,Indiana,Missouri,88.6
2,Indiana,Michigan,83.6
3,Indiana,Ohio,82.9
4,Indiana,Wisconsin,82.5
5,Indiana,Pennsylvania,82.2
6,Indiana,Kentucky,81.5
7,Indiana,New Jersey,80.6
8,Indiana,Minnesota,78.8
9,Indiana,Delaware,77.7
10,Indiana,New York,77.6
1,Iowa,Kansas,84.7
2,Iowa,Nebraska,84.6
3,Iowa,Wisconsin,78.9
4,Iowa,South Dakota,78.7
5,Iowa,Minnesota,77.9
6,Iowa,West Virginia,73.3
7,Iowa,New Hampshire,73.1
8,Iowa,North Dakota,71.6
9,Iowa,Missouri,71.1
10,Iowa,Utah,70.7
1,Kansas,Nebraska,98.0
2,Kansas,South Dakota,89.9
3,Kansas,Iowa,84.7
4,Kansas,North Dakota,81.8
5,Kansas,Wyoming,81.2
6,Kansas,Montana,81.2
7,Kansas,Idaho,78.4
8,Kansas,Wisconsin,77.1
9,Kansas,Minnesota,76.3
10,Kansas,Oregon,75.1
1,Kentucky,Ohio,81.5
2,Kentucky,Wisconsin,81.3
3,Kentucky,Indiana,80.6
4,Kentucky,Delaware,79.5
5,Kentucky,Tennessee,78.9
6,Kentucky,Missouri,78.5
7,Kentucky,Minnesota,77.2
8,Kentucky,Pennsylvania,76.5
9,Kentucky,Connecticut,76.4
10,Kentucky,Rhode island,75.7
1,Louisiana,Mississippi,81.1
2,Louisiana,Alabama,80.1
3,Louisiana,South Carolina,77.6
4,Louisiana,Georgia,71.9
5,Louisiana,Maryland,63.6
6,Louisiana,Florida,59.8
7,Louisiana,Texas,59.1
8,Louisiana,Arkansas,57.4
9,Louisiana,North Carolina,56.6
10,Louisiana,Tennessee,55.7
1,Maine,North Dakota,79.6
2,Maine,Wyoming,77.9
3,Maine,West Virginia,75.2
4,Maine,South Dakota,75.0
5,Maine,Massachusetts,74.2
6,Maine,Rhode island,72.9
