DATE,A191RO1Q156NBEA,model date,1,2,3,4,6,8,average,normalize,0.5738507912382249,k2
2019-07-01,2.1,2019-10-01,2.1,2.2,2.3666666666666667,2.4000000000000004,2.6500000000000004,2.7,2.402777777777778,0.5738507912382249,,
2019-04-01,2.3,2019-07-01,2.3,2.5,2.5,2.65,2.783333333333333,2.7375,2.578472222222222,0.6061187753197201,,
2019-01-01,2.7,2019-04-01,2.7,2.6,2.766666666666667,2.875,2.8666666666666667,2.7249999999999996,2.755555555555556,0.6380384638017814,,
2018-10-01,2.5,2019-01-01,2.5,2.8,2.9333333333333336,2.9250000000000003,2.8166666666666664,2.65,2.7708333333333335,0.633982303135959,,
2018-07-01,3.1,2018-10-01,3.1,3.1500000000000004,3.066666666666667,3.0,2.766666666666667,2.5875000000000004,2.945138888888889,0.6635319431751656,,
2018-04-01,3.2,2018-07-01,3.2,3.05,2.9666666666666663,2.8249999999999997,2.6,2.4000000000000004,2.8402777777777772,0.6341757992509788,,
2018-01-01,2.9,2018-04-01,2.9,2.8499999999999996,2.6999999999999997,2.575,2.4,2.1625,2.5979166666666664,0.5776458539932243,,
2017-10-01,2.8,2018-01-01,2.8,2.5999999999999996,2.4666666666666663,2.375,2.183333333333333,2.0,2.4041666666666663,0.53021642545353,,
2017-07-01,2.4,2017-10-01,2.4,2.3,2.233333333333333,2.175,1.9333333333333333,1.8875,2.1548611111111104,0.46810478415329876,,
2017-04-01,2.2,2017-07-01,2.2,2.1500000000000004,2.1,1.975,1.8,1.8875000000000002,2.0187500000000003,0.432618799013096,,
2017-01-01,2.1,2017-04-01,2.1,2.05,1.8999999999999997,1.7499999999999998,1.75,2.025,1.929166666666667,0.40728483405617366,,
2016-10-01,2.0,2017-01-01,2.0,1.8,1.6333333333333335,1.625,1.8,2.2625,1.8534722222222222,0.3861271714259929,,
2016-07-01,1.6,2016-10-01,1.6,1.4500000000000002,1.5,1.6,2.016666666666667,2.375,1.7569444444444446,0.3610377587141309,,
2016-04-01,1.3,2016-07-01,1.3,1.4500000000000002,1.6000000000000003,1.8000000000000003,2.4166666666666665,2.5625,1.854861111111111,0.3745299684456527,,
2016-01-01,1.6,2016-04-01,1.6,1.75,1.9666666666666668,2.3,2.683333333333333,2.7375,2.172916666666666,0.4336517107709153,,
2015-10-01,1.9,2016-01-01,1.9,2.15,2.533333333333333,2.9,2.9333333333333336,2.7125,2.5215277777777776,0.5016273098453135,,
2015-07-01,2.4,2015-10-01,2.4,2.8499999999999996,3.233333333333333,3.15,3.0666666666666664,2.8,2.9166666666666665,0.5837308569394672,,
2015-04-01,3.3,2015-07-01,3.3,3.65,3.4,3.3249999999999997,2.9,2.7375,3.21875,0.6461370747170903,,
2015-01-01,4.0,2015-04-01,4.0,3.45,3.3333333333333335,3.175,2.783333333333333,2.4875,3.204861111111111,0.645028494839113,,
2014-10-01,2.9,2015-01-01,2.9,3.0,2.9,2.525,2.433333333333333,2.1875,2.657638888888889,0.5355194510527853,,
2014-07-01,3.1,2014-10-01,3.1,2.9000000000000004,2.4000000000000004,2.45,2.166666666666667,2.0125,2.5048611111111114,0.5010447056510724,,
2014-04-01,2.7,2014-07-01,2.7,2.05,2.233333333333333,2.15,1.9166666666666667,1.9375,2.1645833333333333,0.4259281713042899,,
2014-01-01,1.4,2014-04-01,1.4,2.0,1.9666666666666668,1.8,1.7166666666666668,1.9000000000000001,1.7972222222222223,0.3473604623742147,,
2013-10-01,2.6,2014-01-01,2.6,2.25,1.9333333333333333,1.85,1.9000000000000001,2.0625,2.0993055555555555,0.401455638642224,,
2013-07-01,1.9,2013-10-01,1.9,1.6,1.6000000000000003,1.5750000000000002,1.866666666666667,1.9375000000000002,1.746527777777778,0.3291956181520508,,
2013-04-01,1.3,2013-07-01,1.3,1.4500000000000002,1.4666666666666668,1.725,2.0,1.8125,1.6256944444444443,0.30450324517197447,,
2013-01-01,1.6,2013-04-01,1.6,1.55,1.8666666666666665,2.0,2.05,1.8624999999999998,1.8215277777777779,0.3389758037198108,,
2012-10-01,1.5,2013-01-01,1.5,2.0,2.1333333333333333,2.2750000000000004,1.9333333333333336,1.9000000000000001,1.9569444444444446,0.36251075778797287,,
2012-07-01,2.5,2012-10-01,2.5,2.45,2.5333333333333337,2.3000000000000003,1.9666666666666668,2.0375,2.297916666666667,0.4277939417873137,,
2012-04-01,2.4,2012-07-01,2.4,2.55,2.233333333333333,1.9,1.8666666666666665,2.125,2.1791666666666667,0.3985941885912285,,
2012-01-01,2.7,2012-04-01,2.7,2.1500000000000004,1.7333333333333336,1.7250000000000003,1.9000000000000001,2.1750000000000003,2.063888888888889,0.3720177310758781,,
2011-10-01,1.6,2012-01-01,1.6,1.25,1.4000000000000001,1.525,1.9833333333333332,2.05,1.6347222222222222,0.28855570344103715,,
2011-07-01,0.9,2011-10-01,0.9,1.3,1.5,1.775,2.1833333333333336,1.875,1.5888888888888888,0.2769524420480082,,
2011-04-01,1.7,2011-07-01,1.7,1.7999999999999998,2.0666666666666664,2.3499999999999996,2.3166666666666664,1.3874999999999997,1.9368055555555552,0.34107026769963755,,
2011-01-01,1.9,2011-04-01,1.9,2.25,2.566666666666667,2.625,2.0666666666666664,0.6874999999999998,2.015972222222222,0.3628448171645975,,
2010-10-01,2.6,2011-01-01,2.6,2.9000000000000004,2.866666666666667,2.575,1.25,0.03750000000000003,2.038194444444444,0.37528994118957126,,
2010-07-01,3.2,2010-10-01,3.2,3.0,2.566666666666667,1.975,0.16666666666666674,-0.6375,1.7118055555555556,0.3252102745754353,,
2010-04-01,2.8,2010-07-01,2.8,2.25,1.5666666666666667,0.42500000000000004,-0.9166666666666666,-1.0375,0.8479166666666664,0.19241026455505356,,
2010-01-01,1.7,2010-04-01,1.7,0.95,-0.3666666666666667,-1.25,-1.8500000000000003,-1.2500000000000002,-0.34444444444444455,0.07201930577744797,,
2009-10-01,0.2,2010-01-01,0.2,-1.4,-2.233333333333333,-2.5,-2.1333333333333333,-1.3250000000000002,-1.5652777777777775,0.018672021117067564,,
2009-07-01,-3.0,2009-10-01,-3.0,-3.45,-3.4,-3.25,-1.9833333333333334,-1.1,-2.6972222222222224,0.0035352303545971605,,
2009-04-01,-3.9,2009-07-01,-3.9,-3.5999999999999996,-3.3333333333333335,-2.5,-1.3,-0.45000000000000007,-2.513888888888889,0.0026532513255853687,,
2009-01-01,-3.3,2009-04-01,-3.3,-3.05,-2.033333333333333,-1.25,-0.31666666666666665,0.26250000000000007,-1.6145833333333333,0.005111927213577547,,
2008-10-01,-2.8,2009-01-01,-2.8,-1.4,-0.5666666666666665,-0.1499999999999999,0.6000000000000001,0.8625,-0.5756944444444444,0.014033754592133069,,
2008-07-01,0.0,2008-10-01,0.0,0.55,0.7333333333333334,1.05,1.366666666666667,1.5375,0.8729166666666668,0.0736465981362522,,
2008-04-01,1.1,2008-07-01,1.1,1.1,1.4000000000000001,1.6,1.616666666666667,1.8375000000000001,1.4423611111111114,0.13257825877722137,,
2008-01-01,1.1,2008-04-01,1.1,1.55,1.7666666666666668,1.7750000000000001,1.866666666666667,2.0875000000000004,1.6909722222222223,0.1655983256781509,,
2007-10-01,2.0,2008-01-01,2.0,2.1,2.0,1.875,2.0833333333333335,2.375,2.0722222222222224,0.2320698306555072,,
2007-07-01,2.2,2007-10-01,2.2,2.0,1.8333333333333333,2.025,2.2666666666666666,2.5125,2.139583333333333,0.24092782371064003,,
2007-04-01,1.8,2007-07-01,1.8,1.65,1.9666666666666668,2.075,2.466666666666667,2.6750000000000003,2.1055555555555556,0.22767784458513504,,
2007-01-01,1.5,2007-04-01,1.5,2.05,2.1666666666666665,2.4,2.6833333333333336,2.9000000000000004,2.2833333333333337,0.26254201586778053,,
2006-10-01,2.6,2007-01-01,2.6,2.5,2.6999999999999997,2.875,3.016666666666667,3.2,2.8152777777777778,0.3941351375088448,,
2006-07-01,2.4,2006-10-01,2.4,2.75,2.966666666666667,3.0,3.1833333333333336,3.2875,2.9312500000000004,0.42685107748604884,,
2006-04-01,3.1,2006-07-01,3.1,3.25,3.1999999999999997,3.275,3.433333333333333,3.4124999999999996,3.2784722222222222,0.5263644451281675,,
2006-01-01,3.4,2006-04-01,3.4,3.25,3.3333333333333335,3.4,3.466666666666667,3.55,3.4000000000000004,0.5618139861226876,,
2005-10-01,3.1,2006-01-01,3.1,3.3,3.4,3.525,3.4666666666666663,3.6624999999999996,3.4090277777777778,0.5632836706654446,,
2005-07-01,3.5,2005-10-01,3.5,3.55,3.6666666666666665,3.575,3.65,3.8125,3.6256944444444446,0.6211362703956207,,
2005-04-01,3.6,2005-07-01,3.6,3.75,3.6,3.5500000000000003,3.7833333333333337,3.7875000000000005,3.6784722222222226,0.6329302737062243,,
2005-01-01,3.9,2005-04-01,3.9,3.5999999999999996,3.533333333333333,3.7,3.9000000000000004,3.5875000000000004,3.703472222222222,0.636904436017856,,
2004-10-01,3.3,2005-01-01,3.3,3.3499999999999996,3.633333333333333,3.8,3.8000000000000003,3.325,3.534722222222222,0.5906749972628773,,
2004-07-01,3.4,2004-10-01,3.4,3.8,3.9666666666666663,4.05,3.5833333333333335,3.1750000000000003,3.6624999999999996,0.6211420699435288,,
2004-04-01,4.2,2004-07-01,4.2,4.25,4.266666666666667,4.025,3.316666666666667,3.0250000000000004,3.8472222222222228,0.6607598196563768,,
2004-01-01,4.3,2004-04-01,4.3,4.3,3.9666666666666663,3.4749999999999996,2.966666666666667,2.6625,3.6118055555555557,0.5848737006351943,,
2003-10-01,4.3,2004-01-01,4.3,3.8,3.1999999999999997,2.85,2.6166666666666667,2.2875,3.1756944444444444,0.4563507277671399,,
2003-07-01,3.3,2003-10-01,3.3,2.65,2.3666666666666667,2.3,2.1166666666666667,1.775,2.4180555555555556,0.27652814684184046,,
2003-04-01,2.0,2003-07-01,2.0,1.9,1.9666666666666668,2.0250000000000004,1.7833333333333339,1.4250000000000003,1.8500000000000003,0.17642319282262417,,
2003-01-01,1.8,2003-04-01,1.8,1.9500000000000002,2.0333333333333337,1.85,1.4833333333333334,1.3125,1.7381944444444446,0.15509360114833443,,
2002-10-01,2.1,2003-01-01,2.1,2.1500000000000004,1.866666666666667,1.725,1.2666666666666668,1.375,1.7472222222222225,0.15224491365274942,,
2002-07-01,2.2,2002-10-01,2.2,1.75,1.5999999999999999,1.25,1.0999999999999999,1.4874999999999998,1.5645833333333332,0.13106958888464565,,
2002-04-01,1.3,2002-07-01,1.3,1.3,0.9333333333333335,0.8250000000000001,1.1166666666666667,1.7249999999999999,1.2,0.10615521799848247,,
2002-01-01,1.3,2002-04-01,1.3,0.75,0.6666666666666666,0.775,1.4000000000000001,2.225,1.1861111111111111,0.1233884000845762,,
2001-10-01,0.2,2002-01-01,0.2,0.35,0.6,1.025,1.8666666666666665,2.5875,1.104861111111111,0.12388219065891565,,
2001-07-01,0.5,2001-10-01,0.5,0.8,1.3,1.725,2.716666666666667,3.1625,1.7006944444444445,0.2084661701295814,,
2001-04-01,1.1,2001-07-01,1.1,1.7,2.1333333333333333,2.625,3.3333333333333335,3.6875,2.4298611111111112,0.321696623082834,,
2001-01-01,2.3,2001-04-01,2.3,2.65,3.133333333333333,3.675,3.9499999999999997,4.1375,3.3076388888888886,0.4795041985560491,,
2000-10-01,3.0,2001-01-01,3.0,3.55,4.133333333333333,4.1499999999999995,4.35,4.449999999999999,3.938888888888888,0.6015491738090541,,
2000-07-01,4.1,2000-10-01,4.1,4.699999999999999,4.533333333333332,4.6,4.633333333333333,4.687499999999999,4.54236111111111,0.7132320634737968,,
2000-04-01,5.3,2000-07-01,5.3,4.75,4.766666666666667,4.75,4.75,4.6875,4.834027777777778,0.7643481377172341,,
2000-01-01,4.2,2000-04-01,4.2,4.5,4.566666666666666,4.6,4.683333333333334,4.5375000000000005,4.514583333333333,0.7223977997388187,,
1999-10-01,4.8,2000-01-01,4.8,4.75,4.733333333333333,4.75,4.666666666666667,4.625,4.720833333333334,0.7586324467130431,,
1999-07-01,4.7,1999-10-01,4.7,4.7,4.733333333333333,4.775,4.550000000000001,4.5875,4.674305555555556,0.75797073752573,,
1999-04-01,4.7,1999-07-01,4.7,4.75,4.8,4.625,4.583333333333333,4.5875,4.674305555555556,0.7638484350316693,,
1999-01-01,4.8,1999-04-01,4.8,4.85,4.6,4.475,4.55,4.5375,4.635416666666667,0.7630834835342812,,
1998-10-01,4.9,1999-01-01,4.9,4.5,4.366666666666666,4.5,4.533333333333333,4.475,4.545833333333333,0.7548554148599511,,
1998-07-01,4.1,1998-10-01,4.1,4.1,4.366666666666666,4.4,4.433333333333334,4.4125000000000005,4.302083333333334,0.7125834886137452,,
1998-04-01,4.1,1998-07-01,4.1,4.5,4.5,4.55,4.466666666666667,4.4125000000000005,4.421527777777778,0.7227893608006479,,
1998-01-01,4.9,1998-04-01,4.9,4.7,4.7,4.6000000000000005,4.516666666666667,4.4,4.636111111111112,0.7513390459461592,,
1997-10-01,4.5,1998-01-01,4.5,4.6,4.5,4.45,4.383333333333334,4.112500000000001,4.424305555555556,0.7165224306469047,,
1997-07-01,4.7,1997-10-01,4.7,4.5,4.433333333333334,4.425000000000001,4.300000000000001,3.8250000000000006,4.363888888888889,0.7083276970027055,,
1997-04-01,4.3,1997-07-01,4.3,4.3,4.333333333333333,4.275,3.9500000000000006,3.575,4.122222222222223,0.669426425771612,,
1997-01-01,4.3,1997-04-01,4.3,4.35,4.266666666666667,4.199999999999999,3.5999999999999996,3.3374999999999995,4.009027777777777,0.6467865001623788,,
1996-10-01,4.4,1997-01-01,4.4,4.25,4.166666666666667,3.775,3.3333333333333335,3.2375,3.860416666666666,0.6215497269137868,,
1996-07-01,4.1,1996-10-01,4.1,4.05,3.5666666666666664,3.2249999999999996,2.9999999999999996,3.1999999999999993,3.5236111111111104,0.5665454703672561,,
1996-04-01,4.0,1996-07-01,4.0,3.3,2.9333333333333336,2.875,2.9,3.225,3.2055555555555557,0.5101543774628021,,
1996-01-01,2.6,1996-04-01,2.6,2.4000000000000004,2.5000000000000004,2.475,2.9166666666666665,3.25,2.6902777777777778,0.41771140925798067,,
1995-10-01,2.2,1996-01-01,2.2,2.45,2.4333333333333336,2.7,3.1999999999999997,3.3499999999999996,2.7222222222222228,0.4162619127205859,,
1995-07-01,2.7,1995-10-01,2.7,2.55,2.8666666666666667,3.175,3.533333333333333,3.4,3.0375,0.4621697456566729,,
