DATE,T10Y2YM,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.26797085473731763,ag2
2019-12-01,0.25,2020-01-01,0.20333333333333334,0.15666666666666665,0.17555555555555555,0.17416666666666666,0.186,0.19722222222222222,0.23285714285714285,0.27833333333333327,0.2005168650793651,0.09043940719294578,0.05,0.26,0.16,0.15,0.23,0.38,0.56,0.56,3.0666666666666664,-0.3974358974358976,0.0972222222222221,0.1611111111111112,-0.19130434782608696,-0.48099415204678364,-0.5841836734693878,-0.5029761904761907,0.1460132173432067,0.6230337498260613,2020-01-01,0.26797085473731763,,
2019-11-01,0.2,2019-12-01,0.13666666666666666,0.15833333333333333,0.16555555555555554,0.1658333333333333,0.18466666666666665,0.20444444444444443,0.24761904761904757,0.29124999999999995,0.19429613095238094,0.08920469215752636,0.06,0.19,0.18,0.26,0.25,0.47,0.68,0.65,1.2777777777777777,-0.16666666666666674,-0.08024691358024694,-0.36217948717948734,-0.2613333333333334,-0.5650118203309693,-0.6358543417366948,-0.551923076923077,-0.16817973274658723,0.5818024332093467,2019-12-01,0.2534039391747998,,
2019-10-01,0.16,2019-11-01,0.09000000000000001,0.15666666666666665,0.1633333333333333,0.1708333333333333,0.188,0.21944444444444441,0.2704761904761905,0.31,0.19609424603174602,0.0895105949500442,0.22,0.19,0.17,0.29,0.28,0.49,0.55,0.81,-0.5909090909090908,-0.17543859649122817,-0.03921568627451011,-0.4109195402298851,-0.3285714285714286,-0.552154195011338,-0.5082251082251082,-0.617283950617284,-0.40283969954123416,0.5508454020239096,2019-11-01,0.243288863974666,,
2019-09-01,0.05,2019-10-01,0.11,0.16166666666666665,0.16444444444444442,0.18166666666666664,0.19599999999999998,0.23777777777777775,0.289047619047619,0.33708333333333335,0.20971081349206347,0.09216638205955843,0.26,0.16,0.15,0.23,0.38,0.56,0.56,0.82,-0.5769230769230769,0.010416666666666519,0.0962962962962961,-0.21014492753623204,-0.48421052631578954,-0.5753968253968255,-0.4838435374149661,-0.5889227642276422,-0.3515910868564462,0.5580285213525674,2019-10-01,0.24745376182389478,,
2019-08-01,0.06,2019-09-01,0.18000000000000002,0.17999999999999997,0.17555555555555552,0.19666666666666663,0.21799999999999997,0.2661111111111111,0.31333333333333324,0.36916666666666664,0.23735416666666664,0.09781949518097892,0.19,0.18,0.26,0.25,0.47,0.68,0.65,0.87,-0.05263157894736836,0.0,-0.32478632478632496,-0.21333333333333349,-0.5361702127659576,-0.6086601307189543,-0.5179487179487181,-0.5756704980842913,-0.3536500995731185,0.5572296418146514,2019-09-01,0.2509562107255364,,
2019-07-01,0.22,2019-08-01,0.2233333333333333,0.19999999999999996,0.19777777777777772,0.21249999999999994,0.24533333333333326,0.30055555555555546,0.34142857142857136,0.4029166666666666,0.2654806547619047,0.10390711747083368,0.19,0.17,0.29,0.28,0.49,0.55,0.81,0.95,0.17543859649122795,0.1764705882352937,-0.31800766283524917,-0.24107142857142883,-0.49931972789115664,-0.4535353535353538,-0.578483245149912,-0.5758771929824562,-0.28929817827987936,0.565887946675302,2019-08-01,0.25790072720565643,,
2019-06-01,0.26,2019-07-01,0.21333333333333335,0.19166666666666665,0.20555555555555555,0.21750000000000003,0.26333333333333336,0.31888888888888883,0.36952380952380953,0.4333333333333333,0.27664186507936506,0.1065390389666282,0.16,0.15,0.23,0.38,0.56,0.56,0.82,0.85,0.3333333333333335,0.2777777777777777,-0.106280193236715,-0.42763157894736836,-0.5297619047619048,-0.4305555555555557,-0.5493612078977932,-0.4901960784313726,-0.2403344259649498,0.5728000494503354,2019-07-01,0.2619593757945306,,
2019-05-01,0.19,2019-06-01,0.18000000000000002,0.17333333333333334,0.20222222222222222,0.22750000000000004,0.2833333333333333,0.3355555555555555,0.3961904761904762,0.4579166666666666,0.28200644841269845,0.10797735649912765,0.18,0.26,0.25,0.47,0.68,0.65,0.87,1.0,0.0,-0.33333333333333337,-0.19111111111111112,-0.5159574468085105,-0.5833333333333334,-0.4837606837606838,-0.5446086480569239,-0.5420833333333335,-0.39927348621715375,0.5513736336483227,2019-06-01,0.2557761155488593,,
2019-04-01,0.19,2019-05-01,0.17666666666666667,0.18500000000000003,0.2088888888888889,0.2508333333333333,0.316,0.3611111111111111,0.42857142857142855,0.49166666666666664,0.30234226190476193,0.11288655426508573,0.17,0.29,0.28,0.49,0.55,0.81,0.95,1.06,0.039215686274509665,-0.3620689655172412,-0.25396825396825395,-0.48809523809523814,-0.42545454545454553,-0.5541838134430728,-0.5488721804511278,-0.5361635220125787,-0.3911988540834435,0.5525559236080193,2019-05-01,0.2594430107127303,,
2019-03-01,0.16,2019-04-01,0.17,0.20166666666666666,0.21888888888888888,0.2758333333333334,0.34,0.3955555555555556,0.46476190476190476,0.5279166666666667,0.324327876984127,0.11838877613641322,0.15,0.23,0.38,0.56,0.56,0.82,0.85,1.17,0.13333333333333353,-0.12318840579710155,-0.42397660818713456,-0.5074404761904762,-0.3928571428571429,-0.5176151761517614,-0.4532212885154061,-0.5487891737891737,-0.3542193672693579,0.557911033880228,2019-04-01,0.26489619538435144,,
2019-02-01,0.18,2019-03-01,0.16666666666666666,0.21333333333333335,0.24333333333333332,0.3091666666666667,0.36666666666666664,0.4322222222222223,0.49761904761904757,0.57,0.349875992063492,0.12500715375272312,0.26,0.25,0.47,0.68,0.65,0.87,1.0,1.22,-0.35897435897435903,-0.1466666666666666,-0.4822695035460993,-0.545343137254902,-0.4358974358974359,-0.5031928480204342,-0.5023809523809524,-0.5327868852459017,-0.4384389734983439,0.5464821074794132,2019-03-01,0.26549880499495315,,
2019-01-01,0.17,2019-02-01,0.19333333333333336,0.225,0.2755555555555556,0.3508333333333334,0.398,0.4705555555555556,0.5366666666666666,0.6133333333333334,0.3829097222222222,0.13382377907293622,0.29,0.28,0.49,0.55,0.81,0.95,1.06,1.22,-0.33333333333333326,-0.1964285714285715,-0.4376417233560089,-0.36212121212121207,-0.508641975308642,-0.5046783625730993,-0.4937106918238995,-0.4972677595628414,-0.416727953688451,0.5494623095772986,2019-02-01,0.27236995590772367,,
2018-12-01,0.15,2019-01-01,0.2333333333333333,0.24333333333333332,0.3111111111111111,0.3825,0.44066666666666676,0.5138888888888888,0.579047619047619,0.6570833333333334,0.4201205357142857,0.14419676842997836,0.23,0.38,0.56,0.56,0.82,0.85,1.17,1.29,0.014492753623188248,-0.35964912280701755,-0.44444444444444453,-0.3169642857142858,-0.46260162601626,-0.39542483660130723,-0.505087505087505,-0.49063307493540054,-0.370039017747879,0.556128157806618,2019-01-01,0.2815072315555249,,
