State,abbrev,Seat,id,districtType,incumbent,incumbentParty,openRace,pvi,incumbencyBump,projMargin,win
Alaska,AK,1,AK00,Pure rural,"Young, Don",(R),,16.43,3,12.33,79.45
Alabama,AL,1,AL01,Rural-suburban mix,,(R),OPEN,32.76,0,25.66,95.64
Alabama,AL,2,AL02,Pure rural,,(R),OPEN,32.52,0,25.42,95.49
Alabama,AL,3,AL03,Pure rural,"Rogers, Mike",(R),,34.98,3,30.88,98.02
Alabama,AL,4,AL04,Pure rural,"Aderholt, Rob",(R),,65.46,3,61.36,100.00
Alabama,AL,5,AL05,Rural-suburban mix,"Brooks, Mo",(R),,33.08,3,28.98,97.33
Alabama,AL,6,AL06,Rural-suburban mix,"Palmer, Gary",(R),,47.56,3,43.46,99.81
Alabama,AL,7,AL07,Rural-suburban mix,"Sewell, Terri",(D),,-39.33,-3,-49.43,0.05
Arkansas,AR,1,AR01,Pure rural,"Crawford, Rick",(R),,41.38,3,37.28,99.35
Arkansas,AR,2,AR02,Rural-suburban mix,"Hill, French",(R),,14.04,3,9.94,74.62
Arkansas,AR,3,AR03,Rural-suburban mix,"Womack, Steve",(R),,37.17,3,33.07,98.63
Arkansas,AR,4,AR04,Pure rural,"Westerman, Bruce",(R),,38.58,3,34.48,98.92
Arizona,AZ,1,AZ01,Pure rural,"O'Halleran, Tom",(D),,2.49,-3,-7.61,30.60
Arizona,AZ,2,AZ02,Dense suburban,"Kirkpatrick, Ann",(D),,-1.13,-3,-11.23,22.70
Arizona,AZ,3,AZ03,Dense suburban,"Grijalva, Raul",(D),,-23.21,-3,-33.31,1.32
Arizona,AZ,4,AZ04,Rural-suburban mix,"Gosar, Paul",(R),,43.84,3,39.74,99.60
Arizona,AZ,5,AZ05,Dense suburban,"Biggs, Andy",(R),,26.08,3,21.98,92.86
Arizona,AZ,6,AZ06,Dense suburban,"Schweikert, David",(R),,16.46,3,12.36,79.50
Arizona,AZ,7,AZ07,Urban-suburban mix,"Gallego, Ruben",(D),,-46.12,-3,-56.22,0.01
Arizona,AZ,8,AZ08,Dense suburban,"Lesko, Debbie",(R),,22.09,3,17.99,88.48
Arizona,AZ,9,AZ09,Urban-suburban mix,"Stanton, Greg",(D),,-12.57,-3,-22.67,6.54
California,CA,1,CA01,Rural-suburban mix,"LaMalfa, Doug",(R),,20.07,3,15.97,85.65
California,CA,2,CA02,Rural-suburban mix,"Huffman, Jared",(D),,-43.86,-3,-53.96,0.02
California,CA,3,CA03,Rural-suburban mix,"Garamendi, John",(D),,-8.88,-3,-18.98,10.29
California,CA,4,CA04,Rural-suburban mix,"McClintock, Tom",(R),,17.35,3,13.25,81.15
California,CA,5,CA05,Dense suburban,"Thompson, Mike",(D),,-42.22,-3,-52.32,0.02
California,CA,6,CA06,Urban-suburban mix,"Matsui, Doris",(D),,-41.76,-3,-51.86,0.03
California,CA,7,CA07,Dense suburban,"Bera, Ami",(D),,-4.87,-3,-14.97,15.91
California,CA,8,CA08,Rural-suburban mix,,(R),OPEN,17.26,0,10.16,75.09
California,CA,9,CA09,Dense suburban,"McNerney, Jerry",(D),,-10.79,-3,-20.89,8.19
California,CA,10,CA10,Dense suburban,"Harder, Josh",(D),,1.47,-3,-8.63,28.25
California,CA,11,CA11,Urban-suburban mix,"DeSaulnier, Mark",(D),,-42.25,-3,-52.35,0.02
California,CA,12,CA12,Pure urban,"Pelosi, Nancy",(D),,-70,-3,-80.1,0.00
California,CA,13,CA13,Pure urban,"Lee, Barbara",(D),,-77.53,-3,-87.63,0.00
California,CA,14,CA14,Urban-suburban mix,"Speier, Jackie",(D),,-52.6,-3,-62.7,0.00
California,CA,15,CA15,Urban-suburban mix,"Swalwell, Eric",(D),,-39.88,-3,-49.98,0.04
California,CA,16,CA16,Dense suburban,"Costa, Jim",(D),,-13.23,-3,-23.33,5.99
California,CA,17,CA17,Pure urban,"Khanna, Ro",(D),,-46.28,-3,-56.38,0.01
California,CA,18,CA18,Urban-suburban mix,"Eshoo, Anna",(D),,-44.72,-3,-54.82,0.01
California,CA,19,CA19,Urban-suburban mix,"Lofgren, Zoe",(D),,-43.77,-3,-53.87,0.02
California,CA,20,CA20,Urban-suburban mix,"Panetta, Jimmy",(D),,-44.49,-3,-54.59,0.01
California,CA,21,CA21,Rural-suburban mix,"Cox, TJ",(D),,-3.24,-3,-13.34,18.69
California,CA,22,CA22,Dense suburban,"Nunes, Devin",(R),,13.41,3,9.31,73.26
California,CA,23,CA23,Dense suburban,"McCarthy, Kevin",(R),,29.98,3,25.88,95.78
California,CA,24,CA24,Sparse suburban,"Carbajal, Salud",(D),,-12.68,-3,-22.78,6.44
California,CA,25,CA25,Dense suburban,VACANT ,(D),,-1.59,-3,-11.69,21.79
California,CA,26,CA26,Dense suburban,"Brownley, Julia",(D),,-16.44,-3,-26.54,3.84
California,CA,27,CA27,Urban-suburban mix,"Chu, Judy",(D),,-34.32,-3,-44.42,0.15
California,CA,28,CA28,Pure urban,"Schiff, Adam",(D),,-47.15,-3,-57.25,0.01
California,CA,29,CA29,Pure urban,"Cardenas, Tony",(D),,-55.39,-3,-65.49,0.00
California,CA,30,CA30,Urban-suburban mix,"Sherman, Brad",(D),,-38.71,-3,-48.81,0.06
California,CA,31,CA31,Dense suburban,"Aguilar, Pete",(D),,-13.83,-3,-23.93,5.53
California,CA,32,CA32,Urban-suburban mix,"Napolitano, Grace",(D),,-32.49,-3,-42.59,0.23
California,CA,33,CA33,Urban-suburban mix,"Lieu, Ted",(D),,-33.81,-3,-43.91,0.17
California,CA,34,CA34,Pure urban,"Gomez, Jimmy",(D),,-70.18,-3,-80.28,0.00
California,CA,35,CA35,Urban-suburban mix,"Torres, Norma",(D),,-34.3,-3,-44.4,0.15
California,CA,36,CA36,Dense suburban,"Ruiz, Raul",(D),,-7.22,-3,-17.32,12.41
California,CA,37,CA37,Pure urban,"Bass, Karen",(D),,-71.45,-3,-81.55,0.00
California,CA,38,CA38,Pure urban,"Sanchez, Linda",(D),,-32.77,-3,-42.87,0.21
California,CA,39,CA39,Dense suburban,"Cisneros, Gil",(D),,0.31,-3,-9.79,25.70
California,CA,40,CA40,Pure urban,"Roybal-Allard, Lucille",(D),,-66.73,-3,-76.83,0.00
California,CA,41,CA41,Dense suburban,"Takano, Mark",(D),,-23.46,-3,-33.56,1.26
California,CA,42,CA42,Sparse suburban,"Calvert, Ken",(R),,17.97,3,13.87,82.24
California,CA,43,CA43,Pure urban,"Waters, Maxine",(D),,-53.29,-3,-63.39,0.00
California,CA,44,CA44,Pure urban,"Barragan, Nanette",(D),,-68.51,-3,-78.61,0.00
California,CA,45,CA45,Urban-suburban mix,"Porter, Katie",(D),,2.11,-3,-7.99,29.71
California,CA,46,CA46,Pure urban,"Correa, Lou",(D),,-31.83,-3,-41.93,0.26
California,CA,47,CA47,Pure urban,"Lowenthal, Alan",(D),,-24.63,-3,-34.73,1.03
California,CA,48,CA48,Urban-suburban mix,"Rouda, Harley",(D),,2.42,-3,-7.68,30.43
California,CA,49,CA49,Dense suburban,"Levin, Mike",(D),,-3.33,-3,-13.43,18.53
California,CA,50,CA50,Dense suburban,"Hunter, Duncan",(R),,15.77,3,11.67,78.17
California,CA,51,CA51,Urban-suburban mix,"Vargas, Juan",(D),,-39.98,-3,-50.08,0.04
California,CA,52,CA52,Urban-suburban mix,"Peters, Scott",(D),,-18.03,-3,-28.13,3.04
California,CA,53,CA53,Urban-suburban mix,,(D),OPEN,-30.19,0,-37.29,0.65
Colorado,CO,1,CO01,Urban-suburban mix,"DeGette, Diana",(D),,-42.29,-3,-52.39,0.02
Colorado,CO,2,CO02,Sparse suburban,"Neguse, Joe",(D),,-18.24,-3,-28.34,2.94
Colorado,CO,3,CO03,Pure rural,"Tipton, Scott",(R),,14.76,3,10.66,76.14
Colorado,CO,4,CO04,Rural-suburban mix,"Buck, Ken",(R),,27.07,3,22.97,93.72
Colorado,CO,5,CO05,Dense suburban,"Lamborn, Doug",(R),,26.05,3,21.95,92.83
Colorado,CO,6,CO06,Dense suburban,"Crow, Jason",(D),,-4.4,-3,-14.5,16.69
Colorado,CO,7,CO07,Dense suburban,"Perlmutter, Ed",(D),,-12.93,-3,-23.03,6.24
