index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH,,,ME,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VT,,NH01,,,ME01,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY01,NY02,,VT00,,NH02,,,ME02,,,
6,,,,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY,NY03,NY04,NY05,,,,,,,,,,
7,,,,AK00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY06,NY07,NY08,NY09,NY10,NY11,,MA01,MA02,MA03,MA04,MA05,MA06,MA07,MA,
8,,,,,,,,,,,,,,,,,,,,,,,,,MI01,MI02,MI03,MI04,MI05,MI,,,,,,,,NY12,NY13,NY14,NY15,NY16,NY17,NY18,,,,,,,MA08,MA09,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI06,MI07,MI08,,,,,,,NY19,NY20,NY21,NY22,NY23,NY24,NY25,NY26,NY27,,CT01,CT02,CT03,,,,,
10,,,WA,WA01,WA02,WA03,WA04,WA05,,,,MT,MT00,,,ND,ND00,,,MN01,MN02,MN03,,WI01,WI02,WI03,,MI09,MI10,MI11,,,,,,,,,,,,,,,,,CT,CT04,CT05,,RI01,RI,,
11,,,,WA06,WA07,WA08,WA09,WA10,,ID,,,,,,,,,,MN04,MN05,MN,,WI04,WI05,WI06,,MI12,MI13,MI14,,,OH,,,PA,PA01,PA02,PA03,PA04,PA05,PA06,,NJ01,NJ02,NJ03,,,,,RI02,,,
12,,,,,,,,,,ID01,,WY,WY00,,,SD,SD00,,,MN06,MN07,MN08,,WI,WI07,WI08,,,IN,,,OH01,OH02,OH03,OH04,,PA07,PA08,PA09,PA10,PA11,PA12,,NJ04,NJ05,NJ06,,,,,,,,
13,,,OR,OR01,OR02,OR03,OR04,OR05,,ID02,,,,,,,,,,,,,,,,,,IN01,IN02,IN03,,OH05,OH06,OH07,OH08,,PA13,PA14,PA15,PA16,PA17,PA18,,NJ,NJ07,NJ08,NJ09,,,,,,,
14,,,,,,,,,,,,,,NE,NE01,NE02,NE03,,IA,IA01,IA02,,IL01,IL02,IL03,IL04,,IN04,IN05,IN06,,OH09,OH10,OH11,OH12,,,,,,,,,,NJ10,NJ11,NJ12,,,,,,,
15,,CA01,CA02,CA03,CA04,CA05,,NV01,,UT01,,CO01,CO02,,,,,,,IA03,IA04,,IL05,IL06,IL07,IL08,,IN07,IN08,IN09,,OH13,OH14,OH15,OH16,,,,MD01,MD02,MD03,MD04,,,,,,,,,,,,
16,,CA06,CA07,CA08,CA09,CA10,,NV02,,UT02,,CO03,CO04,,KS01,KS02,KS03,KS04,,,,,IL09,IL10,IL11,IL12,,,,,,,,,,VA,VA01,,,MD,MD05,MD06,,DE00,DE,,,,,,,,,
