district,label,row,column,53
AK,AK,6,4,2
AK00,,7,4,
AL,AL,27,29,
AL01,,24,28,
AL02,,24,29,
AL03,,25,28,
AL04,,25,29,
AL05,,26,28,
AL06,,26,29,
AL07,,27,28,
AR,AR,21,23,
AR01,,22,22,
AR02,,22,23,
AR03,,23,22,
AR04,,23,23,
AZ,AZ,25,9,
AZ01,,21,9,
AZ02,,21,10,
AZ03,,22,9,
AZ04,,22,10,
AZ05,,23,9,
AZ06,,23,10,
AZ07,,24,9,
AZ08,,24,10,
AZ09,,25,10,
CA,CA,24,2,
CA01,,15,2,
CA02,,15,3,
CA03,,15,4,
CA04,,15,5,
CA05,,15,6,
CA06,,16,2,
CA07,,16,3,
CA08,,16,4,
CA09,,16,5,
CA10,,16,6,
CA11,,17,2,
CA12,,17,3,
CA13,,17,4,
CA14,,17,5,
CA15,,17,6,
CA16,,18,2,
CA17,,18,3,
CA18,,18,4,
CA19,,18,5,
CA20,,18,6,
CA21,,19,2,
CA22,,19,3,
CA23,,19,4,
CA24,,19,5,
CA25,,19,6,
CA26,,20,2,
CA27,,20,3,
CA28,,20,4,
CA29,,20,5,
CA30,,20,6,
CA31,,21,2,
CA32,,21,3,
CA33,,21,4,
CA34,,21,5,
CA35,,21,6,
CA36,,22,2,
CA37,,22,3,
CA38,,22,4,
CA39,,22,5,
CA40,,22,6,
CA41,,23,2,
CA42,,23,3,
CA43,,23,4,
CA44,,23,5,
CA45,,23,6,
CA46,,24,3,
CA47,,24,4,
CA48,,24,5,
CA49,,24,6,
CA50,,25,3,
CA51,,25,4,
CA52,,25,5,
CA53,,25,6,
CO,CO,18,12,
CO01,,15,12,
CO02,,15,13,
CO03,,16,12,
CO04,,16,13,
CO05,,17,12,
CO06,,17,13,
CO07,,18,13,
CT,CT,10,47,
CT01,,9,47,
CT02,,9,48,
CT03,,9,49,
CT04,,10,48,
CT05,,10,49,
DE,DE,16,45,
DE00,,16,44,
FL,FL,29,36,
FL01,,28,30,
FL02,,28,31,
FL03,,28,32,
FL04,,28,33,
FL05,,28,34,
FL06,,28,35,
FL07,,29,30,
FL08,,29,31,
FL09,,29,32,
FL10,,29,33,
FL11,,29,34,
FL12,,29,35,
FL13,,30,34,
FL14,,30,35,
FL15,,30,36,
FL16,,31,34,
FL17,,31,35,
FL18,,31,36,
FL19,,32,34,
FL20,,32,35,
FL21,,32,36,
FL22,,33,34,
FL23,,33,35,
FL24,,33,36,
FL25,,34,34,
FL26,,34,35,
FL27,,34,36,
GA,GA,24,34,
GA01,,23,31,
GA02,,23,32,
GA03,,23,33,
GA04,,24,31,
GA05,,24,32,
GA06,,24,33,
GA07,,25,31,
GA08,,25,32,
GA09,,25,33,
GA10,,25,34,
GA11,,26,31,
GA12,,26,32,
GA13,,26,33,
GA14,,26,34,
HI,HI,29,5,
HI01,,29,6,
HI02,,29,7,
IA,IA,14,19,
IA01,,14,20,
IA02,,14,21,
IA03,,15,20,
IA04,,15,21,
ID,ID,11,10,
ID01,,12,10,
ID02,,13,10,
IL,IL,17,23,
IL01,,14,23,
IL02,,14,24,
IL03,,14,25,
IL04,,14,26,
IL05,,15,23,
