date,state,margin
03/01/20,Alabama,24.82690482
03/02/20,Alabama,24.83712895
03/03/20,Alabama,24.85258201
03/04/20,Alabama,24.86365517
03/05/20,Alabama,24.87658415
03/06/20,Alabama,24.86338666
03/07/20,Alabama,24.87885323
03/08/20,Alabama,24.88901642
03/09/20,Alabama,24.89859488
03/10/20,Alabama,24.91878586
03/11/20,Alabama,24.93851195
03/12/20,Alabama,24.95969977
03/13/20,Alabama,24.96555493
03/14/20,Alabama,24.97752443
03/15/20,Alabama,24.98141798
03/16/20,Alabama,24.98999282
03/17/20,Alabama,25.00617437
03/18/20,Alabama,25.01840931
03/19/20,Alabama,25.02987492
03/20/20,Alabama,25.02872409
03/21/20,Alabama,25.02302561
03/22/20,Alabama,25.00868981
03/23/20,Alabama,25.0072378
03/24/20,Alabama,24.99722546
03/25/20,Alabama,25.00269025
03/26/20,Alabama,25.01144551
03/27/20,Alabama,25.01458508
03/28/20,Alabama,25.02054823
03/29/20,Alabama,25.02037406
03/30/20,Alabama,25.0263858
03/31/20,Alabama,25.03231537
04/01/20,Alabama,25.04055967
04/02/20,Alabama,25.04519787
04/03/20,Alabama,25.05515714
04/04/20,Alabama,25.05947123
04/05/20,Alabama,25.06702205
04/06/20,Alabama,25.07030554
04/07/20,Alabama,25.07363674
04/08/20,Alabama,25.07656002
04/09/20,Alabama,25.08073668
04/10/20,Alabama,25.08114792
04/11/20,Alabama,25.08380911
04/12/20,Alabama,25.0905157
04/13/20,Alabama,25.09723638
04/14/20,Alabama,25.10235633
04/15/20,Alabama,25.10753614
04/16/20,Alabama,25.1106823
04/17/20,Alabama,25.11523638
04/18/20,Alabama,25.11935382
04/19/20,Alabama,25.1234668
04/20/20,Alabama,25.13377467
04/21/20,Alabama,25.13798658
04/22/20,Alabama,25.14477452
04/23/20,Alabama,25.1462276
04/24/20,Alabama,25.14360699
04/25/20,Alabama,25.14911842
04/26/20,Alabama,25.15749644
04/27/20,Alabama,25.160721
04/28/20,Alabama,25.16619431
04/29/20,Alabama,25.16891682
04/30/20,Alabama,25.17103475
05/01/20,Alabama,25.1749197
05/02/20,Alabama,25.1763306
05/03/20,Alabama,25.17880628
05/04/20,Alabama,25.17941274
05/05/20,Alabama,25.18337599
05/06/20,Alabama,25.18669857
05/07/20,Alabama,25.18903962
05/08/20,Alabama,25.19524761
05/09/20,Alabama,25.20263943
05/10/20,Alabama,25.20418306
05/11/20,Alabama,25.20337478
05/12/20,Alabama,25.20861583
05/13/20,Alabama,25.20877222
05/14/20,Alabama,25.20944795
05/15/20,Alabama,25.22012538
05/16/20,Alabama,25.22348672
05/17/20,Alabama,25.23036516
05/18/20,Alabama,25.23362955
05/19/20,Alabama,25.24227095
05/20/20,Alabama,25.2454807
05/21/20,Alabama,25.24573252
05/22/20,Alabama,25.24699942
05/23/20,Alabama,25.24956036
05/24/20,Alabama,25.2475279
05/25/20,Alabama,25.24816264
05/26/20,Alabama,25.2512353
05/27/20,Alabama,25.25126941
05/28/20,Alabama,25.25112654
05/29/20,Alabama,25.25361007
05/30/20,Alabama,25.23278217
05/31/20,Alabama,25.22990821
06/01/20,Alabama,25.23033519
06/02/20,Alabama,25.23027962
06/03/20,Alabama,25.23185163
06/04/20,Alabama,25.23295875
06/05/20,Alabama,25.23307707
06/06/20,Alabama,25.23673142
06/07/20,Alabama,25.23559888
06/08/20,Alabama,25.22297636
06/09/20,Alabama,25.21978052
06/10/20,Alabama,25.22151653
06/11/20,Alabama,25.22473073
06/12/20,Alabama,25.22774404
06/13/20,Alabama,25.2310481
06/14/20,Alabama,25.23541967
06/15/20,Alabama,25.23737737
06/16/20,Alabama,25.24165205
06/17/20,Alabama,25.24763871
06/18/20,Alabama,25.25048195
06/19/20,Alabama,25.25834899
06/20/20,Alabama,25.2621087
06/21/20,Alabama,25.26745291
06/22/20,Alabama,25.27178147
06/23/20,Alabama,25.27456857
06/24/20,Alabama,25.27801669
06/25/20,Alabama,25.28365513
