state,gop_win
Alabama,100.0
Alaska,99.4
Arizona,53.7
Arkansas,100.0
California,0.0
Colorado,5.7
Connecticut,0.1
Delaware,0.0
District of Columbia,0.0
Florida,46.6
Georgia,40.7
Hawaii,0.0
Idaho,100.0
Illinois,0.0
Indiana,100.0
Iowa,49.6
Kansas,100.0
Kentucky,100.0
Louisiana,98.2
Maine,6.5
Maryland,0.0
Massachusetts,0.0
Michigan,5.3
Minnesota,16.8
Mississippi,98.7
Missouri,100.0
Montana,100.0
Nebraska,100.0
Nevada,5.5
New Hampshire,25.3
New Jersey,0.0
New Mexico,0.5
New York,0.0
North Carolina,43.0
North Dakota,100.0
Ohio,45.5
Oklahoma,100.0
Oregon,3.9
Pennsylvania,23.7
Rhode Island,0.3
South Carolina,96.7
South Dakota,100.0
Tennessee,100.0
Texas,50.9
Utah,100.0
Vermont,0.0
Virginia,1.7
Washington,0.0
West Virginia,100.0
Wisconsin,32
Wyoming,100.0
ME-01,1.9
ME-02,100.0
NE-01,100.0
NE-02,54.5
NE-03,100.0
