forecast_date,state,electoral_vote,party,win,p_10,proj_vote,p_90,tipping_point,poll_avg,fund_avg,ss_avg,experts_avg,poll_weight,fund_weight,ss_weight,experts_weight
01/01/20,Alabama,9,gop,99.824,54.201,62.020,69.840,0.000,0.000,61.533,61.267,63.216,0,75,15,40
01/01/20,Alabama,9,dem,0.176,27.813,35.632,43.452,0.000,0.000,36.542,35.809,33.860,0,75,15,40
01/01/20,Alabama,9,third,0.000,0.845,2.347,3.849,0.000,0.000,1.924,2.924,2.924,0,75,15,40
01/01/20,Alaska,3,gop,91.262,42.457,51.760,61.064,0.028,46.067,50.896,50.863,53.797,0.5559685123762372,75,15,40
01/01/20,Alaska,3,dem,8.738,28.341,37.645,46.948,0.028,42.764,38.935,37.967,35.033,0.5559685123762372,75,15,40
01/01/20,Alaska,3,third,0.000,3.814,10.595,17.376,0.028,11.169,10.169,11.169,11.169,0.5559685123762372,75,15,40
01/01/20,Arizona,11,gop,54.818,40.227,48.535,56.843,6.196,46.422,49.428,47.969,48.606,29.039604688701754,75,15,40
01/01/20,Arizona,11,dem,45.182,39.164,47.472,55.780,6.196,49.113,47.107,47.567,46.930,29.039604688701754,75,15,40
01/01/20,Arizona,11,third,0.000,1.438,3.993,6.549,6.196,4.465,3.465,4.465,4.465,29.039604688701754,75,15,40
01/01/20,Arkansas,6,gop,99.818,53.814,62.241,70.669,0.000,0.000,61.630,61.508,63.662,0,75,15,40
01/01/20,Arkansas,6,dem,0.182,25.588,34.015,42.443,0.000,0.000,35.050,34.172,32.018,0,75,15,40
01/01/20,Arkansas,6,third,0.000,1.348,3.743,6.139,0.000,0.000,3.320,4.320,4.320,0,75,15,40
01/01/20,California,55,gop,0.076,25.381,33.037,40.694,0.000,35.060,32.063,30.761,34.058,32.814691049900624,75,15,40
01/01/20,California,55,dem,99.924,54.563,62.219,69.876,0.000,59.736,63.732,64.035,60.738,32.814691049900624,75,15,40
01/01/20,California,55,third,0.000,1.708,4.744,7.779,0.000,5.204,4.204,5.204,5.204,32.814691049900624,75,15,40
01/01/20,Colorado,9,gop,16.588,33.659,42.403,51.148,2.254,42.636,43.562,42.517,40.162,4.592687478009228,75,15,40
01/01/20,Colorado,9,dem,83.412,43.632,52.377,61.122,2.254,51.587,51.661,51.706,54.062,4.592687478009228,75,15,40
01/01/20,Colorado,9,third,0.000,1.879,5.220,8.560,2.254,5.777,4.777,5.777,5.777,4.592687478009228,75,15,40
01/01/20,Connecticut,7,gop,2.832,30.409,38.765,47.121,0.034,38.563,38.848,40.058,38.131,1.0558168063291624,75,15,40
01/01/20,Connecticut,7,dem,97.168,49.186,57.542,65.898,0.034,57.172,57.887,55.677,57.603,1.0558168063291624,75,15,40
01/01/20,Connecticut,7,third,0.000,1.329,3.693,6.056,0.034,4.265,3.265,4.265,4.265,1.0558168063291624,75,15,40
01/01/20,Delaware,3,gop,2.178,31.073,39.113,47.154,0.008,0.000,38.939,39.906,39.143,0,75,15,40
01/01/20,Delaware,3,dem,97.822,50.181,58.221,66.262,0.008,0.000,58.818,56.851,57.615,0,75,15,40
01/01/20,Delaware,3,third,0.000,0.960,2.666,4.372,0.008,0.000,2.242,3.242,3.242,0,75,15,40
01/01/20,Florida,29,gop,47.942,40.466,48.673,56.880,21.790,47.314,48.991,48.068,49.264,28.27037574587124,75,15,40
01/01/20,Florida,29,dem,52.058,41.115,49.321,57.528,21.790,50.206,49.530,49.452,48.256,28.27037574587124,75,15,40
01/01/20,Florida,29,third,0.000,0.722,2.006,3.290,21.790,2.480,1.480,2.480,2.480,28.27037574587124,75,15,40
01/01/20,Georgia,16,gop,65.248,43.423,50.866,58.309,5.344,47.640,51.205,51.683,52.517,32.15506416874968,75,15,40
01/01/20,Georgia,16,dem,34.752,40.043,47.486,54.929,5.344,50.250,47.684,46.206,45.373,32.15506416874968,75,15,40
01/01/20,Georgia,16,third,0.000,0.593,1.648,2.703,5.344,2.111,1.111,2.111,2.111,32.15506416874968,75,15,40
01/01/20,Hawaii,4,gop,0.008,18.310,27.124,35.939,0.000,0.000,26.401,27.467,28.351,0,75,15,40
01/01/20,Hawaii,4,dem,99.992,59.680,68.495,77.309,0.000,0.000,69.641,67.575,66.691,0,75,15,40
01/01/20,Hawaii,4,third,0.000,1.577,4.381,7.185,0.000,0.000,3.958,4.958,4.958,0,75,15,40
01/01/20,Idaho,4,gop,99.932,54.572,63.663,72.754,0.000,0.000,63.193,62.976,64.800,0,75,15,40
01/01/20,Idaho,4,dem,0.068,21.459,30.550,39.641,0.000,0.000,31.442,30.660,28.836,0,75,15,40
01/01/20,Idaho,4,third,0.000,2.083,5.787,9.491,0.000,0.000,5.364,6.364,6.364,0,75,15,40
01/01/20,Illinois,20,gop,2.514,30.216,38.699,47.182,0.048,0.000,38.703,38.857,38.633,0,75,15,40
01/01/20,Illinois,20,dem,97.486,50.049,58.532,67.015,0.048,0.000,58.952,57.797,58.021,0,75,15,40
01/01/20,Illinois,20,third,0.000,0.997,2.769,4.541,0.048,0.000,2.346,3.346,3.346,0,75,15,40
