state,ev,pvi,pct_vote,elasticity,third_index,sabato,cook,inside,bitecofer,politico,bitecofer_margin,cnanalysis
Alabama,9,30.12,0.015536572,0.89,0.731030246,Solid R,Solid R,Solid R,Solid R,Solid R,26.3,Solid R
Alaska,3,17.09,0.002331234,1.16,2.792366624,Solid R,Solid R,Solid R,Solid R,Solid R,13.82,Solid R
Arizona,11,7.45,0.018827677,1.05,1.116232562,Tossup,Tossup,Tilt R,Lean D,Tossup,5.38,Tossup
Arkansas,6,31.71,0.008272781,1,1.080016252,Solid R,Solid R,Solid R,Solid R,Solid R,31.38,Solid R
California,55,-26.54,0.103765787,0.94,1.301041812,Solid D,Solid D,Solid D,Solid D,Solid D,-27.24,Solid D
Colorado,9,-2.97,0.020342882,1.07,1.444233859,Lean D,Likely D,Solid D,Solid D,Lean D,-11.1,Solid D
Connecticut,7,-13.91,0.01203577,0.99,1.06628916,Solid D,Solid D,Solid D,Solid D,Solid D,-17.36,Solid D
Delaware,3,-14.75,0.003247358,0.93,0.810619059,Solid D,Solid D,Solid D,Solid D,Solid D,-12.36,Solid D
District of Columbia,3,-81,0.002277527,0.8,1.18179531,Solid D,Solid D,Solid D,Solid D,Solid D,-54.7708,Solid D
Florida,29,4.59,0.068925799,1.03,0.619925944,Lean R,Tossup,Tossup,Tossup,Tossup,-0.36,Tilt R
Georgia,16,8.65,0.03010722,0.9,0.527718158,Lean R,Lean R,Likely R,Tossup,Lean R,6.52,Likely R
Hawaii,4,-38.11,0.003138503,1.07,1.239515808,Solid D,Solid D,Solid D,Solid D,Solid D,-39.26,Solid D
Idaho,4,36.88,0.00505055,1.12,1.591040877,Solid R,Solid R,Solid R,Solid R,Solid R,32.3,Solid R
Illinois,20,-15.12,0.040509646,1.01,0.836435666,Solid D,Solid D,Solid D,Solid D,Solid D,-16.94,Solid D
Indiana,11,19.72,0.020011506,0.99,0.822305966,Solid R,Solid R,Solid R,Solid R,Solid R,18.02,Solid R
Iowa,6,6.99,0.011458545,1.08,1.094055593,Lean R,Likely R,Lean R,Tossup,Lean R,4.46,Likely R
Kansas,6,21.94,0.008666191,1,1.29143794,Solid R,Solid R,Solid R,Solid R,Solid R,19.24,Solid R
Kentucky,8,30.52,0.01407887,0.94,0.772167007,Solid R,Solid R,Solid R,Solid R,Solid R,30.48,Solid R
Louisiana,8,24.86,0.014846292,0.96,0.934999508,Solid R,Solid R,Solid R,Solid R,Solid R,23.22,Solid R
Maine,2,-5,0,1.13,1.557385292,Lean D,Lean D,Lean D,Likely D,Lean D,-5.42,Likely D
Maryland,10,-25.37,0.020351655,0.96,0.868674396,Solid D,Solid D,Solid D,Solid D,Solid D,-27.98,Solid D
