prob,state,gopv,gopdensity,gopvote,demv,demvote,demdensity,stdev,third,thirdv,thirddensity,thirdvote,
0.0001,Texas,28.82639284,0.4000609,53,21.82639284,46,0.2000609,6.5,0.00119976,0.001,5.9988E-05,4,
0.001,Texas,32.91349001,0.400518014,53,25.91349001,46,0.200518014,6.5,0.011976012,0.01,0.000598801,4,
0.005,Texas,36.25710953,0.402224576,53,29.25710953,46,0.202224576,6.5,0.0594015,0.05,0.002970075,4,
0.01,Texas,37.87873882,0.40410033,53,30.87873882,46,0.20410033,6.5,0.117612,0.1,0.0058806,4,
0.02,Texas,39.65063208,0.407448944,53,32.65063208,46,0.207448944,6.5,0.230496,0.2,0.0115248,4,
0.03,Texas,40.77484155,0.410467993,53,33.77484155,46,0.210467993,6.5,0.338724,0.3,0.0169362,4,
0.04,Texas,41.62054054,0.413257504,53,34.62054054,46,0.213257504,6.5,0.442368,0.4,0.0221184,4,
0.05,Texas,42.30845142,0.415867022,53,35.30845142,46,0.215867022,6.5,0.5415,0.5,0.027075,4,
0.06,Texas,42.89397164,0.41832661,53,35.89397164,46,0.21832661,6.5,0.636192,0.6,0.0318096,4,
0.07,Texas,43.40735832,0.420656602,53,36.40735832,46,0.220656602,6.5,0.726516,0.7,0.0363258,4,
0.08,Texas,43.86703486,0.422871727,53,36.86703486,46,0.222871727,6.5,0.812544,0.8,0.0406272,4,
0.09,Texas,44.28509228,0.424983174,53,37.28509228,46,0.224983174,6.5,0.894348,0.9,0.0447174,4,
0.1,Texas,44.66991482,0.426999743,53,37.66991482,46,0.226999743,6.5,0.972,1,0.0486,4,
0.11,Texas,45.02756722,0.428928549,53,38.02756722,46,0.228928549,6.5,1.045572,1.1,0.0522786,4,
0.12,Texas,45.36258585,0.430775459,53,38.36258585,46,0.230775459,6.5,1.115136,1.2,0.0557568,4,
0.13,Texas,45.67845766,0.432545401,53,38.67845766,46,0.232545401,6.5,1.180764,1.3,0.0590382,4,
