state,pollster,grade,date,nsize,ntype,dem,gop,adjmargin,weight
US,Morning Consult,B/C,1/27 - 2/2,7178.0,rv,46.0,42.0,-2.8999999999999986,7.6
US,AtlasIntel,0,1/30 - 2/2,1600.0,rv,46.0,45.0,-0.10000000000000142,1.5
North Dakota,DFM Research,B/C,1/28 - 2/1,600.0,a,33.0,60.0,,0.0
Tennessee,Mason-Dixon Polling & Research Inc.,B+,1/28 - 1/30,625.0,rv,38.0,56.0,17.9,9.3
Texas,University of Texas at Tyler,B/C,1/21 - 1/30,1169.0,rv,40.0,45.0,4.400000000000006,5.8
US,IBD/TIPP,A/B,1/23 - 1/30,856.0,rv,48.0,48.0,0.6000000000000014,12.7
US,NBC News/Wall Street Journal,A/B,1/26 - 1/29,1000.0,rv,49.0,44.0,-3.200000000000003,12.5
US,USC Dornsife/LA Times,B/C,1/15 - 1/28,4869.0,rv,48.0,40.0,-6.299999999999997,6.0
US,Morning Consult,B/C,1/20 - 1/26,8399.0,rv,46.0,41.0,-4.100000000000001,0.8
New Hampshire,Marist College,A+,1/20 - 1/23,2223.0,rv,51.0,43.0,-6.699999999999996,43.7
Iowa,Siena College/New York Times Upshot,A+,1/20 - 1/23,1689.0,rv,43.0,47.0,5.100000000000001,41.7
US,Emerson College,A-,1/21 - 1/23,1128.0,rv,51.0,49.0,-0.7999999999999972,13.8
US,ABC News/Washington Post,A+,1/20 - 1/23,1004.0,a,51.0,44.0,-1.2999999999999972,29.1
Missouri,American Viewpoint,A/B,1/20 - 1/22,1200.0,lv,43.0,50.0,4.799999999999997,7.8
US,Fox News,A-,1/19 - 1/22,1005.0,rv,49.0,41.0,-4.899999999999999,14.3
Utah,HarrisX,C+,1/15 - 1/22,1017.0,rv,30.0,49.0,19.200000000000003,3.1
Delaware,Gonzales Research & Marketing Strategies Inc.,B/C,1/16 - 1/21,410.0,lv,52.0,43.0,-7.0,3.4
