state,electoralvotes,gopproj,demproj,thirdproj,stdev,voteperc,margin,pollclose
Alabama,9,62.8,34.1,3.0,6.5,0.015523179082555445,28.8,8.036880554007103
Alaska,3,52.6,35.9,11.4,8.5,0.0023292240083861073,16.7,13.012865705235825
Arizona,11,49.9,45.4,4.6,9.2,0.018811447595599724,4.5,9.070797963723999
Arkansas,6,62.9,32.5,4.4,6.7,0.008265649910616263,30.4,8.506285422542028
California,55,34.4,60.1,5.3,5.9,0.10367634067948192,-25.7,11.056494719805535
Colorado,9,42.9,51.1,5.9,9.5,0.02032514931387543,-8.2,9.045530795371313
Connecticut,7,39.4,56.1,4.4,8.3,0.01202539533180107,-16.6,8.037719766620326
Delaware,3,39.9,56.7,3.3,8.5,0.003228299445912284,-16.8,8.052649403109024
District of Columbia,3,10.9,84.2,4.8,6.7,0.0022851190002174692,-73.3,8.083030249327592
Florida,29,49.8,47.5,2.5,8.7,0.06886638439315226,2.3,8.01735451596432
Georgia,16,52.5,45.2,2.2,9.1,0.03008126777254364,7.3,7.035918834738001
Hawaii,4,28.3,66.5,5.1,6.4,0.00319959792725323,-38.2,11.074885550051752
Idaho,4,64.6,28.8,6.5,6.5,0.005046196322466957,35.9,11.0723269908926
Illinois,20,39.5,57.0,3.4,8.1,0.04047472662772135,-17.5,8.080027966329855
Indiana,11,57.7,38.8,3.4,7.9,0.019994255748530015,18.9,7.044588240976934
Iowa,6,50.6,44.8,4.5,8.5,0.011445370245094667,5.8,10.00725599262528
Kansas,6,57.9,36.7,5.3,7.8,0.008658720352221294,21.1,9.067514366109874
Kentucky,8,63.2,33.5,3.2,6.5,0.01406673418907284,29.7,7.041533871196724
Louisiana,8,59.8,36.2,3.8,7.3,0.014833494602093104,23.6,9.028948310652966
Maine,2,43.8,49.7,6.4,8.9,0.00564301391767052,-6.0,8.079106083106463
Maine-1,1,38.0,56.9,5.0,10.4,0.0,-18.8,8.093418740094874
Maine-2,1,49.5,44.6,5.8,11.3,0.0,4.9,8.021996653136393
Maryland,10,35.0,61.3,3.6,6.7,0.020334112141658416,-26.3,8.033554606550961
Massachusetts,11,32.9,60.7,6.3,6.5,0.02470129749798861,-27.8,8.040820843317196
Michigan,16,47.2,49.2,3.5,8.5,0.03508577159350459,-2.0,9.035388748113327
Minnesota,10,44.8,49.5,5.6,9.0,0.021528200590893064,-4.8,9.057035001177235
Mississippi,6,58.3,38.9,2.6,8.1,0.008841157030299921,19.4,8.054991561734948
Missouri,10,57.9,39.0,3.0,8.3,0.020532661439992914,18.9,8.018749153493392
Montana,3,55.7,37.1,7.0,8.6,0.0036152947571032367,18.6,10.020616291279499
Nebraska,2,61.7,33.5,4.7,6.9,0.006171828067492901,28.3,9.091453667519573
Nebraska-1,1,59.7,35.3,4.9,9.3,0.0,24.4,9.083433415953197
Nebraska-2,1,49.8,45.6,4.5,11.3,0.0,4.2,9.088966754421634
Nebraska-3,1,75.9,19.6,4.5,8.5,0.0,56.3,9.080300022737296
Nevada,6,46.1,48.4,5.4,9.8,0.008227269122801684,-2.2,10.050165213471182
New Hampshire,4,46.4,49.2,4.3,8.8,0.005441269875664598,-2.8,8.076428863970834
New Jersey,14,40.0,56.4,3.5,9.2,0.02832170238284087,-16.3,8.097579022346359
New Mexico,5,41.5,53.1,5.3,9.8,0.00583621183758973,-11.7,9.0025960489466
New York,29,35.7,59.1,5.2,7.9,0.05703812009819312,-23.4,9.062629788334561
North Carolina,15,50.4,47.5,2.0,8.5,0.03466380224633174,2.9,7.513997027881067
North Dakota,3,64.1,29.7,6.1,6.9,0.0025174872555863,34.4,9.046073022116234
Ohio,18,51.9,44.0,4.1,9.7,0.040182762147159296,7.9,7.522191810044165
Oklahoma,7,66.9,30.7,2.2,7.6,0.010622281456815104,36.2,8.019121460305856
Oregon,7,39.8,53.3,6.8,9.5,0.014631019497462141,-13.5,11.081416770632675
Pennsylvania,20,48.1,48.4,3.4,8.6,0.04470741839292301,-0.3,8.050194519241904
Rhode Island,4,37.6,57.3,5.0,8.6,0.003393183310363711,-19.7,8.070337923951342
South Carolina,9,56.7,40.2,3.1,9.3,0.01537444439149114,16.5,7.065616097290554
South Dakota,3,62.9,32.8,4.2,7.2,0.002705611600887735,30.2,9.055771252515287
Tennessee,11,62.0,35.2,2.7,7.4,0.018335248022901443,26.7,8.018052670616319
Texas,38,54.3,42.8,2.8,9.4,0.06557065904133258,11.5,9.025168146738327
Utah,6,60.7,31.0,8.2,7.6,0.008270635757719032,29.7,10.089360671535196
Vermont,3,30.2,62.4,7.3,6.7,0.002342814462585593,-32.2,7.081172970177024
Virginia,13,44.8,51.5,3.5,9.8,0.0291164113200164,-6.7,7.077839168765331
Washington,12,38.6,55.2,6.2,9.6,0.024249486174461647,-16.6,11.053874256047113
West Virginia,5,66.4,30.4,3.1,7.2,0.00521284935847098,35.9,7.523828067967527
Wisconsin,10,48.5,47.1,4.3,8.6,0.021757520315115478,1.4,9.091554945019999
Wyoming,3,70.2,23.3,6.4,7.2,0.00189190234608743,47.0,9.024117167628
