rank,state,state_comp,value,comp_pvi
1,Alabama,Louisiana,81,24.86084333
2,Alabama,Tennessee,79.2,27.95210789
3,Alabama,South Carolina,77.5,16.71872913
4,Alabama,Arkansas,75.4,31.71173634
5,Alabama,Mississippi,74,20.60447897
6,Alabama,Georgia,71.8,8.653037898
7,Alabama,Oklahoma,68.5,37.50759662
8,Alabama,Kentucky,67.1,30.52236505
9,Alabama,North Carolina,65.9,5.614413959
10,Alabama,Missouri,65.1,19.83970086
1,Alaska,South Carolina,50,16.71872913
2,Alaska,North Carolina,45.3,5.614413959
3,Alaska,Missouri,42.6,19.83970086
4,Alaska,Washington,42,-13.97840149
5,Alaska,Montana,41.8,19.04432764
6,Alaska,Indiana,41.6,19.72467972
7,Alaska,Georgia,41.4,8.653037898
8,Alaska,Kansas,41.4,21.9404712
9,Alaska,Virginia,40.8,-2.880027279
10,Alaska,Oklahoma,40.5,37.50759662
1,Arizona,Nevada,73.3,0.008642973
2,Arizona,Texas,70,13.4891771
3,Arizona,Utah,65,32.06372464
4,Arizona,Florida,63.3,4.586909528
5,Arizona,New Mexico,63.1,-9.070470147
6,Arizona,Colorado,62.9,-2.973127033
7,Arizona,Kansas,59.9,21.9404712
8,Arizona,Oregon,59.4,-10.63313409
9,Arizona,Washington,58.3,-13.97840149
10,Arizona,Iowa,56.6,6.986805164
1,Arkansas,Tennessee,85.3,27.95210789
2,Arkansas,Missouri,81.7,19.83970086
3,Arkansas,Oklahoma,78.7,37.50759662
4,Arkansas,Indiana,75.9,19.72467972
5,Arkansas,Kentucky,75.5,30.52236505
6,Arkansas,Alabama,75.4,30.12071404
7,Arkansas,South Dakota,71.7,31.44709825
8,Arkansas,Ohio,70.3,9.673126597
9,Arkansas,Nebraska,69.3,29.50929736
10,Arkansas,Louisiana,68.1,24.86084333
1,California,Nevada,60.6,0.008642973
2,California,Arizona,53.9,7.449078603
3,California,Washington,53.5,-13.97840149
4,California,New Mexico,51.5,-9.070470147
5,California,Oregon,50.1,-10.63313409
6,California,Texas,49.2,13.4891771
7,California,New York,47.3,-22.52786675
8,California,Colorado,42.5,-2.973127033
9,California,Utah,42.2,32.06372464
10,California,Maryland,42,-25.36538251
1,Colorado,Minnesota,67.9,-1.821522496
2,Colorado,Arizona,62.9,7.449078603
3,Colorado,Utah,61.4,32.06372464
4,Colorado,New Mexico,60.8,-9.070470147
5,Colorado,Nevada,60.7,0.008642973
6,Colorado,Kansas,58.9,21.9404712
7,Colorado,Washington,58.4,-13.97840149
8,Colorado,Illinois,58.3,-15.12454711
9,Colorado,Nebraska,57.1,29.50929736
10,Colorado,Oregon,56.5,-10.63313409
1,Connecticut,New Jersey,85,-13.20123044
2,Connecticut,Massachusetts,84.4,-26.97403839
3,Connecticut,Rhode Island,82.1,-18.88398581
4,Connecticut,Delaware,76.5,-14.74814097
