state,statecat,value,label,xValue,yValue
Alabama,Alabama,100.0,AL,637.0,338.6934
Alaska,Alabama,38.7,AK,245.0,400.0
Arizona,Alabama,40.9,AZ,315.0,306.5801
Arkansas,Alabama,75.4,AR,560.0,315.6387
California,Alabama,23.4,CA,223.0,253.9219
Colorado,Alabama,35.7,CO,400.0,245.5645
Connecticut,Alabama,43.1,CT,-1000.0,-1000.0
Delaware,Alabama,61.4,DE,-1000.0,-1000.0
Florida,Alabama,62.7,FL,714.0,397.8154
Georgia,Alabama,71.8,GA,680.0117,335.2354
Hawaii,Alabama,9.0,HI,380.0,465.0
Idaho,Alabama,42.2,ID,310.1851,155.0
Illinois,Alabama,56.5,IL,596.6602,231.2954
Indiana,Alabama,63.3,IN,633.4111,228.4214
Iowa,Alabama,50.1,IA,545.8457,202.6782
Kansas,Alabama,58.8,KS,487.0,259.1592
Kentucky,Alabama,67.1,KY,655.1484,264.9658
Louisiana,Alabama,81.0,LA,561.4404,369.8135
Maine,Alabama,36.4,ME,807.3105,109.855
Maryland,Alabama,53.2,MD,-1000.0,-1000.0
Massachusetts,Alabama,39.6,MA,-1000.0,-1000.0
Michigan,Alabama,59.0,MI,645.6465,181.3647
Minnesota,Alabama,49.7,MN,530.8594,141.5874
Mississippi,Alabama,74.0,MS,598.6016,342.1514
Missouri,Alabama,65.1,MO,557.0,261.123
Montana,Alabama,44.1,MT,370.0981,112.7705
Nebraska,Alabama,58.8,NE,473.8364,210.0527
Nevada,Alabama,40.9,NV,267.8765,219.0957
New Hampshire,Alabama,40.8,NH,-1000.0,-1000.0
New Jersey,Alabama,45.3,NJ,785.0,210.0
New Mexico,Alabama,29.9,NM,385.3774,314.1035
New York,Alabama,44.2,NY,753.5781,163.2588
North Carolina,Alabama,65.9,NC,728.6084,284.5029
North Dakota,Alabama,53.3,ND,467.0742,117.3823
Ohio,Alabama,61.0,OH,670.7197,219.4883
Oklahoma,Alabama,68.5,OK,500.1963,306.418
Oregon,Alabama,35.5,OR,240.2783,139.5654
Pennsylvania,Alabama,56.1,PA,730.3535,200.856
Rhode Island,Alabama,46.3,RI,-1000.0,-1000.0
South Carolina,Alabama,77.5,SC,712.4395,315.6387
South Dakota,Alabama,58.0,SD,468.0742,163.5166
Tennessee,Alabama,79.2,TN,640.8594,294.8193
Texas,Alabama,47.5,TX,480.9902,374.2861
Utah,Alabama,51.6,UT,330.1084,234.978
Vermont,Alabama,38.2,VT,-1000.0,-1000.0
Virginia,Alabama,57.0,VA,731.0264,252.7842
Washington,Alabama,36.6,WA,256.9365,88.0762
West Virginia,Alabama,52.8,WV,701.0,243.0
Wisconsin,Alabama,52.4,WI,585.2529,163.2588
Wyoming,Alabama,40.6,WY,385.9287,179.6255
District of Columbia,Alabama,35.6,DC,-1000.0,-1000.0
Alabama,Alaska,38.7,AL,637.0,338.6934
Alaska,Alaska,100.0,AK,245.0,400.0
Arizona,Alaska,37.1,AZ,315.0,306.5801
Arkansas,Alaska,35.5,AR,560.0,315.6387
California,Alaska,28.4,CA,223.0,253.9219
Colorado,Alaska,32.3,CO,400.0,245.5645
Connecticut,Alaska,36.1,CT,-1000.0,-1000.0
Delaware,Alaska,38.6,DE,-1000.0,-1000.0
Florida,Alaska,37.0,FL,714.0,397.8154
Georgia,Alaska,41.4,GA,680.0117,335.2354
Hawaii,Alaska,15.1,HI,380.0,465.0
Idaho,Alaska,30.8,ID,310.1851,155.0
Illinois,Alaska,38.1,IL,596.6602,231.2954
Indiana,Alaska,41.6,IN,633.4111,228.4214
Iowa,Alaska,34.9,IA,545.8457,202.6782
Kansas,Alaska,41.4,KS,487.0,259.1592
Kentucky,Alaska,31.9,KY,655.1484,264.9658
Louisiana,Alaska,38.7,LA,561.4404,369.8135
Maine,Alaska,27.1,ME,807.3105,109.855
Maryland,Alaska,30.7,MD,-1000.0,-1000.0
Massachusetts,Alaska,33.5,MA,-1000.0,-1000.0
Michigan,Alaska,38.1,MI,645.6465,181.3647
Minnesota,Alaska,37.0,MN,530.8594,141.5874
Mississippi,Alaska,39.8,MS,598.6016,342.1514
Missouri,Alaska,42.6,MO,557.0,261.123
Montana,Alaska,41.8,MT,370.0981,112.7705
Nebraska,Alaska,35.7,NE,473.8364,210.0527
Nevada,Alaska,40.3,NV,267.8765,219.0957
New Hampshire,Alaska,30.0,NH,-1000.0,-1000.0
New Jersey,Alaska,36.5,NJ,785.0,210.0
New Mexico,Alaska,22.9,NM,385.3774,314.1035
New York,Alaska,33.8,NY,753.5781,163.2588
North Carolina,Alaska,45.3,NC,728.6084,284.5029
North Dakota,Alaska,34.5,ND,467.0742,117.3823
Ohio,Alaska,40.0,OH,670.7197,219.4883
Oklahoma,Alaska,40.5,OK,500.1963,306.418
Oregon,Alaska,34.6,OR,240.2783,139.5654
Pennsylvania,Alaska,37.8,PA,730.3535,200.856
Rhode Island,Alaska,31.8,RI,-1000.0,-1000.0
South Carolina,Alaska,50.0,SC,712.4395,315.6387
South Dakota,Alaska,37.3,SD,468.0742,163.5166
Tennessee,Alaska,39.3,TN,640.8594,294.8193
Texas,Alaska,37.1,TX,480.9902,374.2861
Utah,Alaska,36.0,UT,330.1084,234.978
Vermont,Alaska,23.9,VT,-1000.0,-1000.0
Virginia,Alaska,40.8,VA,731.0264,252.7842
Washington,Alaska,42.0,WA,256.9365,88.0762
West Virginia,Alaska,22.6,WV,701.0,243.0
Wisconsin,Alaska,36.4,WI,585.2529,163.2588
Wyoming,Alaska,27.0,WY,385.9287,179.6255
District of Columbia,Alaska,14.8,DC,-1000.0,-1000.0
Alabama,Arizona,40.9,AL,637.0,338.6934
Alaska,Arizona,37.1,AK,245.0,400.0
Arizona,Arizona,100.0,AZ,315.0,306.5801
Arkansas,Arizona,41.9,AR,560.0,315.6387
California,Arizona,53.9,CA,223.0,253.9219
Colorado,Arizona,62.9,CO,400.0,245.5645
Connecticut,Arizona,41.5,CT,-1000.0,-1000.0
Delaware,Arizona,39.0,DE,-1000.0,-1000.0
Florida,Arizona,63.3,FL,714.0,397.8154
Georgia,Arizona,43.0,GA,680.0117,335.2354
Hawaii,Arizona,9.6,HI,380.0,465.0
Idaho,Arizona,51.8,ID,310.1851,155.0
Illinois,Arizona,50.5,IL,596.6602,231.2954
Indiana,Arizona,44.1,IN,633.4111,228.4214
Iowa,Arizona,56.6,IA,545.8457,202.6782
Kansas,Arizona,59.9,KS,487.0,259.1592
Kentucky,Arizona,33.7,KY,655.1484,264.9658
Louisiana,Arizona,41.0,LA,561.4404,369.8135
Maine,Arizona,36.6,ME,807.3105,109.855
Maryland,Arizona,27.1,MD,-1000.0,-1000.0
Massachusetts,Arizona,34.7,MA,-1000.0,-1000.0
Michigan,Arizona,50.5,MI,645.6465,181.3647
Minnesota,Arizona,56.1,MN,530.8594,141.5874
Mississippi,Arizona,37.2,MS,598.6016,342.1514
Missouri,Arizona,49.7,MO,557.0,261.123
Montana,Arizona,56.6,MT,370.0981,112.7705
Nebraska,Arizona,54.6,NE,473.8364,210.0527
Nevada,Arizona,73.3,NV,267.8765,219.0957
