rank,state,state2,value
1,Alabama,Louisiana,81.0
2,Alabama,Tennessee,79.2
3,Alabama,South Carolina,77.5
4,Alabama,Arkansas,75.4
5,Alabama,Mississippi,74.0
6,Alabama,Georgia,71.8
7,Alabama,Oklahoma,68.5
8,Alabama,Kentucky,67.1
9,Alabama,North Carolina,65.9
10,Alabama,Missouri,65.1
1,Alaska,South Carolina,50.0
2,Alaska,North Carolina,45.3
3,Alaska,Missouri,42.6
4,Alaska,Washington,42.0
5,Alaska,Montana,41.8
6,Alaska,Indiana,41.6
7,Alaska,Georgia,41.4
8,Alaska,Kansas,41.4
9,Alaska,Virginia,40.8
10,Alaska,Oklahoma,40.5
1,Arizona,Nevada,73.3
2,Arizona,Texas,70.0
3,Arizona,Utah,65.0
4,Arizona,Florida,63.3
5,Arizona,New Mexico,63.1
6,Arizona,Colorado,62.9
7,Arizona,Kansas,59.9
8,Arizona,Oregon,59.4
9,Arizona,Washington,58.3
10,Arizona,Iowa,56.6
1,Arkansas,Tennessee,85.3
2,Arkansas,Missouri,81.7
3,Arkansas,Oklahoma,78.7
4,Arkansas,Indiana,75.9
5,Arkansas,Kentucky,75.5
6,Arkansas,Alabama,75.4
7,Arkansas,South Dakota,71.7
8,Arkansas,Ohio,70.3
9,Arkansas,Nebraska,69.3
10,Arkansas,Louisiana,68.1
1,California,Nevada,60.6
2,California,Arizona,53.9
3,California,Washington,53.5
4,California,New Mexico,51.5
5,California,Oregon,50.1
6,California,Texas,49.2
7,California,New York,47.3
8,California,Colorado,42.5
9,California,Utah,42.2
10,California,Maryland,42.0
1,Colorado,Minnesota,67.9
2,Colorado,Arizona,62.9
3,Colorado,Utah,61.4
4,Colorado,New Mexico,60.8
5,Colorado,Nevada,60.7
6,Colorado,Kansas,58.9
7,Colorado,Washington,58.4
8,Colorado,Illinois,58.3
9,Colorado,Nebraska,57.1
10,Colorado,Oregon,56.5
1,Connecticut,New Jersey,85.0
2,Connecticut,Massachusetts,84.4
3,Connecticut,Rhode Island,82.1
4,Connecticut,Delaware,76.5
5,Connecticut,New York,76.1
6,Connecticut,Illinois,73.5
7,Connecticut,Virginia,71.9
8,Connecticut,New Hampshire,68.2
9,Connecticut,Pennsylvania,66.7
10,Connecticut,Maine,65.3
1,Delaware,North Carolina,80.0
2,Delaware,New Jersey,78.8
3,Delaware,Virginia,78.0
4,Delaware,Connecticut,76.5
5,Delaware,Maryland,75.1
6,Delaware,Illinois,73.3
7,Delaware,South Carolina,73.1
8,Delaware,Rhode Island,73.1
9,Delaware,New York,72.7
10,Delaware,Pennsylvania,71.5
1,Florida,North Carolina,75.2
2,Florida,Pennsylvania,68.7
3,Florida,Virginia,67.2
4,Florida,South Carolina,66.9
5,Florida,Michigan,66.3
6,Florida,Georgia,66.0
7,Florida,Ohio,64.9
8,Florida,Illinois,64.4
9,Florida,Arizona,63.3
10,Florida,Alabama,62.7
1,Georgia,South Carolina,80.2
2,Georgia,North Carolina,77.4
3,Georgia,Mississippi,73.2
4,Georgia,Alabama,71.8
5,Georgia,Virginia,71.0
6,Georgia,Louisiana,70.9
7,Georgia,Maryland,66.8
8,Georgia,Florida,66.0
9,Georgia,Delaware,62.9
10,Georgia,Ohio,62.3
1,Hawaii,California,19.9
2,Hawaii,Maryland,18.8
3,Hawaii,Vermont,18.2
4,Hawaii,Massachusetts,17.8
5,Hawaii,New York,17.4
6,Hawaii,Alaska,15.1
7,Hawaii,Washington,14.8
8,Hawaii,Illinois,13.8
9,Hawaii,Rhode Island,13.8
10,Hawaii,New Jersey,13.7
1,Idaho,Wyoming,83.1
2,Idaho,Montana,72.5
3,Idaho,Utah,71.7
4,Idaho,South Dakota,69.8
5,Idaho,North Dakota,67.7
6,Idaho,Nebraska,65.4
7,Idaho,Oregon,64.8
8,Idaho,Oklahoma,60.8
9,Idaho,Kansas,58.7
10,Idaho,Iowa,58.3
1,Illinois,New Jersey,76.1
2,Illinois,Connecticut,73.5
3,Illinois,Delaware,73.3
4,Illinois,Virginia,72.8
5,Illinois,New York,71.5
6,Illinois,Michigan,69.7
7,Illinois,North Carolina,69.5
8,Illinois,Minnesota,67.4
9,Illinois,Rhode Island,66.2
10,Illinois,Wisconsin,66.0
1,Indiana,Missouri,88.3
2,Indiana,Ohio,85.2
3,Indiana,Tennessee,81.0
4,Indiana,Kentucky,78.9
5,Indiana,Iowa,76.2
6,Indiana,Arkansas,75.9
7,Indiana,Michigan,74.6
8,Indiana,Wisconsin,72.2
9,Indiana,Pennsylvania,70.3
10,Indiana,Kansas,68.9
1,Iowa,Wisconsin,85.9
2,Iowa,Missouri,78.5
3,Iowa,Indiana,76.2
4,Iowa,Ohio,75.8
5,Iowa,Kansas,74.6
6,Iowa,Nebraska,73.4
7,Iowa,Minnesota,73.4
8,Iowa,South Dakota,72.8
9,Iowa,Montana,72.7
10,Iowa,Michigan,72.0
1,Kansas,Nebraska,87.6
2,Kansas,North Dakota,77.3
3,Kansas,South Dakota,77.2
4,Kansas,Missouri,77.2
5,Kansas,Oklahoma,75.8
6,Kansas,Utah,75.0
7,Kansas,Iowa,74.6
8,Kansas,Montana,74.2
9,Kansas,Wisconsin,73.7
10,Kansas,Minnesota,69.6
1,Kentucky,Tennessee,80.3
2,Kentucky,Indiana,78.9
3,Kentucky,Arkansas,75.5
4,Kentucky,West Virginia,74.3
5,Kentucky,Missouri,70.9
6,Kentucky,Ohio,70.3
7,Kentucky,Alabama,67.1
8,Kentucky,South Dakota,62.8
9,Kentucky,Oklahoma,62.6
10,Kentucky,Iowa,60.9
1,Louisiana,Mississippi,84.9
2,Louisiana,Alabama,81.0
3,Louisiana,South Carolina,70.9
4,Louisiana,Georgia,70.9
5,Louisiana,Arkansas,68.1
6,Louisiana,Tennessee,67.2
7,Louisiana,Oklahoma,62.8
8,Louisiana,Missouri,62.3
9,Louisiana,Kansas,59.1
10,Louisiana,North Carolina,58.7
1,Maine,New Hampshire,82.7
2,Maine,Vermont,74.1
3,Maine,Rhode Island,69.3
4,Maine,Pennsylvania,68.5
5,Maine,Connecticut,65.3
6,Maine,Iowa,64.9
7,Maine,Wisconsin,62.9
8,Maine,Ohio,61.6
9,Maine,Michigan,61.1
10,Maine,Massachusetts,60.5
1,Maryland,New York,75.8
2,Maryland,Delaware,75.1
3,Maryland,Virginia,69.8
4,Maryland,New Jersey,68.2
5,Maryland,Georgia,66.8
6,Maryland,North Carolina,65.4
7,Maryland,Massachusetts,65.3
8,Maryland,South Carolina,64.9
9,Maryland,Connecticut,62.0
10,Maryland,Rhode Island,59.4
1,Massachusetts,Connecticut,84.4
2,Massachusetts,Rhode Island,77.0
3,Massachusetts,Vermont,75.5
4,Massachusetts,New York,73.7
5,Massachusetts,New Jersey,72.4
6,Massachusetts,New Hampshire,68.4
7,Massachusetts,Delaware,66.3
8,Massachusetts,Maryland,65.3
9,Massachusetts,Virginia,64.3
10,Massachusetts,Illinois,60.9
1,Michigan,Pennsylvania,86.9
2,Michigan,Wisconsin,83.9
3,Michigan,Ohio,82.8
4,Michigan,Indiana,74.6
5,Michigan,Missouri,73.7
6,Michigan,Minnesota,72.4
7,Michigan,Iowa,72.0
8,Michigan,North Carolina,70.8
9,Michigan,Tennessee,70.7
10,Michigan,Illinois,69.7
1,Minnesota,Wisconsin,79.4
2,Minnesota,Iowa,73.4
3,Minnesota,Michigan,72.4
4,Minnesota,North Dakota,69.7
5,Minnesota,Kansas,69.6
6,Minnesota,Nebraska,68.2
7,Minnesota,Colorado,67.9
8,Minnesota,Illinois,67.4
