state,index,weight,margin
Alabama,Polls,0.0,0.0
Alaska,Polls,0.6,5.7
Arizona,Polls,16.4,-0.5
Arkansas,Polls,0.0,0.0
California,Polls,25.5,-20.1
Colorado,Polls,3.8,-8.0
Connecticut,Polls,0.5,-13.5
Delaware,Polls,0.0,0.0
Florida,Polls,17.3,-0.2
Georgia,Polls,9.9,2.9
Hawaii,Polls,0.0,0.0
Idaho,Polls,0.0,0.0
Illinois,Polls,0.0,0.0
Indiana,Polls,0.0,0.0
Iowa,Polls,15.4,4.8
Kansas,Polls,0.0,0.0
Kentucky,Polls,1.6,19.6
Louisiana,Polls,0.0,0.0
Maine,Polls,2.0,-3.6
Maryland,Polls,0.0,0.0
Massachusetts,Polls,2.4,-32.3
Michigan,Polls,20.8,-4.2
Minnesota,Polls,1.9,-9.6
Mississippi,Polls,0.0,0.0
Missouri,Polls,0.8,14.2
Montana,Polls,0.3,10.0
Nebraska,Polls,0.0,0.0
Nevada,Polls,9.3,2.8
New Hampshire,Polls,11.8,-1.8
New Jersey,Polls,0.0,0.0
New Mexico,Polls,0.0,0.0
New York,Polls,0.3,-21.6
North Carolina,Polls,23.6,0.9
North Dakota,Polls,0.7,19.3
Ohio,Polls,5.8,-0.5
Oklahoma,Polls,0.0,0.0
Oregon,Polls,0.0,0.0
Pennsylvania,Polls,18.8,-2.7
Rhode island,Polls,0.0,0.0
South Carolina,Polls,4.1,12.4
South Dakota,Polls,0.0,0.0
Tennessee,Polls,0.0,0.0
Texas,Polls,16.8,3.5
Utah,Polls,0.6,3.2
Vermont,Polls,0.0,0.0
Virginia,Polls,7.0,-1.9
Washington,Polls,2.9,-18.1
West Virginia,Polls,0.0,0.0
Wisconsin,Polls,24.9,-0.3
Wyoming,Polls,0.0,0.0
District of Columbia,Polls,0.0,0.0
Maine-1,Polls,0.0,0.0
Maine-2,Polls,0.0,0.0
Nebraska-1,Polls,0.0,0.0
Nebraska-2,Polls,0.0,0.0
Nebraska-3,Polls,0.0,0.0
Alabama,Fundamentals,51.7,28.0
Alaska,Fundamentals,47.0,13.9
Arizona,Fundamentals,38.5,4.7
Arkansas,Fundamentals,52.7,29.1
California,Fundamentals,36.9,-28.9
Colorado,Fundamentals,47.4,-5.8
