date,state,Trump,Democrats
2019-11-01,Alabama,99.3,0.7
2019-11-01,Alaska,85.1,14.9
2019-11-01,Arizona,56.3,43.7
2019-11-01,Arkansas,99.4,0.6
2019-11-01,California,0.0,100.0
2019-11-01,Colorado,25.3,74.7
2019-11-01,Connecticut,8.9,91.1
2019-11-01,Delaware,8.2,91.8
2019-11-01,Florida,50.1,49.9
2019-11-01,Georgia,65.2,34.8
2019-11-01,Hawaii,0.0,100.0
2019-11-01,Idaho,99.8,0.2
2019-11-01,Illinois,6.9,93.1
2019-11-01,Indiana,89.1,10.9
2019-11-01,Iowa,59.1,40.9
2019-11-01,Kansas,92.0,8.0
2019-11-01,Kentucky,99.3,0.7
2019-11-01,Louisiana,95.5,4.5
2019-11-01,Maine,28.2,71.8
2019-11-01,Maryland,0.5,99.5
2019-11-01,Massachusetts,0.2,99.8
2019-11-01,Michigan,36.5,63.5
2019-11-01,Minnesota,30.3,69.7
2019-11-01,Mississippi,90.0,10.0
2019-11-01,Missouri,89.0,11.0
2019-11-01,Montana,88.0,12.0
2019-11-01,Nebraska,98.2,1.8
2019-11-01,Nevada,36.9,63.1
2019-11-01,New Hampshire,33.5,66.5
2019-11-01,New Jersey,9.4,90.6
2019-11-01,New Mexico,16.4,83.6
2019-11-01,New York,1.4,98.6
2019-11-01,North Carolina,53.9,46.1
2019-11-01,North Dakota,99.9,0.1
2019-11-01,Ohio,68.3,31.7
2019-11-01,Oklahoma,99.9,0.1
2019-11-01,Oregon,12.5,87.5
2019-11-01,Pennsylvania,41.7,58.3
2019-11-01,Rhode island,4.2,95.8
2019-11-01,South Carolina,85.4,14.6
2019-11-01,South Dakota,99.5,0.5
2019-11-01,Tennessee,98.2,1.8
2019-11-01,Texas,76.5,23.5
2019-11-01,Utah,99.6,0.4
2019-11-01,Vermont,0.1,99.9
2019-11-01,Virginia,25.6,74.4
2019-11-01,Washington,8.0,92.0
2019-11-01,West Virginia,99.9,0.1
2019-11-01,Wisconsin,44.8,55.2
2019-11-01,Wyoming,100.0,0.0
2019-11-01,District of Columbia,0.0,100.0
2019-11-01,Maine-1,7.6,92.4
2019-11-01,Maine-2,58.6,41.4
2019-11-01,Nebraska-1,94.8,5.2
2019-11-01,Nebraska-2,57.1,42.9
2019-11-01,Nebraska-3,100.0,0.0
2019-11-01,US,46.0,54.0
2019-11-02,Alabama,99.3,0.7
2019-11-02,Alaska,85.1,14.9
2019-11-02,Arizona,56.3,43.7
2019-11-02,Arkansas,99.4,0.6
2019-11-02,California,0.0,100.0
2019-11-02,Colorado,25.3,74.7
2019-11-02,Connecticut,8.9,91.1
2019-11-02,Delaware,8.3,91.7
2019-11-02,Florida,50.2,49.8
2019-11-02,Georgia,65.3,34.7
2019-11-02,Hawaii,0.0,100.0
2019-11-02,Idaho,99.8,0.2
2019-11-02,Illinois,6.9,93.1
2019-11-02,Indiana,89.1,10.9
2019-11-02,Iowa,59.1,40.9
2019-11-02,Kansas,92.1,7.9
2019-11-02,Kentucky,99.3,0.7
2019-11-02,Louisiana,95.6,4.4
2019-11-02,Maine,28.3,71.7
2019-11-02,Maryland,0.5,99.5
2019-11-02,Massachusetts,0.2,99.8
2019-11-02,Michigan,36.5,63.5
2019-11-02,Minnesota,30.3,69.7
2019-11-02,Mississippi,90.0,10.0
2019-11-02,Missouri,89.0,11.0
2019-11-02,Montana,88.1,11.9
2019-11-02,Nebraska,98.2,1.8
2019-11-02,Nevada,36.9,63.1
2019-11-02,New Hampshire,33.5,66.5
2019-11-02,New Jersey,9.4,90.6
2019-11-02,New Mexico,16.4,83.6
2019-11-02,New York,1.4,98.6
2019-11-02,North Carolina,54.2,45.8
2019-11-02,North Dakota,99.9,0.1
2019-11-02,Ohio,68.5,31.5
2019-11-02,Oklahoma,99.9,0.1
2019-11-02,Oregon,12.6,87.4
2019-11-02,Pennsylvania,41.7,58.3
2019-11-02,Rhode island,4.3,95.7
2019-11-02,South Carolina,85.5,14.5
2019-11-02,South Dakota,99.5,0.5
2019-11-02,Tennessee,98.2,1.8
2019-11-02,Texas,76.6,23.4
2019-11-02,Utah,99.6,0.4
2019-11-02,Vermont,0.1,99.9
2019-11-02,Virginia,25.7,74.3
2019-11-02,Washington,8.1,91.9
2019-11-02,West Virginia,99.9,0.1
2019-11-02,Wisconsin,44.9,55.1
2019-11-02,Wyoming,100.0,0.0
2019-11-02,District of Columbia,0.0,100.0
2019-11-02,Maine-1,7.6,92.4
2019-11-02,Maine-2,58.6,41.4
2019-11-02,Nebraska-1,94.8,5.2
2019-11-02,Nebraska-2,57.1,42.9
2019-11-02,Nebraska-3,100.0,0.0
2019-11-02,US,46.3,53.7
