race,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,poll_id,question_id
2020D,National,1/27/20,Pete Buttigieg,11/20/19,11/21/19,SurveyUSA,1088,lv,1.983271,0,11,10.41432,,62979,114004
2020D,National,1/27/20,Tulsi Gabbard,11/20/19,11/21/19,SurveyUSA,1088,lv,1.983271,0,1,1.210677,,62979,114004
2020D,National,1/27/20,Andrew Yang,11/20/19,11/21/19,SurveyUSA,1088,lv,1.983271,0,4,4.213294,,62979,114004
2020D,National,1/27/20,Tom Steyer,11/20/19,11/21/19,SurveyUSA,1088,lv,1.983271,0,2,1.745637,,62979,114004
2020D,National,1/27/20,Deval Patrick,11/20/19,11/21/19,SurveyUSA,1088,lv,1.983271,0,1,0.8314192,,62979,114004
2020D,National,1/27/20,Amy Klobuchar,11/20/19,11/21/19,SurveyUSA,1088,lv,1.983271,0,2,2.329215,,62979,114004
2020D,National,1/27/20,Michael Bloomberg,11/20/19,11/21/19,SurveyUSA,1088,lv,1.983271,0,3,2.765895,,62979,114004
2020D,National,1/27/20,Elizabeth Warren,11/20/19,11/21/19,SurveyUSA,1088,lv,1.983271,0,15,15.52169,,62979,114004
2020D,National,1/27/20,Bernard Sanders,11/20/19,11/21/19,SurveyUSA,1088,lv,1.983271,0,17,16.35288,,62979,114004
2020D,National,1/27/20,Joseph R. Biden Jr.,11/20/19,11/21/19,SurveyUSA,1088,lv,1.983271,0,30,26.19134,,62979,114004
2020D,National,1/27/20,Pete Buttigieg,1/14/20,1/16/20,SurveyUSA,1086,lv,1.98037,1.403692,9,8.463896,,63295,115875
2020D,National,1/27/20,Tulsi Gabbard,1/14/20,1/16/20,SurveyUSA,1086,lv,1.98037,1.403692,2,2.235159,,63295,115875
2020D,National,1/27/20,Andrew Yang,1/14/20,1/16/20,SurveyUSA,1086,lv,1.98037,1.403692,4,4.213294,,63295,115875
2020D,National,1/27/20,Tom Steyer,1/14/20,1/16/20,SurveyUSA,1086,lv,1.98037,1.403692,3,2.72006,,63295,115875
2020D,National,1/27/20,Amy Klobuchar,1/14/20,1/16/20,SurveyUSA,1086,lv,1.98037,1.403692,2,2.329215,,63295,115875
2020D,National,1/27/20,Michael Bloomberg,1/14/20,1/16/20,SurveyUSA,1086,lv,1.98037,1.403692,9,8.654493,,63295,115875
2020D,National,1/27/20,Elizabeth Warren,1/14/20,1/16/20,SurveyUSA,1086,lv,1.98037,1.403692,14,14.50577,,63295,115875
2020D,National,1/27/20,Bernard Sanders,1/14/20,1/16/20,SurveyUSA,1086,lv,1.98037,1.403692,21,20.28854,,63295,115875
2020D,National,1/27/20,Joseph R. Biden Jr.,1/14/20,1/16/20,SurveyUSA,1086,lv,1.98037,1.403692,32,28.09701,,63295,115875
2020D,National,1/27/20,Pete Buttigieg,10/15/19,10/16/19,SurveyUSA,1071,lv,1.958543,0,5,4.574853,,62222,111069
2020D,National,1/27/20,Tulsi Gabbard,10/15/19,10/16/19,SurveyUSA,1071,lv,1.958543,0,1,1.210677,,62222,111069
2020D,National,1/27/20,Andrew Yang,10/15/19,10/16/19,SurveyUSA,1071,lv,1.958543,0,2,2.178541,,62222,111069
2020D,National,1/27/20,Tom Steyer,10/15/19,10/16/19,SurveyUSA,1071,lv,1.958543,0,1,0.7723942,,62222,111069
2020D,National,1/27/20,Amy Klobuchar,10/15/19,10/16/19,SurveyUSA,1071,lv,1.958543,0,2,2.329215,,62222,111069
2020D,National,1/27/20,Elizabeth Warren,10/15/19,10/16/19,SurveyUSA,1071,lv,1.958543,0,22,22.61725,,62222,111069
